ranking_convergencia,nome_parceiro,municipio,local_votacao_parceiro,regiao_estimada,vereador,partido_vereador,votos_parceiro_local,votos_vereador_local,indice_convergencia,classificacao_convergencia,potencial_davi_10pct_local,potencial_davi_15pct_local,potencial_davi_20pct_local,acao_recomendada
11,Gabi Gonçalves,RIO LARGO,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,MATA DO ROLO,CARLOS HENRIQUE ROLIM VASCONCELOS,PP,1133,121,77.58,CONVERGÊNCIA ALTA,626,626,626,"Agendar articulação Davi + Gabi Gonçalves com o vereador CARLOS HENRIQUE ROLIM VASCONCELOS no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
12,Gabi Gonçalves,RIO LARGO,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,MATA DO ROLO,LUZARDO DE ARAÚJO LISBOA NETO,PDT,1133,115,77.2,CONVERGÊNCIA ALTA,624,624,624,"Agendar articulação Davi + Gabi Gonçalves com o vereador LUZARDO DE ARAÚJO LISBOA NETO no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
13,Gabi Gonçalves,RIO LARGO,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,MATA DO ROLO,EFRAIN VERÇOLINO DA SILVA,AVANTE,1133,112,76.97,CONVERGÊNCIA ALTA,622,622,622,"Agendar articulação Davi + Gabi Gonçalves com o vereador EFRAIN VERÇOLINO DA SILVA no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
14,Gabi Gonçalves,RIO LARGO,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,MATA DO ROLO,JOSÉ LAMARTINE LIMA DOS SANTOS,MDB,1133,80,74.72,CONVERGÊNCIA MÉDIA,606,606,606,"Agendar articulação Davi + Gabi Gonçalves com o vereador JOSÉ LAMARTINE LIMA DOS SANTOS no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
15,Gabi Gonçalves,RIO LARGO,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,MATA DO ROLO,DOUGLAS HENRIQUE DE FRANÇA COSTA,UNIÃO,1133,79,74.67,CONVERGÊNCIA MÉDIA,606,606,606,"Agendar articulação Davi + Gabi Gonçalves com o vereador DOUGLAS HENRIQUE DE FRANÇA COSTA no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
16,Gabi Gonçalves,RIO LARGO,COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO,NÃO INFORMADO,NADIELLE NAYARA DA COSTA LOPES,PP,590,276,55.41,CONVERGÊNCIA MÉDIA,433,433,433,"Agendar articulação Davi + Gabi Gonçalves com o vereador NADIELLE NAYARA DA COSTA LOPES no território do local de votação COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
17,Gabi Gonçalves,RIO LARGO,COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO,NÃO INFORMADO,JOSÉ ROGÉRIO DA SILVA,PP,590,269,54.9,CONVERGÊNCIA BAIXA,429,429,429,"Agendar articulação Davi + Gabi Gonçalves com o vereador JOSÉ ROGÉRIO DA SILVA no território do local de votação COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
18,Gabi Gonçalves,RIO LARGO,COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO,NÃO INFORMADO,ANIELLE PATRÍCIA SILVA DO LIVRAMENTO,PL,590,230,52.18,CONVERGÊNCIA BAIXA,410,410,410,"Agendar articulação Davi + Gabi Gonçalves com o vereador ANIELLE PATRÍCIA SILVA DO LIVRAMENTO no território do local de votação COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
19,Gabi Gonçalves,RIO LARGO,COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO,NÃO INFORMADO,DOUGLAS HENRIQUE DE FRANÇA COSTA,UNIÃO,590,170,47.95,CONVERGÊNCIA BAIXA,380,380,380,"Agendar articulação Davi + Gabi Gonçalves com o vereador DOUGLAS HENRIQUE DE FRANÇA COSTA no território do local de votação COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
20,Gabi Gonçalves,RIO LARGO,COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO,NÃO INFORMADO,ALBERTINA MARIA ALVES CABRAL,REPUBLICANOS,590,169,47.86,CONVERGÊNCIA BAIXA,379,379,379,"Agendar articulação Davi + Gabi Gonçalves com o vereador ALBERTINA MARIA ALVES CABRAL no território do local de votação COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
21,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS,NÃO INFORMADO,IZAQUE PEREIRA SILVA,AVANTE,595,151,46.97,CONVERGÊNCIA BAIXA,374,374,374,"Agendar articulação Davi + Gabi Gonçalves com o vereador IZAQUE PEREIRA SILVA no território do local de votação ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
22,Gabi Gonçalves,RIO LARGO,COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO,NÃO INFORMADO,CARLOS HENRIQUE ROLIM VASCONCELOS,PP,590,150,46.54,CONVERGÊNCIA BAIXA,370,370,370,"Agendar articulação Davi + Gabi Gonçalves com o vereador CARLOS HENRIQUE ROLIM VASCONCELOS no território do local de votação COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
23,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO,NÃO INFORMADO,MÁRCIO SOARES CAVALCANTE,PP,555,171,45.93,CONVERGÊNCIA BAIXA,364,364,364,"Agendar articulação Davi + Gabi Gonçalves com o vereador MÁRCIO SOARES CAVALCANTE no território do local de votação ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
24,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENSINO FUND DR GASTAO OITICICA,NÃO INFORMADO,MÁRCIO SOARES CAVALCANTE,PP,511,208,45.83,CONVERGÊNCIA BAIXA,360,360,360,"Agendar articulação Davi + Gabi Gonçalves com o vereador MÁRCIO SOARES CAVALCANTE no território do local de votação ESCOLA DE ENSINO FUND DR GASTAO OITICICA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
