ranking_sinergia_davi_gabi,municipio,prioridade_sinergia_davi_gabi,status_agenda_conjunta,score_sinergia_davi_gabi,ranking_gabi_preliminar,prioridade_visita_gabi,score_gabi_preliminar,ranking_davi_ref,score_davi_ref,ranking_base_davi,indice_estrategico_base_davi,eleitorado,populacao,meta_votos_referencia_gabi,liderancas_mapeadas,principal_lideranca,partido_principal_lideranca,votos_principal_lideranca,prioridade_principal_lideranca,votos_liderancas_total,potencial_transferencia_10pct,prefeito_2024,partido_prefeito_2024,relacao_gabi,aderencia_gabi,grupo_politico_gabi,semana_sugerida,acao_recomendada,formato_agenda_recomendada,justificativa_sinergia,municipio_key
91,Jacaré dos Homens,Monitoramento,Sem prioridade imediata,2.26,92,Monitoramento,0.5088267425038341,93,0.0020447383279227,93,0.0020447383279227,5451,5182,38,0.0,,,0.0,,0.0,0.0,MARIA DO SOCORRO MELO DA SILVA,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Jacaré dos Homens: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito MARIA DO SOCORRO MELO DA SILVA.,"Jacaré dos Homens deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.26.",JACARE DOS HOMENS
92,Jaramataia,Monitoramento,Sem prioridade imediata,2.25,91,Monitoramento,0.5229822684316067,95,0.0019763144473968,95,0.0019763144473968,5247,5075,38,0.0,,,0.0,,0.0,0.0,RICARDO MARTINS BARBOSA,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Jaramataia: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito RICARDO MARTINS BARBOSA.,"Jaramataia deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.25.",JARAMATAIA
93,Coqueiro Seco,Monitoramento,Sem prioridade imediata,2.25,94,Monitoramento,0.4575077004849198,92,0.0021305350841435,92,0.0021305350841435,5582,5700,38,0.0,,,0.0,,0.0,0.0,JADIELSON SILVA DO NASCIMENTO,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Coqueiro Seco: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito JADIELSON SILVA DO NASCIMENTO.,"Coqueiro Seco deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.25.",COQUEIRO SECO
94,Tanque d'Arca,Monitoramento,Sem prioridade imediata,2.25,98,Monitoramento,0.3743082097599556,91,0.0022580341148182,91,0.0022580341148182,5959,5909,38,0.0,,,0.0,,0.0,0.0,JUVENIL LOPES DE OLIVEIRA,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Tanque d'Arca: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito JUVENIL LOPES DE OLIVEIRA.,"Tanque d'Arca deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.25.",TANQUE D'ARCA
95,Minador do Negrão,Monitoramento,Sem prioridade imediata,2.23,93,Monitoramento,0.4596944384639462,94,0.001978737789848,94,0.001978737789848,5300,4938,38,0.0,,,0.0,,0.0,0.0,JOSIAS SOARES DA SILVA,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Minador do Negrão: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito JOSIAS SOARES DA SILVA.,"Minador do Negrão deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.23.",MINADOR DO NEGRAO
96,Palestina,Monitoramento,Sem prioridade imediata,2.21,96,Monitoramento,0.4251068865595261,98,0.0018773955721004,98,0.0018773955721004,5118,4410,38,0.0,,,0.0,,0.0,0.0,JOSÉ DJALMA GONÇALVES DA SILVA,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Palestina: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito JOSÉ DJALMA GONÇALVES DA SILVA.,"Palestina deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.21.",PALESTINA
97,Belém,Monitoramento,Sem prioridade imediata,2.21,97,Monitoramento,0.4210913337234715,97,0.0019224701853784,97,0.0019224701853784,5142,4820,38,0.0,,,0.0,,0.0,0.0,ADALBERTO ANTERO TORRES,PP,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Belém: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito ADALBERTO ANTERO TORRES.,"Belém deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.21.",BELEM
98,Jundiá,Monitoramento,Sem prioridade imediata,2.2,95,Monitoramento,0.44190638117754,99,0.0018054495917311,99,0.0018054495917311,4943,4176,38,0.0,,,0.0,,0.0,0.0,JORGE SILVIO LUENGO GALVÃO,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Jundiá: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito JORGE SILVIO LUENGO GALVÃO.,"Jundiá deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.20.",JUNDIA
99,Olho d'Água Grande,Monitoramento,Sem prioridade imediata,2.18,99,Monitoramento,0.2892629370692463,96,0.0019595041784515,96,0.0019595041784515,5413,4384,38,0.0,,,0.0,,0.0,0.0,MARIA SUZANICE HIGINO BAHÉ,PP,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Olho d'Água Grande: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito MARIA SUZANICE HIGINO BAHÉ.,"Olho d'Água Grande deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.18.",OLHO D'AGUA GRANDE
100,Feliz Deserto,Monitoramento,Sem prioridade imediata,2.11,100,Monitoramento,0.2785699075868805,100,0.0015613507390035,100,0.0015613507390035,4136,4038,38,0.0,,,0.0,,0.0,0.0,JORGE LUIS SILVA NUNES,PP,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Feliz Deserto: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito JORGE LUIS SILVA NUNES.,"Feliz Deserto deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.11.",FELIZ DESERTO
101,Mar Vermelho,Monitoramento,Sem prioridade imediata,2.07,101,Monitoramento,0.2446177370894278,101,0.0013431298282833,101,0.0013431298282833,3643,3212,38,0.0,,,0.0,,0.0,0.0,ANDRÉ BRANDÃO DE ALMEIDA,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Mar Vermelho: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito ANDRÉ BRANDÃO DE ALMEIDA.,"Mar Vermelho deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.07.",MAR VERMELHO
102,Pindoba,Monitoramento,Sem prioridade imediata,2.0,102,Monitoramento,0.121671838168584,102,0.0011160409878201,102,0.0011160409878201,2989,2786,38,0.0,,,0.0,,0.0,0.0,JOSÉ CICERO CARDOSO COSTA,REPUBLICANOS,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Pindoba: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito JOSÉ CICERO CARDOSO COSTA.,"Pindoba deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.00.",PINDOBA
