ranking_sinergia_davi_gabi,municipio,prioridade_sinergia_davi_gabi,status_agenda_conjunta,score_sinergia_davi_gabi,ranking_gabi_preliminar,prioridade_visita_gabi,score_gabi_preliminar,ranking_davi_ref,score_davi_ref,ranking_base_davi,indice_estrategico_base_davi,eleitorado,populacao,meta_votos_referencia_gabi,liderancas_mapeadas,principal_lideranca,partido_principal_lideranca,votos_principal_lideranca,prioridade_principal_lideranca,votos_liderancas_total,potencial_transferencia_10pct,prefeito_2024,partido_prefeito_2024,relacao_gabi,aderencia_gabi,grupo_politico_gabi,semana_sugerida,acao_recomendada,formato_agenda_recomendada,justificativa_sinergia,municipio_key
21,Porto Calvo,Monitoramento,Sem prioridade imediata,8.1,22,Média,3.2110110163999845,22,0.0085935545390915,22,0.0085935545390915,22018,24520,482,25.0,MARCIO DO ANDRADE,MDB,1390.0,Média,12606.0,1261.0,ERONITA SPOSITO LEAO E LIMA,MDB,A CURAR,A CURAR,A CURAR,Semana 3,Monitorar,Porto Calvo: monitoramento político; com validação da liderança MARCIO DO ANDRADE; e leitura do grupo do prefeito ERONITA SPOSITO LEAO E LIMA.,"Porto Calvo deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 8.10.",PORTO CALVO
22,São José da Tapera,Monitoramento,Sem prioridade imediata,8.07,21,Média,3.339767163881306,20,0.0097021827350035,20,0.0097021827350035,23599,31557,501,25.0,EVANDRO GORDINHO DO POVO,MDB,944.0,Média,9995.0,1000.0,JARBAS PEREIRA RICARDO,MDB,A CURAR,A CURAR,A CURAR,Semana 3,Monitorar,São José da Tapera: monitoramento político; com validação da liderança EVANDRO GORDINHO DO POVO; e leitura do grupo do prefeito JARBAS PEREIRA RICARDO.,"São José da Tapera deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 8.07.",SAO JOSE DA TAPERA
23,Murici,Monitoramento,Sem prioridade imediata,7.87,23,Média,3.016072761139702,23,0.0083913708773492,23,0.0083913708773492,20853,25933,453,23.0,MORAIS,MDB,1373.0,Média,11107.0,1110.0,REMI VASCONCELOS CALHEIROS FILHO,MDB,A CURAR,A CURAR,A CURAR,Semana 3,Monitorar,Murici: monitoramento político; com validação da liderança MORAIS; e leitura do grupo do prefeito REMI VASCONCELOS CALHEIROS FILHO.,"Murici deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.87.",MURICI
24,Viçosa,Monitoramento,Sem prioridade imediata,7.85,24,Média,3.006320631720191,24,0.0083266267180308,24,0.0083266267180308,21118,24423,451,26.0,DAVI DO TÊDA,REPUBLICANOS,1668.0,Média,10904.0,1089.0,JOÃO VICTOR CALHEIROS AMORIM SANTOS,MDB,A CURAR,A CURAR,A CURAR,Semana 3,Monitorar,Viçosa: monitoramento político; com validação da liderança DAVI DO TÊDA; e leitura do grupo do prefeito JOÃO VICTOR CALHEIROS AMORIM SANTOS.,"Viçosa deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.85.",VICOSA
25,Feira Grande,Monitoramento,Sem prioridade imediata,7.81,27,Média,2.8703502548493907,33,0.0077290188439578,33,0.0077290188439578,19433,23191,431,23.0,QUEL,PSB,1870.0,Média,11985.0,1199.0,DÁRIO ROBERTO SILVA LIRA,MDB,A CURAR,A CURAR,A CURAR,Semana 4,Monitorar,Feira Grande: monitoramento político; com validação da liderança QUEL; e leitura do grupo do prefeito DÁRIO ROBERTO SILVA LIRA.,"Feira Grande deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.81.",FEIRA GRANDE
26,Limoeiro de Anadia,Monitoramento,Sem prioridade imediata,7.8,25,Média,2.94737916821347,26,0.0082428555012198,26,0.0082428555012198,20574,25197,442,24.0,TOINHO,PP,1436.0,Média,10689.0,1067.0,JAMES MARLAN FERREIRA BARBOSA,PP,A CURAR,A CURAR,A CURAR,Semana 4,Monitorar,Limoeiro de Anadia: monitoramento político; com validação da liderança TOINHO; e leitura do grupo do prefeito JAMES MARLAN FERREIRA BARBOSA.,"Limoeiro de Anadia deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.80.",LIMOEIRO DE ANADIA
27,Igaci,Monitoramento,Sem prioridade imediata,7.7,26,Média,2.909737960072236,25,0.008321878314131,25,0.008321878314131,21092,24452,437,11.0,DERY FERREIRA,MDB,1275.0,Média,9387.0,940.0,JOSE PETRUCIO OLIVEIRA BARBOSA,MDB,A CURAR,A CURAR,A CURAR,Semana 4,Monitorar,Igaci: monitoramento político; com validação da liderança DERY FERREIRA; e leitura do grupo do prefeito JOSE PETRUCIO OLIVEIRA BARBOSA.,"Igaci deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.70.",IGACI
28,Traipu,Monitoramento,Sem prioridade imediata,7.66,30,Média,2.7882063567321405,29,0.0078150818662036,29,0.0078150818662036,19430,24124,418,11.0,JUNIOR DA CAPIVARA,PSB,1549.0,Média,10412.0,1041.0,MANUEL LUCAS KUMMER FREITAS DOS SANTOS,MDB,A CURAR,A CURAR,A CURAR,Semana 4,Monitorar,Traipu: monitoramento político; com validação da liderança JUNIOR DA CAPIVARA; e leitura do grupo do prefeito MANUEL LUCAS KUMMER FREITAS DOS SANTOS.,"Traipu deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.66.",TRAIPU
29,Piranhas,Monitoramento,Sem prioridade imediata,7.65,29,Média,2.8254750938573463,28,0.0079757722345121,28,0.0079757722345121,20339,23053,424,25.0,LAURA DE ZÉ VICENTE,MDB,912.0,Média,9725.0,972.0,TIAGO TORRES FREITAS,MDB,A CURAR,A CURAR,A CURAR,Semana 4,Monitorar,Piranhas: monitoramento político; com validação da liderança LAURA DE ZÉ VICENTE; e leitura do grupo do prefeito TIAGO TORRES FREITAS.,"Piranhas deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.65.",PIRANHAS
30,Junqueiro,Monitoramento,Sem prioridade imediata,7.63,28,Média,2.8385783800425424,27,0.0081654003849594,27,0.0081654003849594,20569,24381,426,20.0,HELINHO SILVA,MDB,1542.0,Média,9171.0,916.0,CICERO LEANDRO PEREIRA DA SILVA,MDB,A CURAR,A CURAR,A CURAR,Semana 4,Monitorar,Junqueiro: monitoramento político; com validação da liderança HELINHO SILVA; e leitura do grupo do prefeito CICERO LEANDRO PEREIRA DA SILVA.,"Junqueiro deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.63.",JUNQUEIRO
31,Boca da Mata,Monitoramento,Sem prioridade imediata,7.62,31,Média,2.7847939127182704,32,0.0077641869195003,32,0.0077641869195003,20100,21517,418,11.0,IRMÃO ADRIANO,PP,1471.0,Média,9908.0,990.0,BRUNO FEIJÓ TEIXEIRA,PP,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Boca da Mata: monitoramento político; com validação da liderança IRMÃO ADRIANO; e leitura do grupo do prefeito BRUNO FEIJÓ TEIXEIRA.,"Boca da Mata deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.62.",BOCA DA MATA
32,Matriz de Camaragibe,Monitoramento,Sem prioridade imediata,7.55,32,Média,2.711765168110438,31,0.0077735261714553,31,0.0077735261714553,19218,24330,407,34.0,LEUNAM,MDB,1147.0,Média,9494.0,947.0,FERNANDO HENRIQUE LIMA CAVALCANTE,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Matriz de Camaragibe: monitoramento político; com validação da liderança LEUNAM; e leitura do grupo do prefeito FERNANDO HENRIQUE LIMA CAVALCANTE.,"Matriz de Camaragibe deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.55.",MATRIZ DE CAMARAGIBE
33,Mata Grande,Monitoramento,Sem prioridade imediata,7.52,34,Média,2.6678447809192303,34,0.0075317505655407,34,0.0075317505655407,19084,22147,400,11.0,COCADA MANDU,MDB,1346.0,Média,9620.0,963.0,MARIA FABIANA FARIAS DE ALENCAR,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Mata Grande: monitoramento político; com validação da liderança COCADA MANDU; e leitura do grupo do prefeito MARIA FABIANA FARIAS DE ALENCAR.,"Mata Grande deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.52.",MATA GRANDE
34,Pão de Açúcar,Monitoramento,Sem prioridade imediata,7.51,33,Média,2.687680957446014,30,0.0077928163791783,30,0.0077928163791783,19298,24291,403,28.0,DYEGO CORREIA,PSB,1183.0,Média,8978.0,897.0,JORGE SILVA DANTAS,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Pão de Açúcar: monitoramento político; com validação da liderança DYEGO CORREIA; e leitura do grupo do prefeito JORGE SILVA DANTAS.,"Pão de Açúcar deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.51.",PAO DE ACUCAR
35,Igreja Nova,Monitoramento,Sem prioridade imediata,7.46,35,Média,2.5704491044591755,35,0.0072443017395498,35,0.0072443017395498,18088,22125,386,26.0,CIDÁRIO,MDB,942.0,Média,9791.0,977.0,TIAGO GOMES DOS SANTOS,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Igreja Nova: monitoramento político; com validação da liderança CIDÁRIO; e leitura do grupo do prefeito TIAGO GOMES DOS SANTOS.,"Igreja Nova deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.46.",IGREJA NOVA
36,São José da Laje,Monitoramento,Sem prioridade imediata,7.3,36,Média,2.451704581600331,36,0.0071067537128254,36,0.0071067537128254,17911,21193,368,10.0,MARCOS DINIZ BOIADEIRO,PP,1348.0,Média,8444.0,845.0,ANGELA VANESSA ROCHA PEREIRA BEZERRA,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,São José da Laje: monitoramento político; com validação da liderança MARCOS DINIZ BOIADEIRO; e leitura do grupo do prefeito ANGELA VANESSA ROCHA PEREIRA BEZERRA.,"São José da Laje deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.30.",SAO JOSE DA LAJE
37,Porto Real do Colégio,Monitoramento,Sem prioridade imediata,7.18,37,Média,2.380044551149351,37,0.0070644319183767,37,0.0070644319183767,18066,20262,357,11.0,HÉLIO DO RETIRO,PP,967.0,Média,7277.0,728.0,HIGOR JOSÉ SANTOS FREITAS,PP,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Porto Real do Colégio: monitoramento político; com validação da liderança HÉLIO DO RETIRO; e leitura do grupo do prefeito HIGOR JOSÉ SANTOS FREITAS.,"Porto Real do Colégio deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.18.",PORTO REAL DO COLEGIO
38,Satuba,Monitoramento,Sem prioridade imediata,7.16,39,Média,2.2428304513534694,39,0.0067066711561718,39,0.0067066711561718,15277,25000,337,17.0,DARK RIOS,UNIÃO,1053.0,Média,8618.0,861.0,DIOGENES JOSÉ NETO DE AMORIM,PP,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Satuba: monitoramento político; com validação da liderança DARK RIOS; e leitura do grupo do prefeito DIOGENES JOSÉ NETO DE AMORIM.,"Satuba deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.16.",SATUBA
39,Lagoa da Canoa,Monitoramento,Sem prioridade imediata,7.14,38,Média,2.31559439996885,38,0.0067586129216149,38,0.0067586129216149,17464,18831,347,19.0,CLAUDIANO MIGUEL,PP,883.0,Média,7680.0,765.0,EDILZA ALVES DE SOUZA,PP,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Lagoa da Canoa: monitoramento político; com validação da liderança CLAUDIANO MIGUEL; e leitura do grupo do prefeito EDILZA ALVES DE SOUZA.,"Lagoa da Canoa deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.14.",LAGOA DA CANOA
40,Água Branca,Monitoramento,Sem prioridade imediata,7.08,40,Média,2.233409055262303,41,0.0066015198452389,41,0.0066015198452389,16682,19550,335,12.0,MAGDA DE HORLANDINHO,PP,1092.0,Média,7520.0,753.0,NAYARA EMMANUELA BATISTA FEITOSA,PP,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Água Branca: monitoramento político; com validação da liderança MAGDA DE HORLANDINHO; e leitura do grupo do prefeito NAYARA EMMANUELA BATISTA FEITOSA.,"Água Branca deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.08.",AGUA BRANCA
41,Major Isidoro,Monitoramento,Sem prioridade imediata,3.38,41,Monitoramento,2.174687767167064,43,0.0061894892941926,43,0.0061894892941926,15802,17834,82,0.0,,,0.0,,0.0,0.0,THEOBALDO CAVALCANTI LINS NETTO,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Major Isidoro: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito THEOBALDO CAVALCANTI LINS NETTO.,"Major Isidoro deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 3.38.",MAJOR ISIDORO
42,Taquarana,Monitoramento,Sem prioridade imediata,3.37,43,Monitoramento,2.086199121275502,42,0.0063245402840937,42,0.0063245402840937,15757,19422,78,0.0,,,0.0,,0.0,0.0,GERALDO CICERO DA SILVA,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Taquarana: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito GERALDO CICERO DA SILVA.,"Taquarana deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 3.37.",TAQUARANA
