SQ_CANDIDATO,NR_VOTAVEL,NM_VOTAVEL,DS_CARGO,NM_MUNICIPIO,votos_total,secoes,locais_votacao,nome_alvo,tokens_busca,NM_VOTAVEL_NORMALIZADO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,OURO BRANCO,134,25,3,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,MARIBONDO,133,32,3,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,PIAÇABUÇU,132,40,6,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,FLEXEIRAS,132,25,6,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,CRAÍBAS,127,46,7,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,COQUEIRO SECO,106,15,4,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,OLIVENÇA,89,28,5,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,MAR VERMELHO,87,10,2,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,SANTANA DO IPANEMA,86,58,10,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,ANADIA,82,33,7,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,ÁGUA BRANCA,80,36,7,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,PORTO REAL DO COLÉGIO,70,25,13,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,PÃO DE AÇÚCAR,66,35,12,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,BOCA DA MATA,62,42,9,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,SÃO BRÁS,60,16,5,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,FELIZ DESERTO,59,10,2,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,MARECHAL DEODORO,57,40,14,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,SÃO JOSÉ DA TAPERA,55,33,5,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,JUNDIÁ,55,13,2,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,OLHO D ÁGUA DO CASADO,54,19,3,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,DELMIRO GOUVEIA,50,33,16,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
