municipio,regiao_estimada,votos_parceiro,locais_votacao,secoes_com_voto,percentual_votos_parceiro,forca_reduto,ranking_regiao_parceiro
MACEIÓ,150,25,1,9,0.0852,BAIXA PRESENÇA,99
MACEIÓ,FREITAS NETO,25,1,7,0.0852,BAIXA PRESENÇA,100
MACEIÓ,208,24,1,10,0.0818,BAIXA PRESENÇA,101
MACEIÓ,CONJ. DUBEAUX LEAO,24,1,9,0.0818,BAIXA PRESENÇA,102
ARAPIRACA,623,23,1,7,0.0784,BAIXA PRESENÇA,103
MACEIÓ,11 LOTEAMENTO SANTA AMELIA,23,1,5,0.0784,BAIXA PRESENÇA,104
MACEIÓ,1900,23,1,10,0.0784,BAIXA PRESENÇA,105
MACEIÓ,600,23,1,10,0.0784,BAIXA PRESENÇA,106
PENEDO,PX. A GRANDE RIO VEICULOS,23,1,11,0.0784,BAIXA PRESENÇA,107
MACEIÓ,342,22,1,6,0.075,BAIXA PRESENÇA,108
MACEIÓ,130,21,1,8,0.0716,BAIXA PRESENÇA,109
MACEIÓ,760,21,1,4,0.0716,BAIXA PRESENÇA,110
PALMEIRA DOS ÍNDIOS,. 39,21,1,13,0.0716,BAIXA PRESENÇA,111
QUEBRANGULO,NÃO INFORMADO,21,5,15,0.0716,BAIXA PRESENÇA,112
BATALHA,148,20,1,3,0.0682,BAIXA PRESENÇA,113
MACEIÓ,125,20,1,10,0.0682,BAIXA PRESENÇA,114
MACEIÓ,231,20,1,6,0.0682,BAIXA PRESENÇA,115
MACEIÓ,241,20,1,6,0.0682,BAIXA PRESENÇA,116
MACEIÓ,500,20,2,10,0.0682,BAIXA PRESENÇA,117
MACEIÓ,GRACILIANO RAMOS,20,1,6,0.0682,BAIXA PRESENÇA,118
MACEIÓ,VILAGE CAMPESTE II,20,1,6,0.0682,BAIXA PRESENÇA,119
PENEDO,VILA MATIAS,20,1,10,0.0682,BAIXA PRESENÇA,120
SÃO MIGUEL DOS MILAGRES,NÃO INFORMADO,20,5,13,0.0682,BAIXA PRESENÇA,121
ATALAIA,DEUS E FIEL,19,1,6,0.0648,BAIXA PRESENÇA,122
CRAÍBAS,HABITACIONAL TEODORO GAMA,19,1,5,0.0648,BAIXA PRESENÇA,123
MACEIÓ,- PROX AO TERMINAL,19,1,5,0.0648,BAIXA PRESENÇA,124
MACEIÓ,512,19,1,8,0.0648,BAIXA PRESENÇA,125
MACEIÓ,564,19,1,8,0.0648,BAIXA PRESENÇA,126
PENEDO,PX. A 9A. COORDENADORIA DE ENSINO DE ALAGOAS,19,1,9,0.0648,BAIXA PRESENÇA,127
PORTO REAL DO COLÉGIO,NÃO INFORMADO,19,3,8,0.0648,BAIXA PRESENÇA,128
SÃO BRÁS,NÃO INFORMADO,19,2,7,0.0648,BAIXA PRESENÇA,129
BRANQUINHA,NÃO INFORMADO,18,2,12,0.0614,BAIXA PRESENÇA,130
