ANO_ELEICAO,SG_UF,CD_MUNICIPIO,municipio_original,zona,secao,numero_local_votacao,nome_local_votacao,endereco,regiao_estimada,DS_CARGO,NR_VOTAVEL,NM_VOTAVEL,SQ_CANDIDATO,votos_parceiro
2022,AL,27413,COLÔNIA LEOPOLDINA,16,90,1040,GRUPO MUNICIPAL ALFREDO DE PAULA CAVALCANTE,RUA JOSE FRANCISCO DO NASCIMENTO S/N,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,5
2022,AL,27014,ÁGUA BRANCA,39,5,1023,ESCOLA MONSENHOR SEBASTIAO ALVES BEZERRA,RUA JOÃO PAULO II - NUMERO 06.,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
2022,AL,27855,MACEIÓ,3,273,1503,ESCOLA ESTADUAL DR. JÚLIO AUTO,"CONJUNTO JOAQUIM LEAO, S/N",JOAQUIM LEAO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
2022,AL,28371,PILAR,8,6,1058,ESC MUN NOSSA SENHORA DO PILAR,"AVENIDA PROFESSOR ARTUR RAMOS, S/N",NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
2022,AL,28592,SANTANA DO IPANEMA,19,97,1058,ESCOLA MUNICIPAL DE EDUCAÇÃO BASICA IRACEMA SALGUEIRO SILVA,"AVENIDA MARTINS VIEIRA, 360",360,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,2
2022,AL,28193,OLIVENÇA,19,42,1180,ESCOLA MUNDO INFANTIL,AV. NOSSA SENHORA DO CARMO,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,3
2022,AL,27855,MACEIÓ,2,379,1821,UNIT - CENTRO UNIVERSITÁRIO TIRADENTES (ANTIGA FITS),"AV GUSTAVO PAIVA, 5017",5017,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,2
2022,AL,27570,GIRAU DO PONCIANO,44,3,1201,ESCOLA DE 1 GRAU DEPUTADO JOSE MEDEIROS,RUA DR JOSE BENTO S/N,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
2022,AL,28495,PORTO REAL DO COLÉGIO,37,25,1120,ESCOLA ESTADUAL DONA SANTA BULHÕES,"PRAÇA ROSITA DE GÓES MONTEIRO, 866",866,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
2022,AL,27855,MACEIÓ,54,397,1538,ESCOLA ESTADUAL PROFESSORA MARIA LÚCIA LINS DE FREITAS,"RUA 26, S/N, GRACILIANO RAMOS",GRACILIANO RAMOS,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,4
2022,AL,27855,MACEIÓ,2,83,1309,ESCOLA ESTADUAL PROFESSORA MARIA JOSE CARRASCOSA,"PRACA SENHOR DO BONFIM, S/N",NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,6
2022,AL,28371,PILAR,8,17,1104,CAIC - CENTRO DE ATENCAO INTEGRAL À CRIANCA E AO ADOLESCENTE,"RUA SENHOR DO BONFIM, S/N",NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,3
2022,AL,27138,BATALHA,29,13,1023,ESCOLA DE 1 GRAU ADALBERTO MARROQUIM,"AV PAULO DANTAS, 285",285,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,8
2022,AL,27855,MACEIÓ,1,398,1520,CEAGB - ESCOLA ESTADUAL TEOTONIO VILELA,AV. FERNANDES LIMA S/N,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,3
2022,AL,28738,SÃO MIGUEL DOS MILAGRES,12,252,1023,ESCOLA DE ENSINO FUNDAMENTAL JAIME DE ALTAVILA,"RUA EURICO MARINHO, S/N",NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
2022,AL,28533,RIO LARGO,15,67,1139,ESCOLA DE EDUCAÇÃO BÁSICA AGNUS DEI,"AV. PRESIDENTE FERNANDO A. COLLO DE MELO,96, ANTONIO LINS DE SOUZA",ANTONIO LINS DE SOUZA,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,55
2022,AL,27855,MACEIÓ,33,260,1260,ESCOLA MUNICIPAL PROFª ZILKA DE OLIVEIRA GRAÇA (ANTIGO ERALDO GOMES),"RUA FIRMO CORREIA DE ARAUJO, 276",276,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,2
2022,AL,27855,MACEIÓ,2,200,1546,COLÉGIO ROSALVO RIBEIRO DOS SANTOS,"RUA BONFIM, 344",344,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,6
