municipio,NR_ZONA,NR_LOCAL_VOTACAO,local_votacao,endereco_local_votacao,regiao_estimada,votos_parceiro,secoes_com_voto,percentual_votos_parceiro,forca_reduto,ranking_local_parceiro
RIO LARGO,15,1546,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",MATA DO ROLO,1133,16,3.8621,NÚCLEO FORTE,1
RIO LARGO,15,1058,ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS,RUA SAO PEDRO S/N,NÃO INFORMADO,595,9,2.0282,NÚCLEO FORTE,2
RIO LARGO,15,1376,COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO,"CONJ GURIATA, S/N",NÃO INFORMADO,590,12,2.0112,NÚCLEO FORTE,3
RIO LARGO,15,1040,ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO,CONJUNTO MUTIRÃO,MUTIRAO,580,10,1.9771,NÚCLEO FORTE,4
RIO LARGO,15,1252,ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO,EUCLIDES AFONSO DE MELO S/N,NÃO INFORMADO,555,7,1.8919,NÚCLEO FORTE,5
RIO LARGO,15,1384,GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA,"AV ALBERTO SANTOS DUMONT, S/N",NÃO INFORMADO,554,7,1.8885,NÚCLEO FORTE,6
RIO LARGO,15,1163,ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEÃO,PATIO DA REDE FERROVIARIA S/N,NÃO INFORMADO,528,10,1.7998,NÚCLEO FORTE,7
RIO LARGO,15,1295,GRUPO ESCOLAR MANOEL SOARES DE SOUZA,VILA RAUL S/N,RAUL S,528,7,1.7998,NÚCLEO FORTE,8
RIO LARGO,15,1228,ESCOLA DE ENSINO FUND DR GASTAO OITICICA,AV JULIO CALHEIROS S/N,NÃO INFORMADO,511,6,1.7419,NÚCLEO FORTE,9
RIO LARGO,15,1392,ESCOLA ESTADUAL SANTOS DUMONT,BR 104 - DESTACAMENTO DA FAB - VILA MILITAR,MILITAR,507,9,1.7283,NÚCLEO FORTE,10
RIO LARGO,15,1511,ESCOLA MUNICIPAL TERESA CRISTINA LINS DE SOUZA COSTA,"CJ RES. FRANCISCO TAVARES GRANJA, S/N",NÃO INFORMADO,506,8,1.7248,NÚCLEO FORTE,11
RIO LARGO,15,1139,COLÉGIO ROSALVO FÉLIX,"RUA BANDEIRANTES ,72",NÃO INFORMADO,477,9,1.626,ÁREA RELEVANTE,12
SANTA LUZIA DO NORTE,8,1015,ESC EST DR SIDRONIO AUGUSTO DE SANTA MARIA,"PRACA GETULIO VARGAS, S/N",NÃO INFORMADO,443,9,1.5101,ÁREA RELEVANTE,13
RIO LARGO,15,1171,GRUPO ESCOLAR OZORIA MOURA DE LIMA,RUA  ANTONIO ELIAS CALHEIROS S/N,NÃO INFORMADO,419,5,1.4283,ÁREA RELEVANTE,14
RIO LARGO,15,1562,ESCOLA MUNICIPAL DE ENSINO F. PROFESSOR JOSÉ EDMILSON,"COJ NAPOLEÃO VIANA,S/N, BAR NOSSO, PREF  ANTONIO LINS DE SOUZA",PREF ANTONIO LINS DE SOUZA,411,6,1.401,ÁREA RELEVANTE,15
RIO LARGO,15,1368,GRUPO ESCOLAR MACHADO DE ASSIS,"AV INTENDENTE JULIO CALHEIROS, SN",NÃO INFORMADO,399,4,1.3601,ÁREA RELEVANTE,16
RIO LARGO,15,1520,ESCOLA DE EDUCAÇÃO BÁSICA AGNUS DEI,"AV. PRESIDENTE FERNANDO A. COLLO DE MELO,96, ANTONIO LINS DE SOUZA",ANTONIO LINS DE SOUZA,370,5,1.2612,ÁREA RELEVANTE,17
RIO LARGO,15,1279,GRUPO ESCOLAR PROFESSOR POMPEU SARMENTO,TRAV SANTA LUZIA S/N,NÃO INFORMADO,353,5,1.2033,ÁREA RELEVANTE,18
RIO LARGO,15,1414,ESCOLA DE EDUCAÇÃO INFANTIL AQUINO JAPIASSÚ,VILA MARÍLIA,MARILIA,338,4,1.1522,ÁREA RELEVANTE,19
RIO LARGO,15,1244,ESCOLA ESTADUAL TABULEIRO DO PINTO,RUA DA CAIXA SN,NÃO INFORMADO,330,5,1.1249,ÁREA RELEVANTE,20
RIO LARGO,15,1430,ESCOLA MUNICIPAL DE EDUCAÇÃO BASICA INDUSTRIAL LUIGI BAUDUCCO,"AVENIDA PASTOR JOSUE LINS CONJUNTO CRUZEIRO DO SUL, C RESIDENCIAL",CRUZEIRO DO SUL,325,7,1.1079,ÁREA RELEVANTE,21
RIO LARGO,15,1180,GRUPO ESCOLAR DALMARIO DE SOUZA,RUA ALTO DA SAUDADE SN,NÃO INFORMADO,311,6,1.0601,ÁREA RELEVANTE,22
MESSIAS,9,1058,COLEGIO ESTADUAL PROFESSORA JUDITE NASCIMENTO DA SILVA,"CJ. ANTONIO RODRIGUES CALHEIROS, S/N",NÃO INFORMADO,290,15,0.9885,ÁREA RELEVANTE,23
RIO LARGO,15,1090,GRUPO ESCOLAR ODILO ALVARES DE SOUZA,AV MUNIZ FALCAO SN,NÃO INFORMADO,270,4,0.9204,ÁREA RELEVANTE,24
RIO LARGO,15,1465,CRECHE MUNICIPAL CELYRIO ADAMASTOR BARRETO ACIOLY,"ROD AL 210, CJ EDSON NOVAES S/N",NÃO INFORMADO,258,7,0.8795,ÁREA RELEVANTE,25
BARRA DE SÃO MIGUEL,26,1023,ESCOLA MUNICIPAL PROFESSORA MEDÉA CAVALCANTI DE ALBUQUERQUE,RUA JOSÉ VIEIRA DE ANDRADE SN,NÃO INFORMADO,256,9,0.8726,ÁREA RELEVANTE,26
MESSIAS,9,1015,GINASIO MUNICIPAL LUIZ AMORIM LEAO,PRACA GOVERNADOR LAMENHA FILHO S/N,NÃO INFORMADO,238,11,0.8113,ÁREA COMPLEMENTAR,27
MARAGOGI,14,1015,ESCOLA MUNICIPAL DE EDUCAÇÃO BÁSICA DR. JOSÉ JORGE DE FARIAS SALES,PRACA MARIDITE ACIOLY SN,NÃO INFORMADO,226,17,0.7704,ÁREA COMPLEMENTAR,28
BARRA DE SÃO MIGUEL,26,1015,ESCOLA ESTADUAL MISAEL GONÇALVES FERREIRA,TRAVESSA JOSÉ MACHADO SN,NÃO INFORMADO,202,7,0.6886,ÁREA COMPLEMENTAR,29
SANTA LUZIA DO NORTE,8,1023,ESC MUN PROF IOLANDA ROMEIRO LOPES,"RUA TIRADENTES, S/N",NÃO INFORMADO,196,4,0.6681,ÁREA COMPLEMENTAR,30
RIO LARGO,15,1139,ESCOLA DE EDUCAÇÃO BÁSICA AGNUS DEI,"AV. PRESIDENTE FERNANDO A. COLLO DE MELO,96, ANTONIO LINS DE SOUZA",ANTONIO LINS DE SOUZA,194,4,0.6613,ÁREA COMPLEMENTAR,31
MESSIAS,9,1082,ESCOLA MUNICIPAL MARIA DA GLORIA DUARTE DE OMENA,"CJ. JARBAS MAYA DE OMENA, S/N",NÃO INFORMADO,193,6,0.6579,ÁREA COMPLEMENTAR,32
RIO LARGO,15,1503,SEDE PROVISÓRIA DA ESCOLA MUNICIPAL MANOEL SOARES DE SOUZA,"PRAÇA TEIZEIRA BARROS., SN",NÃO INFORMADO,181,4,0.617,ÁREA COMPLEMENTAR,33
MATRIZ DE CAMARAGIBE,12,1031,COLEGIO MUNIZ FALCAO,RUA DR ANTONIO MANOEL DOS SANTOS S/N,NÃO INFORMADO,172,14,0.5863,ÁREA COMPLEMENTAR,34
COLÔNIA LEOPOLDINA,16,1074,ESCOLA DE 1 E 2 GRAUS ANTÔNIO LINS DA ROCHA,"RUA SEVERINO FERREIRA DE LIMA, S/N",NÃO INFORMADO,168,14,0.5727,ÁREA COMPLEMENTAR,35
RIO LARGO,15,1554,SEDE PROVISÓRIA DA ESCOLA MUNICIPAL MANOEL SOARES DE SOUZA,"PRAÇA TEIZEIRA BARROS., SN",NÃO INFORMADO,166,3,0.5659,ÁREA COMPLEMENTAR,36
MACEIÓ,54,1392,ESCOLA MUNICIPAL DE ENSINO BÁSICO FREI DAMIÃO,"AV. MUNDAÚ, N 120",120,165,14,0.5624,ÁREA COMPLEMENTAR,37
RIO LARGO,15,1490,ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO,"CJ MARIO MAFRA, QUADRA D-04",QUADRA D-04,163,4,0.5556,ÁREA COMPLEMENTAR,38
BARRA DE SÃO MIGUEL,26,1031,ESCOLA MUNICIPAL PROFESSORA FLORA SOARES DE ARAÚJO,RUA ERONILDES SALDANHA LINS,NÃO INFORMADO,160,5,0.5454,ÁREA COMPLEMENTAR,39
MARAGOGI,14,1058,ESCOLA MUNICIPAL ARLINDO ESTANISLAU DA SILVA,"CJ RESIDENCIAL ADELIA LIRA, S/N",ADELIA LIRA,160,7,0.5454,ÁREA COMPLEMENTAR,40
MATRIZ DE CAMARAGIBE,12,1082,(NURE) ESCOLA MUNICIPAL SOFIA DE GOES MONTEIRO,AVENIDA ANTONIO MANOEL DOS SANTOS,NÃO INFORMADO,144,16,0.4909,ÁREA COMPLEMENTAR,41
COLÔNIA LEOPOLDINA,16,1066,GRUPO ESCOLAR JOAQUIM LUIZ DA SILVA,RUA PADRE FRANCISCO S/N,NÃO INFORMADO,143,15,0.4875,ÁREA COMPLEMENTAR,42
RIO LARGO,15,1341,GRUPO ESCOLAR DERALDO CAMPOS,AVENIDA VAZ DE CASTRO S/N,NÃO INFORMADO,142,3,0.484,ÁREA COMPLEMENTAR,43
JOAQUIM GOMES,53,1120,ESCOLA ESTADUAL MÁRIO GOMES DE BARROS,RUA PROF. CICERA SANTOS MARINHO 10,NÃO INFORMADO,140,16,0.4772,ÁREA COMPLEMENTAR,44
SANTA LUZIA DO NORTE,8,1031,ESC MUN SANTA LUZIA DE SIRACUSA,"RUA ESTEVÃO PROTOMARTIR DE BRITO, 152 - PÇA JOSÉ LOBO",152 - PCA JOSE LOBO,140,3,0.4772,ÁREA COMPLEMENTAR,45
MATRIZ DE CAMARAGIBE,12,1058,ESCOLA ESTADUAL PROFESSORA MARIA ANTONIA DE OLIVEIRA SANTOS,"AV. ANTONIO MANOEL DOS SANTOS, S/N",NÃO INFORMADO,129,10,0.4397,ÁREA COMPLEMENTAR,46
MACEIÓ,2,1074,ESCOLA DE ENSINO FUNDAMENTAL ARNON AFFONSO DE FARIAS MELLO,"CONJ. JOSE DA SILVA PEIXOTO, S/N",NÃO INFORMADO,128,9,0.4363,ÁREA COMPLEMENTAR,47
MACEIÓ,2,1821,UNIT - CENTRO UNIVERSITÁRIO TIRADENTES (ANTIGA FITS),"AV GUSTAVO PAIVA, 5017",5017,122,36,0.4159,ÁREA COMPLEMENTAR,48
MATRIZ DE CAMARAGIBE,12,1023,ESCOLA ESTADUAL SATURNINO DE SOUZA,"RUA DR. LUIZ MOREIRA, S/N",NÃO INFORMADO,122,13,0.4159,ÁREA COMPLEMENTAR,49
PORTO CALVO,14,1236,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL DEP. CECI CUNHA,"RUA DEPUTADO JOÃO BATISTA DE MORAES, S/N",NÃO INFORMADO,110,8,0.375,ÁREA COMPLEMENTAR,50
TANQUE D ARCA,48,1023,COLEGIO NOSSA SENHORA MAE DO POVO,RUA HERMAN DE ALMEIDA S/N,NÃO INFORMADO,109,10,0.3716,ÁREA COMPLEMENTAR,51
MACEIÓ,2,1309,ESCOLA ESTADUAL PROFESSORA MARIA JOSE CARRASCOSA,"PRACA SENHOR DO BONFIM, S/N",NÃO INFORMADO,107,12,0.3647,ÁREA COMPLEMENTAR,52
SATUBA,8,1082,IFAL - INSTITUTO FEDERAL DE ALAGOAS - CAMPUS SATUBA,"RUA 17 DE AGOSTO, S/N",NÃO INFORMADO,106,14,0.3613,ÁREA COMPLEMENTAR,53
MARAGOGI,14,1023,GRUPO ESCOLAR BATISTA ACIOLI,PRACA BATISTA ACIOLY SN,NÃO INFORMADO,99,6,0.3375,BAIXA PRESENÇA,54
PORTO CALVO,14,1058,COLEGIO NOSSA SENHORA DA APRESENTACAO,RUA DO VARADOURO SN,NÃO INFORMADO,98,9,0.3341,BAIXA PRESENÇA,55
MACEIÓ,33,1082,ESCOLA ESTADUAL ROMEU DE AVELAR,"RUA RACOES CARB, S/N",NÃO INFORMADO,94,14,0.3204,BAIXA PRESENÇA,56
SATUBA,8,1074,ESC MUN HÉLIO BORGES DE AQUINO NETO,RUA PROJETADA - NOVA SATUBA - RECANTOS,NÃO INFORMADO,88,6,0.3,BAIXA PRESENÇA,57
TAQUARANA,45,1040,ESCOLA MARIA IRACI TEÓFILO DE CASTRO,"RUA 24 DE AGOSTO, 88",NÃO INFORMADO,86,20,0.2932,BAIXA PRESENÇA,58
MACEIÓ,54,1015,ESCOLA ESTADUAL ALFREDO GASPAR DE MENDONCA,"CONJ. EUSTAQUIO GOMES DE MELO, S/N",NÃO INFORMADO,84,12,0.2863,BAIXA PRESENÇA,59
MURICI,9,1040,GRUPO ESCOLAR PROFESSOR LOUREIRO,"CJ. RES. PEDRO TENÓRIO RAPOSO, S/N",NÃO INFORMADO,84,10,0.2863,BAIXA PRESENÇA,60
NOVO LINO,53,1023,COLÉGIO MARIO GOMES DE BARROS,RUA ALTO DA BOA VISTA S/N,NÃO INFORMADO,82,9,0.2795,BAIXA PRESENÇA,61
MURICI,9,1171,ESCOLA DE 1º GRAU JUVENAL LOPES FERREIRA DE OMENA,"CJ. RES. OLAVO CALHEIROS I, S/N",NÃO INFORMADO,81,6,0.2761,BAIXA PRESENÇA,62
TAQUARANA,45,1031,ESCOLA MUNICIPAL PROFESSORA DIVONETE CAVALCANTE DE ALBUQUERQUE,"RUA PEDRO LEVINO, S/N",NÃO INFORMADO,81,14,0.2761,BAIXA PRESENÇA,63
JOAQUIM GOMES,53,1139,ESCOLA DE 1 GRAU NOSSA SENHORA RAINHA DA PAZ,RUA PROF. CICERA SANTOS MARINHO 10,NÃO INFORMADO,80,13,0.2727,BAIXA PRESENÇA,64
MURICI,9,1090,GRUPO ESCOLAR PEDRO TENORIO RAPOSO,RUA PRESIDENTE KENEDY SN,NÃO INFORMADO,80,11,0.2727,BAIXA PRESENÇA,65
MURICI,9,1082,GINASIO NOSSA SENHORA DAS GRACAS,TRAV DR. JOSE LEAO SN,NÃO INFORMADO,79,9,0.2693,BAIXA PRESENÇA,66
MESSIAS,9,1090,ESCOLA SANDRA LÚCIA DE OLIVEIRA SILVA,CJ. JARBAS MAYA DE OMENA,NÃO INFORMADO,77,3,0.2625,BAIXA PRESENÇA,67
MACEIÓ,33,1210,ESCOLA ESTADUAL DEPUTADO NENOI PINTO,"RUA MUNIZ FALCAO, S/N",NÃO INFORMADO,74,10,0.2522,BAIXA PRESENÇA,68
VIÇOSA,5,1058,COLEGIO NORMAL JOAQUIM DIEGUES,RUA MOTA LIMA SN,NÃO INFORMADO,74,14,0.2522,BAIXA PRESENÇA,69
JAPARATINGA,14,1023,GRUPO ESCOLAR MARECHAL COSTA E SILVA,RUA SEBASTIAO LINS DE MELO S/N,NÃO INFORMADO,71,5,0.242,BAIXA PRESENÇA,70
COLÔNIA LEOPOLDINA,16,1040,GRUPO MUNICIPAL ALFREDO DE PAULA CAVALCANTE,RUA JOSE FRANCISCO DO NASCIMENTO S/N,NÃO INFORMADO,70,8,0.2386,BAIXA PRESENÇA,71
MACEIÓ,33,1236,ESCOLA ESTADUAL MARGAREZ M. S. LACET,"RUA SANTO ANTONIO, S/N",NÃO INFORMADO,70,14,0.2386,BAIXA PRESENÇA,72
PIRANHAS,40,1147,ESCOLA ESTADUAL UNEX II,"AV. DELMIRO GOUVEIA, S/N",NÃO INFORMADO,70,6,0.2386,BAIXA PRESENÇA,73
JOAQUIM GOMES,53,1112,ESCOLA MUNICIPAL MARIA DO CARMO DE OLIVEIRA MELO,RUA BENEDITA GERALDINA DA CONCEIÇÃO SN - LOT. JOSE BENTO(CASAL),NÃO INFORMADO,69,10,0.2352,BAIXA PRESENÇA,74
BATALHA,29,1015,COLÉGIO NOSSA SENHORA DA PENHA,"RUA JOSÉ VIEIRA DA ROCHA, 525",525,68,12,0.2318,BAIXA PRESENÇA,75
OLHO D ÁGUA GRANDE,37,1104,ESCOLA MUNICIPAL FRANCISCO BEZERRA DE ARAÚJO,RUA JORGE DA PAIXÃO VIZINHO AO GINASIO VALDEMAR PUNÇA,NÃO INFORMADO,66,3,0.225,BAIXA PRESENÇA,76
PORTO CALVO,14,1082,GRUPO GUEDES DE MIRANDA,"PROF. GUEDES DE MIRANDA, S/N",NÃO INFORMADO,66,8,0.225,BAIXA PRESENÇA,77
PORTO CALVO,14,1244,ESC. MUN. DE ENS. FUND. DOMINGOS F. CALABAR,"CONJ. MANGANZALA, S/N",NÃO INFORMADO,66,7,0.225,BAIXA PRESENÇA,78
SATUBA,8,1023,ESC MUN JOSEFA SILVA COSTA,RUA 17 DE AGOSTO S/N,NÃO INFORMADO,66,9,0.225,BAIXA PRESENÇA,79
MACEIÓ,54,1163,ESCOLA ESTADUAL DRA. MARIA JOSE DE MELO (CAIC-BENEDITO BENTES),"RUA BELO HORIZONTE, S/N",NÃO INFORMADO,64,14,0.2182,BAIXA PRESENÇA,80
SATUBA,8,1040,ESC EST PROF MANOEL GENTIL DO VALLE BENTES,"RUA 17 DE AGOSTO, 26",NÃO INFORMADO,64,6,0.2182,BAIXA PRESENÇA,81
COLÔNIA LEOPOLDINA,16,1058,GRUPO ESCOLAR ARISTEU DE ANDRADE,RUA 16 DE JULHO S/N,NÃO INFORMADO,63,6,0.2148,BAIXA PRESENÇA,82
MURICI,9,1066,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL E MEDIO PROFESSOR AURINO MACIEL,"CJ. RESIDENCIAL PEDRO TENÓRIO RAPOSO, S/N",PEDRO TENORIO RAPOSO,63,8,0.2148,BAIXA PRESENÇA,83
PASSO DE CAMARAGIBE,12,1210,CENTRO EDUCACIONAL ERNESTO GOMES MARANHAO,RUA FERNANDES LIMA S/N,NÃO INFORMADO,63,10,0.2148,BAIXA PRESENÇA,84
MACEIÓ,1,1180,ESCOLA ESTADUAL PROESSOR PEDRO TEIXEIRA,"RUA PAU DARCO, S/N",NÃO INFORMADO,62,8,0.2113,BAIXA PRESENÇA,85
MURICI,9,1015,ESCOLA GOVERNADOR LAMENHA FILHO - COLÉGIO DO SESI,"AV. PRESIDENTE KENNEDY, S/N",NÃO INFORMADO,62,7,0.2113,BAIXA PRESENÇA,86
MARAGOGI,14,1031,ESCOLA ANTONIO VERCOSA COELHO,RUA DO LEMOS SN,NÃO INFORMADO,61,6,0.2079,BAIXA PRESENÇA,87
OLHO D ÁGUA GRANDE,37,1074,CRECHE MUNICIPAL MARIA GOMES DE ARAUJO,RUA JORGE DA PAIXÃO,NÃO INFORMADO,61,4,0.2079,BAIXA PRESENÇA,88
MACEIÓ,54,1058,ESCOLA DE ENSINO FUNDAMENTAL PROF. CORINTHO CAMPELO DA PAZ,"RUA 5-A, S/N - CJ. EUSTÁQUIO GOMES DE MELO",- CJ. EUSTAQUIO GOMES DE MELO,59,10,0.2011,BAIXA PRESENÇA,89
BATALHA,29,1023,ESCOLA DE 1 GRAU ADALBERTO MARROQUIM,"AV PAULO DANTAS, 285",285,57,7,0.1943,BAIXA PRESENÇA,90
SÃO MIGUEL DOS CAMPOS,18,1279,COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA,AV. SAMPAIO MARQUES,NÃO INFORMADO,57,15,0.1943,BAIXA PRESENÇA,91
MACEIÓ,2,1104,ESCOLA DE ENSINO FUNDAMENTAL  BALTAZAR MENDONCA,"RUA DIVISORIA FEICAO, S/N",NÃO INFORMADO,56,7,0.1909,BAIXA PRESENÇA,92
MACEIÓ,33,1066,ESCOLA ESTADUAL PROF. BENEDITA DE CASTRO LIMA,"RUA SANTA RITA, S/N",NÃO INFORMADO,56,9,0.1909,BAIXA PRESENÇA,93
MACEIÓ,54,1309,ESCOLA MUNICIPAL PROF. PETRONIO VIANA,"CJ CARMINHA, S/N",NÃO INFORMADO,56,7,0.1909,BAIXA PRESENÇA,94
MURICI,9,1163,INSTITUTO FEDERAL DE ALAGOAS (IFAL),"CJ. RES. PEDRO TENORIO RAPOSO, S/N",NÃO INFORMADO,56,6,0.1909,BAIXA PRESENÇA,95
OURO BRANCO,50,1082,ESCOLA ESTADUAL PROF.ª JOANITA DE MELO,RUA CORONEL LUCENA,NÃO INFORMADO,56,11,0.1909,BAIXA PRESENÇA,96
JAPARATINGA,14,1015,ESCOLA DE 1 GRAU D. ELIZEU MARIO GOMES DE OLIVEIRA,RUA MARIA DAS MERCES S/N,NÃO INFORMADO,55,4,0.1875,BAIXA PRESENÇA,97
MACEIÓ,33,1139,ESCOLA ESTADUAL PROFª. MARIA SALETE GUSMAO DE ARAUJO,"CJ. OSMAN LOUREIRO, QD A",QD A,55,11,0.1875,BAIXA PRESENÇA,98
MARIBONDO,48,1015,ESCOLA ESTADUAL ODETE BOMFIM,RUA ESTUDANTE ÉRICO MENTASTI,NÃO INFORMADO,55,10,0.1875,BAIXA PRESENÇA,99
BATALHA,29,1058,ESCOLA ESTADUAL DE ENSINO MÉDIO MARIA DE LOURDES S. SILVA,"RUA PROJETADA, 40, LOTEAMENTO ALGAROBA",LOTEAMENTO ALGAROBA,54,9,0.1841,BAIXA PRESENÇA,100
PORTO CALVO,14,1287,ANEXO - ESCOLA DEP. CECI CUNHA,"RUA DEP. JOÃO BATISTA DE MORAIS,S/N",NÃO INFORMADO,54,4,0.1841,BAIXA PRESENÇA,101
MACEIÓ,3,1112,ESCOLA ESTADUAL MARIA AMÁLIA,"RUA VALDEMAR RUFINO DOS SANTOS, S/N,VILA ABC",ABC,53,6,0.1807,BAIXA PRESENÇA,102
PALMEIRA DOS ÍNDIOS,10,1074,COLÉGIO ESTADUAL HUMBERTO MENDES,AV GOV MUNIZ FALCÃO 701,NÃO INFORMADO,53,21,0.1807,BAIXA PRESENÇA,103
LAGOA DA CANOA,44,1040,GRUPO ESCOLAR JOSÉ LÚCIO DE MELO,POVOADO MATA LIMPA S/N,MATA LIMPA S,52,5,0.1773,BAIXA PRESENÇA,104
MACEIÓ,2,1120,ESCOLA ESTADUAL MIRAN MARROQUIM,"RUA DA LIBERDADE, S/N - PIABAS",- PIABAS,52,12,0.1773,BAIXA PRESENÇA,105
MACEIÓ,2,1139,ESCOLA ESTADUAL TEONILO GAMA,"RUA CORONEL PARANHOS, S/N",NÃO INFORMADO,52,12,0.1773,BAIXA PRESENÇA,106
MACEIÓ,2,1546,COLÉGIO ROSALVO RIBEIRO DOS SANTOS,"RUA BONFIM, 344",344,52,9,0.1773,BAIXA PRESENÇA,107
OLHO D ÁGUA GRANDE,37,1082,GRUPO ESCOLAR ANALIA TENORIO,RUA DR. EUCLIDES BOIA,NÃO INFORMADO,52,4,0.1773,BAIXA PRESENÇA,108
PORTO CALVO,14,1104,GRUPO LAMENHA FILHO,RUA MIGUEL OMENA SN,NÃO INFORMADO,52,6,0.1773,BAIXA PRESENÇA,109
TANQUE D ARCA,48,1058,COLEGIO NOSSA SENHORA MAE DO POVO,RUA HERMAN DE ALMEIDA S/N,NÃO INFORMADO,52,4,0.1773,BAIXA PRESENÇA,110
MAR VERMELHO,5,1040,ESCOLA DE 1 GRAU PROFESSOR SILVERIO LINS,PRACA CRISTO REDENTOR SN,NÃO INFORMADO,51,6,0.1738,BAIXA PRESENÇA,111
LAGOA DA CANOA,44,1082,ESCOLA DE ENSINO FUNDAMENTAL JOSÉ RODRIGUES FILHO,AV. JOÃO ANGELINO DOS SANTOS S/N,NÃO INFORMADO,50,12,0.1704,BAIXA PRESENÇA,112
MARAGOGI,14,1040,GRUPO ESCOLAR MANOEL DE MEDEIROS COSTA,RUA MANOEL DE MEDEIROS COSTA SN,NÃO INFORMADO,50,7,0.1704,BAIXA PRESENÇA,113
OURO BRANCO,50,1031,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL RUI PALMEIRA,"RUA 7 DE SETEMBRO, S/N",NÃO INFORMADO,50,10,0.1704,BAIXA PRESENÇA,114
JOAQUIM GOMES,53,1180,COLÉGIO SÃO JOSÉ,"RUA TANCREDO NEVES, S/N",NÃO INFORMADO,49,5,0.167,BAIXA PRESENÇA,115
MACEIÓ,33,1104,COLÉGIO DLINS,"RUA PEDROSA, 225",225,49,12,0.167,BAIXA PRESENÇA,116
MACEIÓ,54,1171,ESCOLA ESTADUAL DEPUTADO RUBENS CANUTO,"AV. GURGURI , S/N",NÃO INFORMADO,49,8,0.167,BAIXA PRESENÇA,117
MACEIÓ,54,1520,ESCOLA ESTADUAL MARIA IVONE,CONUNTO INOCOOP,NÃO INFORMADO,49,8,0.167,BAIXA PRESENÇA,118
MACEIÓ,2,1511,ESCOLA ESTADUAL MANOEL SIMPLICIO DO NASCIMENTO,"RUA DIVISORIA FEICAO, S/N",NÃO INFORMADO,48,8,0.1636,BAIXA PRESENÇA,119
TANQUE D ARCA,48,1015,GRUPO ROSA DA FONSECA,RUA ROSA DA FONSECA S/N,NÃO INFORMADO,48,4,0.1636,BAIXA PRESENÇA,120
MACEIÓ,1,1660,ESCOLA DE ESTADUAL PROFA. MARIA DAS GRACAS DE SA TEIXEIRA,"AV. GOVERNADOR LAMENHA FILHO, SN",NÃO INFORMADO,47,11,0.1602,BAIXA PRESENÇA,121
MACEIÓ,33,1074,ESCOLA ESTADUAL ROTARY,"AV. DURVAL DE GOES MONTEIRO, S/N",NÃO INFORMADO,47,13,0.1602,BAIXA PRESENÇA,122
MARAGOGI,14,1112,CRECHE MUNICIPAL PROFESSOR MÁRCIO LACERDA,"ALTO DA BOA VISTA, S/N",NÃO INFORMADO,47,3,0.1602,BAIXA PRESENÇA,123
PIAÇABUÇU,13,1015,ESCOLA DE 1 E 2 GRAUS CORREIA TITARA,AVENIDA ULISSES GUEDES SN,NÃO INFORMADO,47,10,0.1602,BAIXA PRESENÇA,124
COQUEIRO SECO,8,1040,ESC MUN PROF PEDRO DE CARVALHO PEDROSA,"RUA ALTO DA BOA VISTA, 109",109,46,5,0.1568,BAIXA PRESENÇA,125
MACEIÓ,1,1279,ESCOLA ESTADUAL PROFESSOR SEBASTIAO DA HORA,"RUA MARTINS MURTA, S/N",NÃO INFORMADO,46,10,0.1568,BAIXA PRESENÇA,126
MACEIÓ,33,1031,ESCOLA DE ENSINO FUNDAMENTAL OCTÁVIO BRANDÃO,"RUA JOSE LOBO DE MEDEIROS, S/N",NÃO INFORMADO,46,15,0.1568,BAIXA PRESENÇA,127
PASSO DE CAMARAGIBE,12,1058,CRECHE PRÓ-INFÃNCIA,"RUA BENEDITO HENRIQUETA, S/N",NÃO INFORMADO,46,7,0.1568,BAIXA PRESENÇA,128
SÃO MIGUEL DOS CAMPOS,18,1309,ESCOLA MUNICIPAL PROFESSORA INEIDE NOGUEIRA ROCHA,RUA ALÍCIA VITÓRIA URBANO DE OLIVEIRA,NÃO INFORMADO,46,11,0.1568,BAIXA PRESENÇA,129
MACEIÓ,54,1228,ESCOLA PASTOR JOSE TAVARES DE SOUZA,"AV. GARCA TORTA, S/N",NÃO INFORMADO,45,8,0.1534,BAIXA PRESENÇA,130
VIÇOSA,5,1180,ESCOLA MUNICIPAL SÃO JOSE,"RUA CONEGO PIMENTEL, SN",NÃO INFORMADO,45,10,0.1534,BAIXA PRESENÇA,131
CAMPO GRANDE,20,1058,GINÁSIO DO COLÉGIO DOUGLAS APRATTO,RUA VEREADOR VERIDIANO,NÃO INFORMADO,44,5,0.15,BAIXA PRESENÇA,132
FLEXEIRAS,53,1031,GINASIO GUILHERME CALHEIROS,RUA CEL. ALCANTARA S/N,NÃO INFORMADO,44,8,0.15,BAIXA PRESENÇA,133
