municipio,municipio_key,ranking_gabi_preliminar,prioridade_visita_gabi,status_articulacao_gabi,liderancas_mapeadas,votos_liderancas_total,potencial_transferencia_5pct,potencial_transferencia_10pct,potencial_transferencia_15pct,maior_score_lideranca,principal_lideranca,partido_principal_lideranca,votos_principal_lideranca,prioridade_principal_lideranca
VIÇOSA,VICOSA,24,Média,Avaliar após top 20,26,10904,545,1089,1637,47.11,DAVI DO TÊDA,REPUBLICANOS,1668,Média
LIMOEIRO DE ANADIA,LIMOEIRO DE ANADIA,25,Média,Avaliar após top 20,24,10689,533,1067,1607,45.04,TOINHO,PP,1436,Média
IGACI,IGACI,26,Média,Avaliar após top 20,11,9387,469,940,1407,43.23,DERY FERREIRA,MDB,1275,Média
FEIRA GRANDE,FEIRA GRANDE,27,Média,Avaliar após top 20,23,11985,599,1199,1797,44.07,QUEL,PSB,1870,Média
JUNQUEIRO,JUNQUEIRO,28,Média,Avaliar após top 20,20,9171,459,916,1375,41.66,HELINHO SILVA,MDB,1542,Média
PIRANHAS,PIRANHAS,29,Média,Avaliar após top 20,25,9725,485,972,1458,38.2,LAURA DE ZÉ VICENTE,MDB,912,Média
TRAIPU,TRAIPU,30,Média,Avaliar após top 20,11,10412,522,1041,1562,39.19,JUNIOR DA CAPIVARA,PSB,1549,Média
BOCA DA MATA,BOCA DA MATA,31,Média,Avaliar após top 20,11,9908,494,990,1487,37.66,IRMÃO ADRIANO,PP,1471,Média
MATRIZ DE CAMARAGIBE,MATRIZ DE CAMARAGIBE,32,Média,Avaliar após top 20,34,9494,472,947,1425,35.28,LEUNAM,MDB,1147,Média
PÃO DE AÇÚCAR,PAO DE ACUCAR,33,Média,Avaliar após top 20,28,8978,447,897,1348,34.15,DYEGO CORREIA,PSB,1183,Média
MATA GRANDE,MATA GRANDE,34,Média,Avaliar após top 20,11,9620,482,963,1444,33.48,COCADA MANDU,MDB,1346,Média
IGREJA NOVA,IGREJA NOVA,35,Média,Avaliar após top 20,26,9791,488,977,1470,30.81,CIDÁRIO,MDB,942,Média
SÃO JOSÉ DA LAJE,SAO JOSE DA LAJE,36,Média,Avaliar após top 20,10,8444,422,845,1266,30.98,MARCOS DINIZ BOIADEIRO,PP,1348,Média
PORTO REAL DO COLÉGIO,PORTO REAL DO COLEGIO,37,Média,Avaliar após top 20,11,7277,363,728,1093,28.39,HÉLIO DO RETIRO,PP,967,Média
LAGOA DA CANOA,LAGOA DA CANOA,38,Média,Avaliar após top 20,19,7680,386,765,1150,26.85,CLAUDIANO MIGUEL,PP,883,Média
SATUBA,SATUBA,39,Média,Avaliar após top 20,17,8618,432,861,1293,26.2,DARK RIOS,UNIÃO,1053,Média
ÁGUA BRANCA,AGUA BRANCA,40,Média,Avaliar após top 20,12,7520,375,753,1129,25.08,MAGDA DE HORLANDINHO,PP,1092,Média
