ranking_gabi_preliminar,municipio,prioridade_visita_gabi,status_articulacao_gabi,prefeito_2024,partido_prefeito_2024,vereadores_mapeados,votos_vereadores_total,meta_votos_referencia_gabi,relacao_gabi,aderencia_gabi,grupo_politico_gabi,observacao_curadoria_gabi,lideranca_chave_gabi,telefone_contato,responsavel_articulacao,agenda_recomendada,risco_politico,proximo_passo
17,Campo Alegre,Alta,Priorizar curadoria,PAULINE DE FÁTIMA PEREIRA ALBUQUERQUE,PP,0.0,9403.0,557,A CURAR,A CURAR,A CURAR,,,,,,,
18,Maragogi,Alta,Priorizar curadoria,DANIEL MENDES DE VASCONCELOS FERREIRA,PP,0.0,11613.0,546,A CURAR,A CURAR,A CURAR,,,,,,,
19,São Luís do Quitunde,Alta,Priorizar curadoria,MARCIA RAFAELA BARROS DE VASCONCELOS,MDB,0.0,11282.0,523,A CURAR,A CURAR,A CURAR,,,,,,,
20,Craíbas,Alta,Priorizar curadoria,TEÓFILO JOSÉ BARROSO PEREIRA,PP,0.0,14815.0,506,A CURAR,A CURAR,A CURAR,,,,,,,
21,São José da Tapera,Média,Avaliar após top 20,JARBAS PEREIRA RICARDO,MDB,0.0,9995.0,501,A CURAR,A CURAR,A CURAR,,,,,,,
22,Porto Calvo,Média,Avaliar após top 20,ERONITA SPOSITO LEAO E LIMA,MDB,0.0,12606.0,482,A CURAR,A CURAR,A CURAR,,,,,,,
23,Murici,Média,Avaliar após top 20,REMI VASCONCELOS CALHEIROS FILHO,MDB,0.0,11107.0,453,A CURAR,A CURAR,A CURAR,,,,,,,
24,Viçosa,Média,Avaliar após top 20,JOÃO VICTOR CALHEIROS AMORIM SANTOS,MDB,0.0,10904.0,451,A CURAR,A CURAR,A CURAR,,,,,,,
25,Limoeiro de Anadia,Média,Avaliar após top 20,JAMES MARLAN FERREIRA BARBOSA,PP,0.0,10689.0,442,A CURAR,A CURAR,A CURAR,,,,,,,
26,Igaci,Média,Avaliar após top 20,JOSE PETRUCIO OLIVEIRA BARBOSA,MDB,0.0,9387.0,437,A CURAR,A CURAR,A CURAR,,,,,,,
27,Feira Grande,Média,Avaliar após top 20,DÁRIO ROBERTO SILVA LIRA,MDB,0.0,11985.0,431,A CURAR,A CURAR,A CURAR,,,,,,,
28,Junqueiro,Média,Avaliar após top 20,CICERO LEANDRO PEREIRA DA SILVA,MDB,0.0,9171.0,426,A CURAR,A CURAR,A CURAR,,,,,,,
29,Piranhas,Média,Avaliar após top 20,TIAGO TORRES FREITAS,MDB,0.0,9725.0,424,A CURAR,A CURAR,A CURAR,,,,,,,
30,Traipu,Média,Avaliar após top 20,MANUEL LUCAS KUMMER FREITAS DOS SANTOS,MDB,0.0,10412.0,418,A CURAR,A CURAR,A CURAR,,,,,,,
31,Boca da Mata,Média,Avaliar após top 20,BRUNO FEIJÓ TEIXEIRA,PP,0.0,9908.0,418,A CURAR,A CURAR,A CURAR,,,,,,,
32,Matriz de Camaragibe,Média,Avaliar após top 20,FERNANDO HENRIQUE LIMA CAVALCANTE,MDB,0.0,9494.0,407,A CURAR,A CURAR,A CURAR,,,,,,,
33,Pão de Açúcar,Média,Avaliar após top 20,JORGE SILVA DANTAS,MDB,0.0,8978.0,403,A CURAR,A CURAR,A CURAR,,,,,,,
34,Mata Grande,Média,Avaliar após top 20,MARIA FABIANA FARIAS DE ALENCAR,MDB,0.0,9620.0,400,A CURAR,A CURAR,A CURAR,,,,,,,
35,Igreja Nova,Média,Avaliar após top 20,TIAGO GOMES DOS SANTOS,MDB,0.0,9791.0,386,A CURAR,A CURAR,A CURAR,,,,,,,
36,São José da Laje,Média,Avaliar após top 20,ANGELA VANESSA ROCHA PEREIRA BEZERRA,MDB,0.0,8444.0,368,A CURAR,A CURAR,A CURAR,,,,,,,
37,Porto Real do Colégio,Média,Avaliar após top 20,HIGOR JOSÉ SANTOS FREITAS,PP,0.0,7277.0,357,A CURAR,A CURAR,A CURAR,,,,,,,
38,Lagoa da Canoa,Média,Avaliar após top 20,EDILZA ALVES DE SOUZA,PP,0.0,7680.0,347,A CURAR,A CURAR,A CURAR,,,,,,,
