ordem_curadoria,semana_sugerida,municipio,ranking_gabi_preliminar,nome_lideranca,tipo_lideranca,partido,votos_2024,rank_local_lideranca,prioridade_lideranca_gabi,status_curadoria_lideranca,objetivo_da_abordagem,abordagem_recomendada,responsavel_articulacao,telefone_contato,observacao_curadoria,risco_politico,proximo_passo
30,Semana 2,DELMIRO GOUVEIA,10,EDNA DO TATUAKARA,Vereador(a),MDB,2410,1,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com EDNA DO TATUAKARA em DELMIRO GOUVEIA; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
31,Semana 2,UNIÃO DOS PALMARES,5,ALMIR BELO,Vereador(a),PDT,1562,3,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com ALMIR BELO em UNIÃO DOS PALMARES; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
32,Semana 2,PALMEIRA DOS ÍNDIOS,4,GILENINHO SAMPAIO,Vereador(a),PRD,1667,4,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com GILENINHO SAMPAIO em PALMEIRA DOS ÍNDIOS; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
33,Semana 2,RIO LARGO,3,THIAGO VASCONCELOS,Vereador(a),PP,1873,5,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com THIAGO VASCONCELOS em RIO LARGO; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
34,Semana 2,PENEDO,8,IVO COSTA,Vereador(a),PV,1375,1,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com IVO COSTA em PENEDO; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
35,Semana 2,MARECHAL DEODORO,6,DR EVERALDO FILHO,Vereador(a),MDB,1776,3,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com DR EVERALDO FILHO em MARECHAL DEODORO; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
36,Semana 2,ATALAIA,11,RUDINHO,Vereador(a),MDB,2331,1,Alta,Curar na primeira rodada,Confirmar possibilidade de apoio e agenda conjunta,"Mapear interlocutor local de RUDINHO; levantar histórico de alinhamento, vínculos partidários e abertura para agenda conjunta.",,,,,
37,Semana 2,MACEIÓ,1,SILVANIA BARBOSA,Vereador(a),SOLIDARIEDADE,3703,10,Média,Curar na segunda rodada,Validar aderência política e capacidade de mobilização,Manter na lista de curadoria territorial; avaliar após confirmação dos apoios dos municípios prioritários.,,,,,
38,Semana 2,ARAPIRACA,2,EDVANIO DO CANGANDU,Vereador(a),PP,2329,7,Alta,Curar na primeira rodada,Confirmar possibilidade de apoio e agenda conjunta,"Mapear interlocutor local de EDVANIO DO CANGANDU; levantar histórico de alinhamento, vínculos partidários e abertura para agenda conjunta.",,,,,
39,Semana 2,CORURIPE,9,RODIO ENÉAS,Vereador(a),PP,1885,2,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com RODIO ENÉAS em CORURIPE; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
40,Semana 2,UNIÃO DOS PALMARES,5,DÉ MOTOTAXI,Vereador(a),MDB,1554,4,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com DÉ MOTOTAXI em UNIÃO DOS PALMARES; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
41,Semana 3,RIO LARGO,3,JEFFERSON ALEXANDRE,Vereador(a),AVANTE,1818,6,Alta,Curar na primeira rodada,Confirmar possibilidade de apoio e agenda conjunta,"Mapear interlocutor local de JEFFERSON ALEXANDRE; levantar histórico de alinhamento, vínculos partidários e abertura para agenda conjunta.",,,,,
42,Semana 3,PENEDO,8,DERIVAN THOMAZ,Vereador(a),PV,1287,2,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com DERIVAN THOMAZ em PENEDO; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
43,Semana 3,PALMEIRA DOS ÍNDIOS,4,SIDNEY TARGINO,Vereador(a),PT,1539,5,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com SIDNEY TARGINO em PALMEIRA DOS ÍNDIOS; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
44,Semana 3,SÃO MIGUEL DOS CAMPOS,7,ADRIANA DO DR BEM,Vereador(a),PDT,1453,3,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com ADRIANA DO DR BEM em SÃO MIGUEL DOS CAMPOS; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
45,Semana 3,DELMIRO GOUVEIA,10,REGIS DA SAUDE,Vereador(a),MDB,1930,2,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com REGIS DA SAUDE em DELMIRO GOUVEIA; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
46,Semana 3,MARECHAL DEODORO,6,YURI CORTEZ,Vereador(a),MDB,1608,4,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com YURI CORTEZ em MARECHAL DEODORO; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
47,Semana 3,MACEIÓ,1,ALLAN PIERRE,Vereador(a),MDB,3680,11,Monitorar,Monitorar aderência,Validar aderência política e capacidade de mobilização,Monitorar movimentação política e reavaliar após novas alianças ou agenda municipal.,,,,,
