rank_estrategico,municipio,prefeito,cargo,partido,votos_prefeito,percentual_prefeito,eleitorado_2024,indice_estrategico_pct,prioridade_politica,visitado_pre_campanha,quantidade_visitas,ultima_visita,grupo_politico,relacao_davi,peso_politico,status_articulacao,observacoes,fonte_dados,status_classificacao
36,São José da Laje,ANGELA VANESSA ROCHA PEREIRA BEZERRA,Prefeito,MDB,8144,61.03,17911,0.71067537128254,Média Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
37,Porto Real do Colégio,HIGOR JOSÉ SANTOS FREITAS,Prefeito,PP,9439,66.34,18066,0.70644319183767,Média Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
38,Lagoa da Canoa,EDILZA ALVES DE SOUZA,Prefeito,PP,7948,94.68,17464,0.6758612921614899,Média Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
39,Satuba,DIOGENES JOSÉ NETO DE AMORIM,Prefeito,PP,12047,100.0,15277,0.6706671156171801,Média Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
40,Olho d'Água das Flores,JOSÉ LUIZ VASCONCELLOS DOS ANJOS,Prefeito,MDB,8611,70.26,16469,0.66878722224231,Média Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
41,Água Branca,NAYARA EMMANUELA BATISTA FEITOSA,Prefeito,PP,9227,78.03,16682,0.66015198452389,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
42,Taquarana,GERALDO CICERO DA SILVA,Prefeito,MDB,6517,53.46,15757,0.63245402840937,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
43,Major Isidoro,THEOBALDO CAVALCANTI LINS NETTO,Prefeito,MDB,7400,60.96,15802,0.61894892941926,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
44,Colônia Leopoldina,ALEXANDRE GILBERTO SOBREIRA,Prefeito,MDB,5995,51.67,15772,0.60052774867033,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
45,Joaquim Gomes,ELIAS JOSE DA SILVA,Prefeito,PSB,5172,44.33,15290,0.6001040275056,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
46,Barra de Santo Antônio,LIVIA CARLA DA SILVA ALVES,Prefeito,REPUBLICANOS,7647,60.88,15387,0.59681849623076,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
47,Cajueiro,LUCILA RÉGIA ALBUQUERQUE TOLEDO,Prefeito,MDB,5969,53.82,15200,0.59024895653799,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
