municipio,vereador,partido,instagram_url,observacao
RIO LARGO,ANIELLE PATRÍCIA SILVA DO LIVRAMENTO,PL,,Preencher manualmente com o link oficial do Instagram do vereador.
RIO LARGO,ALBERTINA MARIA ALVES CABRAL,REPUBLICANOS,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,MARIA DE FÁTIMA GALINA FORTES FERREIRA SANTIAGO,MDB,,Preencher manualmente com o link oficial do Instagram do vereador.
RIO LARGO,SAMEA RAFAELLA TORRES TENÓRIO MASCARENHAS,REPUBLICANOS,,Preencher manualmente com o link oficial do Instagram do vereador.
PALMEIRA DOS ÍNDIOS,MAXWELL ROCHA FEITOSA,MDB,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,GALBA NOVAIS DE CASTRO NETTO,PL,,Preencher manualmente com o link oficial do Instagram do vereador.
RIO LARGO,CICERO ALVES DE OMENA,MDB,,Preencher manualmente com o link oficial do Instagram do vereador.
RIO LARGO,ABERILDO MARIZ FERREIRA,MDB,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,DAVID CABRAL DAVINO,PP,,Preencher manualmente com o link oficial do Instagram do vereador.
PALMEIRA DOS ÍNDIOS,PEDRO RODRIGUES GAIA BISNETO,MDB,,Preencher manualmente com o link oficial do Instagram do vereador.
PALMEIRA DOS ÍNDIOS,GILENO COSTA SAMPAIO FILHO,PRD,,Preencher manualmente com o link oficial do Instagram do vereador.
PALMEIRA DOS ÍNDIOS,ANTONIO GARROTE DA SILVA FILHO,PP,,Preencher manualmente com o link oficial do Instagram do vereador.
RIO LARGO,MARCOS ROBERTO DUARTE DA SILVA,PSB,,Preencher manualmente com o link oficial do Instagram do vereador.
PALMEIRA DOS ÍNDIOS,SALOMÃO CAVALCANTE TORRES,MDB,,Preencher manualmente com o link oficial do Instagram do vereador.
RIO LARGO,FERNANDO HECTON DO NASCIMENTO SOUZA,PL,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,MARCELO PALMEIRA CAVALCANTE,PL,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,THALES LUIZ PEIXOTO CAVALCANTE,PSB,,Preencher manualmente com o link oficial do Instagram do vereador.
SÃO MIGUEL DOS CAMPOS,JOSIVALDO JOSÉ DA SILVA,PDT,,Preencher manualmente com o link oficial do Instagram do vereador.
PALMEIRA DOS ÍNDIOS,LUCIO CARLOS FONSECA MEDEIROS,UNIÃO,,Preencher manualmente com o link oficial do Instagram do vereador.
SÃO MIGUEL DOS CAMPOS,DINEY SOARES TORRES NETO,MDB,,Preencher manualmente com o link oficial do Instagram do vereador.
SÃO MIGUEL DOS CAMPOS,ADRIANA DE CARVALHO SILVA DE OMENA,PDT,,Preencher manualmente com o link oficial do Instagram do vereador.
RIO LARGO,WEVERTON VICENTE DA SILVA OLIVEIRA,PSB,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,LUCIANO MARINHO DA SILVA,PL,,Preencher manualmente com o link oficial do Instagram do vereador.
PALMEIRA DOS ÍNDIOS,JANIO BARBOSA MARQUES,MDB,,Preencher manualmente com o link oficial do Instagram do vereador.
PALMEIRA DOS ÍNDIOS,SIDINY TARGINO DA SILVA,PT,,Preencher manualmente com o link oficial do Instagram do vereador.
SÃO MIGUEL DOS CAMPOS,EDINALDO PEREIRA DOS SANTOS,MDB,,Preencher manualmente com o link oficial do Instagram do vereador.
PALMEIRA DOS ÍNDIOS,RONALDO CORREIA DOS SANTOS JÚNIOR,PRD,,Preencher manualmente com o link oficial do Instagram do vereador.
PALMEIRA DOS ÍNDIOS,MADSON LUCIANO MONTEIRO SANTOS DA SILVA,PV,,Preencher manualmente com o link oficial do Instagram do vereador.
PALMEIRA DOS ÍNDIOS,JOSE HELENILDO RIBEIRO MONTEIRO NETO,REPUBLICANOS,,Preencher manualmente com o link oficial do Instagram do vereador.
SÃO MIGUEL DOS CAMPOS,ALEXANDRE PEREIRA DOS SANTOS,PDT,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,FRANCISCO HOLANDA COSTA FILHO,PL,,Preencher manualmente com o link oficial do Instagram do vereador.
SÃO MIGUEL DOS CAMPOS,ROBSON ALFREDO DA SILVA MOURA,MDB,,Preencher manualmente com o link oficial do Instagram do vereador.
SÃO MIGUEL DOS CAMPOS,JORGE JOSÉ DOS SANTOS CAVALCANTE,PDT,,Preencher manualmente com o link oficial do Instagram do vereador.
PALMEIRA DOS ÍNDIOS,FABIANO GOMES DE SOUZA,REPUBLICANOS,,Preencher manualmente com o link oficial do Instagram do vereador.
SÃO MIGUEL DOS CAMPOS,BERNARD BOMFIM CORREIA,PDT,,Preencher manualmente com o link oficial do Instagram do vereador.
PALMEIRA DOS ÍNDIOS,JOSÉ FÁBIO SILVA TARGINO,SOLIDARIEDADE,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,LEONARDO DA FONSECA DIAS,PL,,Preencher manualmente com o link oficial do Instagram do vereador.
PALMEIRA DOS ÍNDIOS,GERALDO RIBEIRO LIMA JUNIOR,SOLIDARIEDADE,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,OLÍVIA COIMBRA TENÓRIO VILAÇA,PP,,Preencher manualmente com o link oficial do Instagram do vereador.
SÃO MIGUEL DOS CAMPOS,DIOGENES ALLYSON ALMEIDA NOVAIS,PP,,Preencher manualmente com o link oficial do Instagram do vereador.
SÃO MIGUEL DOS CAMPOS,JOSE VENANCIO DOS SANTOS,MDB,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,ALDO ROBERTO DA ROCHA LOUREIRO,PDT,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,CLAUDIO MOREIRA DA SILVA,PL,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,THIAGO PRADO OLIVEIRA SILVEIRA,PP,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,TEREZA NELMA PORTO VIANA SOARES,PT,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,MILTON LUNA BARROS NETO,PSB,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,WARLLEN DAVID BEZERRA NASCIMENTO MESQUITA,UNIÃO,,Preencher manualmente com o link oficial do Instagram do vereador.
SÃO MIGUEL DOS CAMPOS,JOSEPH ROBERT SANTOS MARTINIANO,MDB,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,BRIVALDO MARQUES SILVA NETO,PL,,Preencher manualmente com o link oficial do Instagram do vereador.
SÃO MIGUEL DOS CAMPOS,SIMONE DE LIMA E SILVA,PV,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,KELMANN VIEIRA DE OLIVEIRA,MDB,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,JOSÉ NILTON LIMA DE OLIVEIRA,REPUBLICANOS,,Preencher manualmente com o link oficial do Instagram do vereador.
SÃO MIGUEL DOS CAMPOS,GISELDA RODRIGUES CAVALCANTE,MDB,,Preencher manualmente com o link oficial do Instagram do vereador.
SÃO MIGUEL DOS CAMPOS,JOSÉ FEITOSA DA SILVA,PDT,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,SAMYR MALTA AMARAL,PODE,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,ALLAN PIERRE VASCONCELOS,MDB,,Preencher manualmente com o link oficial do Instagram do vereador.
SÃO MIGUEL DOS CAMPOS,JALON CABRAL DE OLIVEIRA SILVA,PP,,Preencher manualmente com o link oficial do Instagram do vereador.
PALMEIRA DOS ÍNDIOS,CLAUDEMIR PEREIRA DA SILVA,UNIÃO,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,JEANNYNE BELTRÃO LIMA SIQUEIRA,PL,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,JOSÉ EDUARDO ACCIOLY CANUTO,PL,,Preencher manualmente com o link oficial do Instagram do vereador.
