chave_local,municipio,local,endereco,latitude,longitude,bairro,status,fonte,estrategia_usada,consulta_usada,display_name
"MACEIO|E.M. PROFA. HEVIA VALERIA MAIA AMORIM|AV JOSE AILTON DOS SANTOS, S/N, VILAGE CAMPESTRE I",MACEIO,E.M. PROFA. HEVIA VALERIA MAIA AMORIM,"AV JOSE AILTON DOS SANTOS, S/N, VILAGE CAMPESTRE I",,,,NAO_ENCONTRADO_V2,,,,
MACEIO|ESCOLA MUN. SILVESTRE PERICLES|PRACA DR CAIO DE AGUIAR PORTO S/N - PONTAL DA BARRA,MACEIO,ESCOLA MUN. SILVESTRE PERICLES,PRACA DR CAIO DE AGUIAR PORTO S/N - PONTAL DA BARRA,,,,NAO_ENCONTRADO_V2,,,,
"MACEIO|ESCOLA MONTEIRO LOBATO|RUA DO IPE ROXO, 291",MACEIO,ESCOLA MONTEIRO LOBATO,"RUA DO IPE ROXO, 291",-9.6104712,-35.7385532,Gruta de Lourdes,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_LOCAL_MUNICIPIO,"ESCOLA MONTEIRO LOBATO, MACEIO, Alagoas, Brasil","Colégio Monteiro Lobato, 277, Rua Ipê Roxo, Gruta de Lourdes, Maceió, Alagoas, Região Nordeste, 57052-590, Brasil"
"MACEIO|COLEGIO SANTISSIMO SENHOR|LOTEAMENTO BRISA DA SERRARIA, 302 - CONJ. JOSE TENORIO",MACEIO,COLEGIO SANTISSIMO SENHOR,"LOTEAMENTO BRISA DA SERRARIA, 302 - CONJ. JOSE TENORIO",-9.6012888,-35.7193828,Serraria,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_LOCAL_MUNICIPIO,"COLEGIO SANTISSIMO SENHOR, MACEIO, Alagoas, Brasil","Colégio Santíssimo Senhor, 302, Avenida Deputado Edson Lins, Serraria, Maceió, Alagoas, Região Nordeste, 57046-140, Brasil"
"MACEIO|ESC. MUN. ANTONIO SEMEAO LAMENHA LINS|RUA MAJOR JOAQUIM CALHEIROS, S/N",MACEIO,ESC. MUN. ANTONIO SEMEAO LAMENHA LINS,"RUA MAJOR JOAQUIM CALHEIROS, S/N",,,,NAO_ENCONTRADO_V2,,,,
"MACEIO|ESC. EST. MANOEL SIMPLICIO DO NASCIMENTO|RUA DIVISORIA FEICAO, S/N",MACEIO,ESC. EST. MANOEL SIMPLICIO DO NASCIMENTO,"RUA DIVISORIA FEICAO, S/N",,,,NAO_ENCONTRADO_V2,,,,
"MACEIO|COLEGIO INTENSIVO|LARGO DA VITORIA, 215",MACEIO,COLEGIO INTENSIVO,"LARGO DA VITORIA, 215",-9.6688306,-35.7185657,Pajuçara,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_LOCAL_MUNICIPIO,"COLEGIO INTENSIVO, MACEIO, Alagoas, Brasil","Colégio Intensivo, 211, Rua Doutor Messias de Gusmão, Pajuçara, Maceió, Alagoas, Região Nordeste, 57030-085, Brasil"
"MACEIO|E.M. TRADUTOR JOAO SAMPAIO|PRACA CENTRAL, S/N, CONJ. JOAO SAMPAIO I",MACEIO,E.M. TRADUTOR JOAO SAMPAIO,"PRACA CENTRAL, S/N, CONJ. JOAO SAMPAIO I",-9.6059429,-35.7615242,Petrópolis,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_LOCAL_SIMPLIFICADO,"TRADUTOR JOAO SAMPAIO, MACEIO, Alagoas, Brasil","Escola Municipal Tradutor João Sampaio, Rua Quatorze A, Conjunto João Sampaio, Petrópolis, Maceió, Alagoas, Região Nordeste, 57062-680, Brasil"
"MACEIO|ESC. MUN. DR. BALTAZAR DE MENDONCA|RUA DIVISORIA FEICAO, S/N",MACEIO,ESC. MUN. DR. BALTAZAR DE MENDONCA,"RUA DIVISORIA FEICAO, S/N",,,,NAO_ENCONTRADO_V2,,,,
"MACEIO|ESC. EST. PROF. THEOTONIO VILELA BRANDAO|RUA ADAUTO GOMES BARBOSA, SN - SANTO EDUARDO",MACEIO,ESC. EST. PROF. THEOTONIO VILELA BRANDAO,"RUA ADAUTO GOMES BARBOSA, SN - SANTO EDUARDO",,,,NAO_ENCONTRADO_V2,,,,
"MACEIO|ESCOLA ESTADUAL MARIA AMALIA|RUA VALDEMAR RUFINO DOS SANTOS, S/N,VILA ABC",MACEIO,ESCOLA ESTADUAL MARIA AMALIA,"RUA VALDEMAR RUFINO DOS SANTOS, S/N,VILA ABC",,,,NAO_ENCONTRADO_V2,,,,
"MACEIO|CLUBE DA CAIXA ECONOMICA FEDERAL (APCEF/AL)|ROD. AL 101 NORTE, S/N",MACEIO,CLUBE DA CAIXA ECONOMICA FEDERAL (APCEF/AL),"ROD. AL 101 NORTE, S/N",,,,NAO_ENCONTRADO_V2,,,,
"MACEIO|ESCOLA MUNICIPAL PROFESSORA JAREDE VIANA DE OLIVEIRA|RUA SAO JOSE, S/N, AO LADO DA ESCOLA MUNICIPAL TOBIAS GRANJA",MACEIO,ESCOLA MUNICIPAL PROFESSORA JAREDE VIANA DE OLIVEIRA,"RUA SAO JOSE, S/N, AO LADO DA ESCOLA MUNICIPAL TOBIAS GRANJA",,,,NAO_ENCONTRADO_V2,,,,
MACEIO|COLEGIO MARIA MONTESSORI|RUA PAPA JOAO PAULO 30,MACEIO,COLEGIO MARIA MONTESSORI,RUA PAPA JOAO PAULO 30,-9.6191601,-35.7330217,Bairro Gruta de Lourdes,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_LOCAL_MUNICIPIO,"COLEGIO MARIA MONTESSORI, MACEIO, Alagoas, Brasil","Ginásio do Colégio Maria Montessori, Rua Danúsia de Menezes Brandão Ayres, Bairro Gruta de Lourdes, Gruta de Lourdes, Maceió, Alagoas, Região Nordeste, 57052-620, Brasil"
