ranking_reduto_qualificado;municipio;vereador;partido;local_principal;endereco_local_principal;latitude;longitude;bairro;distrito;status_geocodificacao;votos_local_principal;votos_totais_vereador;percentual_local_principal;qtd_secoes_controladas;total_secoes_vereador;indice_reduto;classificacao_reduto;status_reduto;nivel_reduto;potencial_transferencia;prioridade_agenda;observacao_estrategica
115;ARAPIRACA;JOÃO JOSÉ MARQUES DA SILVA;PT;ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA;SÍTIO BATINGAS;;;;;NAO_ENCONTRADO;152;569;2671;10;232;2329;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JOÃO JOSÉ MARQUES DA SILVA concentra 2671.00% dos seus votos no local ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA, com 152 votos registrados.
116;UNIAO DOS PALMARES;MARCOS CORREIA LEITE;PDT;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;AV. JOÃO LYRA FILHO, S/N;;;;;NAO_ENCONTRADO;150;1015;1478;16;141;1902;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;MARCOS CORREIA LEITE concentra 1478.00% dos seus votos no local ESCOLA ESTADUAL CARLOS GOMES DE BARROS, com 150 votos registrados.
117;PALMEIRA DOS INDIOS;FABIANO GOMES DE SOUZA;REPUBLICANOS;COLÉGIO CRISTO REDENTOR;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;São Cristovão;;ENCONTRADO;150;1221;1229;21;164;1997;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;FABIANO GOMES DE SOUZA concentra 1229.00% dos seus votos no local COLÉGIO CRISTO REDENTOR, com 150 votos registrados.
118;DELMIRO GOUVEIA;RENATO DAVID TORRES DE OLIVEIRA;PT;ANCHIETA, GRUPO ESCOLAR PADRE ( POV. LAGOINHA);POVOADO LAGOINHAS S/N;;;;;NAO_ENCONTRADO;150;1330;1128;5;148;1156;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;RENATO DAVID TORRES DE OLIVEIRA concentra 1128.00% dos seus votos no local ANCHIETA, GRUPO ESCOLAR PADRE ( POV. LAGOINHA), com 150 votos registrados.
119;RIO LARGO;MARCELO VITOR PRAXEDES TORRES;REPUBLICANOS;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;148;673;2199;16;183;2332;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;MARCELO VITOR PRAXEDES TORRES concentra 2199.00% dos seus votos no local ESCOLA MUNICIPAL DR. GUSTAVO PAIVA, com 148 votos registrados.
120;PENEDO;JORGE ALVES DA SILVA;MDB;ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO;RUA FLORIANO ROSA, S/N, PX. AO POSTO DE SAÚDE, CONJUNTO VILA MATIAS;;;;;NAO_ENCONTRADO;147;735;200;12;132;2016;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JORGE ALVES DA SILVA concentra 200.00% dos seus votos no local ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO, com 147 votos registrados.
121;CORURIPE;JOSÉ ANDERSON DE LIMA SANTOS;PSB;ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA;RUA PERNAMBUCO NOVO, S/N;;;;;NAO_ENCONTRADO;146;830;1759;12;119;187;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JOSÉ ANDERSON DE LIMA SANTOS concentra 1759.00% dos seus votos no local ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA, com 146 votos registrados.
122;DELMIRO GOUVEIA;EZEQUIEL DE CARVALHO COSTA;MDB;VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA;AV MASCARENHAS DE MORAIS S/N;;;;;NAO_ENCONTRADO;146;1279;1142;12;148;1499;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;EZEQUIEL DE CARVALHO COSTA concentra 1142.00% dos seus votos no local VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA, com 146 votos registrados.
123;MARECHAL DEODORO;JOSÉ WAGNER COSTA DA SILVA;MDB;ESCOLA ESTADUAL JOSÉ CORREIA DA SILVA TITARA;LOT BOSQUE DA MASSAGUEIRA N 3A;;;;;NAO_ENCONTRADO;145;1442;1006;9;135;127;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JOSÉ WAGNER COSTA DA SILVA concentra 1006.00% dos seus votos no local ESCOLA ESTADUAL JOSÉ CORREIA DA SILVA TITARA, com 145 votos registrados.
124;PENEDO;VALDY VASCONCELOS;PSB;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;;;NAO_ENCONTRADO;145;1066;136;22;134;2116;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;VALDY VASCONCELOS concentra 136.00% dos seus votos no local COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO, com 145 votos registrados.
125;SAO MIGUEL DOS CAMPOS;JOSÉ FEITOSA DA SILVA;PDT;ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA;RODOVIA BR 101, KM 69;-9.741431;-36.0611185;São Miguel dos Campos;;ENCONTRADO;142;1010;1406;14;137;1749;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JOSÉ FEITOSA DA SILVA concentra 1406.00% dos seus votos no local ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA, com 142 votos registrados.
126;PALMEIRA DOS INDIOS;JOSE HELENILDO RIBEIRO MONTEIRO NETO;REPUBLICANOS;COLÉGIO ESTADUAL HUMBERTO MENDES;AV GOV MUNIZ FALCÃO 701;;;;;NAO_ENCONTRADO;141;1042;1353;22;163;2106;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JOSE HELENILDO RIBEIRO MONTEIRO NETO concentra 1353.00% dos seus votos no local COLÉGIO ESTADUAL HUMBERTO MENDES, com 141 votos registrados.
127;UNIAO DOS PALMARES;JURANDIR CAMILO DA SILVA;PP;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;140;684;2047;16;138;2228;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JURANDIR CAMILO DA SILVA concentra 2047.00% dos seus votos no local COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS, com 140 votos registrados.
128;SAO MIGUEL DOS CAMPOS;JOSEPH ROBERT SANTOS MARTINIANO;MDB;ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA;RODOVIA BR 101, KM 69;-9.741431;-36.0611185;São Miguel dos Campos;;ENCONTRADO;139;1004;1384;14;136;1731;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JOSEPH ROBERT SANTOS MARTINIANO concentra 1384.00% dos seus votos no local ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA, com 139 votos registrados.
129;ARAPIRACA;MARCUS FABIANO MATOS BARBOZA;PP;ESCOLA DE 1 GRAU PROFESSOR JAYME DE ALTAVILLA;RUA SANTOS DUMONT, 623;-9.7498653;-36.6655146;Centro;;ENCONTRADO;139;2260;615;8;361;977;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;MARCUS FABIANO MATOS BARBOZA concentra 615.00% dos seus votos no local ESCOLA DE 1 GRAU PROFESSOR JAYME DE ALTAVILLA, com 139 votos registrados.
130;SAO MIGUEL DOS CAMPOS;ALEXANDRE PEREIRA DOS SANTOS;PDT;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;AV. SAMPAIO MARQUES, S/N;;;;;NAO_ENCONTRADO;137;1058;1295;15;136;1723;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;ALEXANDRE PEREIRA DOS SANTOS concentra 1295.00% dos seus votos no local COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA, com 137 votos registrados.
131;MACEIO;WARLLEN DAVID BEZERRA NASCIMENTO MESQUITA;UNIÃO;UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT);AV GUSTAVO PAIVA, 5017;-9.6478561;-35.7147108;Mangabeiras;;ENCONTRADO;137;5421;253;39;547;2269;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;WARLLEN DAVID BEZERRA NASCIMENTO MESQUITA concentra 253.00% dos seus votos no local UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT), com 137 votos registrados.
132;SAO MIGUEL DOS CAMPOS;JOSE VENANCIO DOS SANTOS;MDB;ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA;RODOVIA BR 101, KM 69;-9.741431;-36.0611185;São Miguel dos Campos;;ENCONTRADO;135;916;1474;14;136;1779;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JOSE VENANCIO DOS SANTOS concentra 1474.00% dos seus votos no local ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA, com 135 votos registrados.
133;PENEDO;PAULO ROBERTO FERREIRA;SOLIDARIEDADE;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;;;NAO_ENCONTRADO;134;744;1801;22;132;2364;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;PAULO ROBERTO FERREIRA concentra 1801.00% dos seus votos no local COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO, com 134 votos registrados.
134;PENEDO;ALCIDES DE ANDRADE NETO;UNIÃO;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;;;NAO_ENCONTRADO;131;668;1961;22;134;2455;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;ALCIDES DE ANDRADE NETO concentra 1961.00% dos seus votos no local COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO, com 131 votos registrados.
135;SAO MIGUEL DOS CAMPOS;DIOGENES ALLYSON ALMEIDA NOVAIS;PP;ESCOLA ANA LINS;RUA SENADOR MAXIMO, 130;-9.7797751;-36.0993035;Centro;;ENCONTRADO;130;1155;1126;10;137;1367;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;DIOGENES ALLYSON ALMEIDA NOVAIS concentra 1126.00% dos seus votos no local ESCOLA ANA LINS, com 130 votos registrados.
136;MACEIO;JEANNYNE BELTRÃO LIMA SIQUEIRA;PL;UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT);AV GUSTAVO PAIVA, 5017;-9.6478561;-35.7147108;Mangabeiras;;ENCONTRADO;130;6362;204;41;546;2326;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JEANNYNE BELTRÃO LIMA SIQUEIRA concentra 204.00% dos seus votos no local UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT), com 130 votos registrados.
137;SAO MIGUEL DOS CAMPOS;GISELDA RODRIGUES CAVALCANTE;MDB;ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA;RODOVIA BR 101, KM 69;-9.741431;-36.0611185;São Miguel dos Campos;;ENCONTRADO;129;880;1466;14;136;1765;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;GISELDA RODRIGUES CAVALCANTE concentra 1466.00% dos seus votos no local ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA, com 129 votos registrados.
138;UNIAO DOS PALMARES;WELLINGTON FERREIRA DOS SANTOS;PDT;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;AV. JOÃO LYRA FILHO, S/N;;;;;NAO_ENCONTRADO;129;1050;1229;16;141;172;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;WELLINGTON FERREIRA DOS SANTOS concentra 1229.00% dos seus votos no local ESCOLA ESTADUAL CARLOS GOMES DE BARROS, com 129 votos registrados.
139;CORURIPE;FRANCINEY JOAQUIM DOS SANTOS;PSB;ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM;RUA JOSÉ RAIMUNDO DOS SANTOS, 40;-10.118516;-36.1800084;Coruripe;;ENCONTRADO;128;792;1616;13;120;1804;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;FRANCINEY JOAQUIM DOS SANTOS concentra 1616.00% dos seus votos no local ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM, com 128 votos registrados.
140;RIO LARGO;CAMILLY CABRAL CORREIA ALVES DE OLIVEIRA;PDT;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;124;1294;958;16;197;155;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;CAMILLY CABRAL CORREIA ALVES DE OLIVEIRA concentra 958.00% dos seus votos no local ESCOLA MUNICIPAL DR. GUSTAVO PAIVA, com 124 votos registrados.
141;PENEDO;MANOEL MESSIAS LIMA;PSB;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;;;NAO_ENCONTRADO;123;823;1495;22;132;2163;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;MANOEL MESSIAS LIMA concentra 1495.00% dos seus votos no local COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO, com 123 votos registrados.
142;UNIAO DOS PALMARES;ALAN ELVES VIEIRA DE OLIVEIRA;PSB;COLEGIO DR. MARIO GOMES DE BARROS;RUA JARDIM BRASILIA 378;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;123;1083;1136;17;141;1704;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;ALAN ELVES VIEIRA DE OLIVEIRA concentra 1136.00% dos seus votos no local COLEGIO DR. MARIO GOMES DE BARROS, com 123 votos registrados.
143;ARAPIRACA;TULIO SAMPAIO FREIRE;SOLIDARIEDADE;ESCOLA DE ENSINO FUNDAMENTAL ZÉLIA BARBOSA ROCHA;RUA DJALMA M. SANTANA;;;;;NAO_ENCONTRADO;123;1956;629;8;359;96;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;TULIO SAMPAIO FREIRE concentra 629.00% dos seus votos no local ESCOLA DE ENSINO FUNDAMENTAL ZÉLIA BARBOSA ROCHA, com 123 votos registrados.
144;DELMIRO GOUVEIA;JAMIL CORDEIRO DE ARAUJO FILHO;MDB;VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA;AV MASCARENHAS DE MORAIS S/N;;;;;NAO_ENCONTRADO;118;1114;1059;12;132;1406;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JAMIL CORDEIRO DE ARAUJO FILHO concentra 1059.00% dos seus votos no local VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA, com 118 votos registrados.
145;RIO LARGO;EFRAIN VERÇOLINO DA SILVA;AVANTE;GRUPO ESCOLAR OZORIA MOURA DE LIMA;RUA  ANTONIO ELIAS CALHEIROS S/N;;;;;NAO_ENCONTRADO;118;1313;899;5;192;968;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;EFRAIN VERÇOLINO DA SILVA concentra 899.00% dos seus votos no local GRUPO ESCOLAR OZORIA MOURA DE LIMA, com 118 votos registrados.
146;PENEDO;ANDRESA SANTOS LIMA MENDES;MDB;COLÉGIO DIOCESANO DE PENEDO;PÇA. LARGO DE FÁTIMA, PX. À 9A. COORDENADORIA DE ENSINO DE ALAGOAS;;;;;NAO_ENCONTRADO;116;866;1339;12;134;1571;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;ANDRESA SANTOS LIMA MENDES concentra 1339.00% dos seus votos no local COLÉGIO DIOCESANO DE PENEDO, com 116 votos registrados.
147;RIO LARGO;LUZARDO DE ARAÚJO LISBOA NETO;PDT;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;115;1238;929;16;197;1518;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;LUZARDO DE ARAÚJO LISBOA NETO concentra 929.00% dos seus votos no local ESCOLA MUNICIPAL DR. GUSTAVO PAIVA, com 115 votos registrados.
148;ARAPIRACA;MARIA CAROLINE SOUZA VALERIANO;PODE;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;Capiatá;;ENCONTRADO;114;2447;466;16;368;1239;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;MARIA CAROLINE SOUZA VALERIANO concentra 466.00% dos seus votos no local ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA, com 114 votos registrados.
149;SAO MIGUEL DOS CAMPOS;JORGE JOSÉ DOS SANTOS CAVALCANTE;PDT;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;AV. SAMPAIO MARQUES, S/N;;;;;NAO_ENCONTRADO;113;966;117;15;136;1611;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JORGE JOSÉ DOS SANTOS CAVALCANTE concentra 117.00% dos seus votos no local COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA, com 113 votos registrados.
150;MACEIO;JOSÉ NILTON LIMA DE OLIVEIRA;REPUBLICANOS;UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT);AV GUSTAVO PAIVA, 5017;-9.6478561;-35.7147108;Mangabeiras;;ENCONTRADO;110;4704;234;38;540;2166;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JOSÉ NILTON LIMA DE OLIVEIRA concentra 234.00% dos seus votos no local UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT), com 110 votos registrados.
151;SAO MIGUEL DOS CAMPOS;BERNARD BOMFIM CORREIA;PDT;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;AV. SAMPAIO MARQUES, S/N;;;;;NAO_ENCONTRADO;110;1146;96;15;137;148;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;BERNARD BOMFIM CORREIA concentra 96.00% dos seus votos no local COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA, com 110 votos registrados.
152;MARECHAL DEODORO;JANDERSON DA CONCEIÇÃO SANTOS;SOLIDARIEDADE;ESCOLA MUNICIPAL GOVERNADOR LUIZ CAVALCANTE;RODOVIA EDVAL LEMOS;-9.7585568;-35.8685101;Vila Cabreiras;;ENCONTRADO;109;497;2193;10;104;1974;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JANDERSON DA CONCEIÇÃO SANTOS concentra 2193.00% dos seus votos no local ESCOLA MUNICIPAL GOVERNADOR LUIZ CAVALCANTE, com 109 votos registrados.
153;PALMEIRA DOS INDIOS;JOSÉ FÁBIO SILVA TARGINO;SOLIDARIEDADE;COLÉGIO ESTADUAL HUMBERTO MENDES;AV GOV MUNIZ FALCÃO 701;;;;;NAO_ENCONTRADO;109;780;1397;22;162;2082;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JOSÉ FÁBIO SILVA TARGINO concentra 1397.00% dos seus votos no local COLÉGIO ESTADUAL HUMBERTO MENDES, com 109 votos registrados.
154;PALMEIRA DOS INDIOS;GERALDO RIBEIRO LIMA JUNIOR;SOLIDARIEDADE;COLÉGIO ESTADUAL HUMBERTO MENDES;AV GOV MUNIZ FALCÃO 701;;;;;NAO_ENCONTRADO;106;853;1243;21;164;1936;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;GERALDO RIBEIRO LIMA JUNIOR concentra 1243.00% dos seus votos no local COLÉGIO ESTADUAL HUMBERTO MENDES, com 106 votos registrados.
155;ARAPIRACA;JACKELLINE MARIA BARBOSA ALMEIDA;MDB;COLÉGIO QUINTELA CAVALCANTE;AV. VENTURA DE FARIAS S/N;-9.7466266;-36.6673366;Eldorado;;ENCONTRADO;106;2020;525;16;359;1262;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JACKELLINE MARIA BARBOSA ALMEIDA concentra 525.00% dos seus votos no local COLÉGIO QUINTELA CAVALCANTE, com 106 votos registrados.
156;SAO MIGUEL DOS CAMPOS;SIMONE DE LIMA E SILVA;PV;ESCOLA MUNICIPAL PROFESSORA INEIDE NOGUEIRA ROCHA;RUA ALÍCIA VITÓRIA URBANO DE OLIVEIRA LOPES, QUADRA O1, S/N;;;;;NAO_ENCONTRADO;104;752;1383;11;133;1529;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;SIMONE DE LIMA E SILVA concentra 1383.00% dos seus votos no local ESCOLA MUNICIPAL PROFESSORA INEIDE NOGUEIRA ROCHA, com 104 votos registrados.
157;DELMIRO GOUVEIA;CARLOS GABRIEL VARJÃO CORREIA DA SILVA;PSB;MANOEL MOURA, COLEGIO DE 1 GRAU;POVOADO BARRAGEM;;;;;NAO_ENCONTRADO;103;777;1326;5;141;1201;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;CARLOS GABRIEL VARJÃO CORREIA DA SILVA concentra 1326.00% dos seus votos no local MANOEL MOURA, COLEGIO DE 1 GRAU, com 103 votos registrados.
158;SAO MIGUEL DOS CAMPOS;JALON CABRAL DE OLIVEIRA SILVA;PP;ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA;RODOVIA BR 101, KM 69;-9.741431;-36.0611185;São Miguel dos Campos;;ENCONTRADO;103;793;1299;14;136;1624;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JALON CABRAL DE OLIVEIRA SILVA concentra 1299.00% dos seus votos no local ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA, com 103 votos registrados.
159;DELMIRO GOUVEIA;JOSE IVAM DE ARAUJO JUNIOR;PT;JOSE CORREIA DOS SANTOS,GRUPO ESCOLAR;POVOADO SINIMBU;;;;;NAO_ENCONTRADO;103;824;125;4;141;1107;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JOSE IVAM DE ARAUJO JUNIOR concentra 125.00% dos seus votos no local JOSE CORREIA DOS SANTOS,GRUPO ESCOLAR, com 103 votos registrados.
160;MARECHAL DEODORO;JORGE AFFONSO BARROS DE MELLO;REPUBLICANOS;ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA;AV SÃO JOSÉ SN;-9.7102397;-35.8959836;Centro;;ENCONTRADO;99;620;1597;11;126;165;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;JORGE AFFONSO BARROS DE MELLO concentra 1597.00% dos seus votos no local ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA, com 99 votos registrados.
161;ARAPIRACA;RODRIGO JOSÉ DA SILVA;PMB;ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA;RUA MANOEL LÚCIO S/N;-9.7464382;-36.6524184;Alto do Cruzeiro;;ENCONTRADO;98;1510;649;12;348;1128;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;RODRIGO JOSÉ DA SILVA concentra 649.00% dos seus votos no local ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA, com 98 votos registrados.
162;CORURIPE;FRAUDENICIO JOAQUIM DOS SANTOS;SOLIDARIEDADE;ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA;RUA PERNAMBUCO NOVO, S/N;;;;;NAO_ENCONTRADO;96;533;1801;12;111;1816;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;FRAUDENICIO JOAQUIM DOS SANTOS concentra 1801.00% dos seus votos no local ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA, com 96 votos registrados.
163;ARAPIRACA;JOSÉ BARBOSA DA SILVA;PT;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;Capiatá;;ENCONTRADO;95;477;1992;16;206;2125;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;JOSÉ BARBOSA DA SILVA concentra 1992.00% dos seus votos no local ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA, com 95 votos registrados.
164;PENEDO;DAVI SILVA DE OLIVEIRA;UNIÃO;ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO;RUA FLORIANO ROSA, S/N, PX. AO POSTO DE SAÚDE, CONJUNTO VILA MATIAS;;;;;NAO_ENCONTRADO;94;538;1747;12;127;1781;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;DAVI SILVA DE OLIVEIRA concentra 1747.00% dos seus votos no local ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO, com 94 votos registrados.
