ranking_reduto_qualificado;municipio;vereador;partido;local_principal;endereco_local_principal;latitude;longitude;bairro;distrito;status_geocodificacao;votos_local_principal;votos_totais_vereador;percentual_local_principal;qtd_secoes_controladas;total_secoes_vereador;indice_reduto;classificacao_reduto;status_reduto;nivel_reduto;potencial_transferencia;prioridade_agenda;observacao_estrategica
44;RIO LARGO;JOSÉ ROGÉRIO DA SILVA;PP;COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO;CONJ GURIATA, S/N;;;;;NAO_ENCONTRADO;269;1922;140;12;198;1847;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JOSÉ ROGÉRIO DA SILVA concentra 140.00% dos seus votos no local COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO, com 269 votos registrados.
45;MACEIO;SILVANIA BATINGA DE OLIVEIRA BARBOSA;SOLIDARIEDADE;COLÉGIO TIRADENTES;AV. ROBERTO PONTES LIMA, 208,;-9.6734939;-35.7544376;Trapiche da Barra;;ENCONTRADO;268;6464;415;14;537;1352;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;SILVANIA BATINGA DE OLIVEIRA BARBOSA concentra 415.00% dos seus votos no local COLÉGIO TIRADENTES, com 268 votos registrados.
46;UNIAO DOS PALMARES;MIRIAM AURELIANO DOS SANTOS;MDB;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;265;1298;2042;16;141;2421;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;MIRIAM AURELIANO DOS SANTOS concentra 2042.00% dos seus votos no local COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS, com 265 votos registrados.
47;CORURIPE;RODIO ENÉAS GUIMARÃES GAMA;PP;ESCOLA MUNICIPAL NOSSA SENHORA DO MONT SERRAT;POVOADO MIAI DE BAIXO, S/N;;;;;NAO_ENCONTRADO;262;1885;139;4;120;144;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;RODIO ENÉAS GUIMARÃES GAMA concentra 139.00% dos seus votos no local ESCOLA MUNICIPAL NOSSA SENHORA DO MONT SERRAT, com 262 votos registrados.
48;DELMIRO GOUVEIA;FABIOLA MARQUES DE LIMA;MDB;VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA;AV MASCARENHAS DE MORAIS S/N;;;;;NAO_ENCONTRADO;258;1649;1565;12;141;1929;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;FABIOLA MARQUES DE LIMA concentra 1565.00% dos seus votos no local VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA, com 258 votos registrados.
49;PALMEIRA DOS INDIOS;PEDRO RODRIGUES GAIA BISNETO;MDB;COLÉGIO ESTADUAL HUMBERTO MENDES;AV GOV MUNIZ FALCÃO 701;;;;;NAO_ENCONTRADO;255;2237;114;22;167;2157;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;PEDRO RODRIGUES GAIA BISNETO concentra 114.00% dos seus votos no local COLÉGIO ESTADUAL HUMBERTO MENDES, com 255 votos registrados.
50;PALMEIRA DOS INDIOS;SIDINY TARGINO DA SILVA;PT;ESCOLA MUNICIPAL PEDRO RODRIGUES GAIA;POVOADO CORURIPE DA CAL;;;;;NAO_ENCONTRADO;250;1539;1624;2;164;1464;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;SIDINY TARGINO DA SILVA concentra 1624.00% dos seus votos no local ESCOLA MUNICIPAL PEDRO RODRIGUES GAIA, com 250 votos registrados.
51;PALMEIRA DOS INDIOS;GILENO COSTA SAMPAIO FILHO;PRD;COLÉGIO CRISTO REDENTOR;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;São Cristovão;;ENCONTRADO;250;1667;150;21;164;2316;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;GILENO COSTA SAMPAIO FILHO concentra 150.00% dos seus votos no local COLÉGIO CRISTO REDENTOR, com 250 votos registrados.
52;ARAPIRACA;JULIA FABRICIA FERREIRA DE LIMA BEZERRA;MDB;ESCOLA ENSINO FUNDAMENTAL DIVALDO SURUAGY;RUA ADERVAL INÁCIO DA SILVA, 45, BRASÍLIA, ARAPIRACA;-9.7523022;-36.6444312;Brasília;;ENCONTRADO;248;2920;849;10;373;1386;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JULIA FABRICIA FERREIRA DE LIMA BEZERRA concentra 849.00% dos seus votos no local ESCOLA ENSINO FUNDAMENTAL DIVALDO SURUAGY, com 248 votos registrados.
53;SAO MIGUEL DOS CAMPOS;DINEY SOARES TORRES NETO;MDB;ESCOLA MUNICIPAL RUI PALMEIRA;RUA CORONEL JOSE ANTONIO DA CRUZ, 54;-9.7817352;-36.103011;Paraíso;;ENCONTRADO;246;2081;1182;11;137;1631;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;DINEY SOARES TORRES NETO concentra 1182.00% dos seus votos no local ESCOLA MUNICIPAL RUI PALMEIRA, com 246 votos registrados.
