municipio,prefeito,vice_prefeito,partido,numero,votos_prefeito,percentual_prefeito,segundo_colocado,partido_segundo_colocado,votos_segundo_colocado,percentual_segundo_colocado,margem_vitoria_votos,margem_vitoria_pct,status_extracao,arquivo_origem
Maceió,JOAO HENRIQUE HOLANDA CALDAS,RODRIGO SANTOS CUNHA,PL,22,379544,83.25,RAFAEL DE GÓES BRITO,MDB,58084.0,12.74,321460.0,70.51,OK,619_AL_MACEIÓ_2024_T1.pdf
Major Isidoro,THEOBALDO CAVALCANTI LINS NETTO,ITALO TAVARES SURUAGY DO AMARAL,MDB,15,7400,60.96,ERALDO DOS SANTOS LIMA,PP,4739.0,39.04,2661.0,21.92,OK,619_AL_MAJOR-ISIDORO_2024_T1.pdf
Mar Vermelho,ANDRÉ BRANDÃO DE ALMEIDA,HERMANN ELSON DE ALMEIDA FILHO,MDB,15,2540,100.0,,,,,,,OK,619_AL_MAR-VERMELHO_2024_T1.pdf
Maragogi,DANIEL MENDES DE VASCONCELOS FERREIRA,JOAO ENIO VASCONCELOS CAVALCANTE,PP,11,9877,49.04,MARCOS JOSÉ DIAS VIANA,MDB,9003.0,44.7,874.0,4.339999999999996,OK,619_AL_MARAGOGI_2024_T1.pdf
Maravilha,ANTÔNIO JORGE RODRIGUES,CARLOS LUIZ MARTINS MARQUES,REPUBLICANOS,10,3824,54.88,JAMIS LUIT SANTANA DOS SANTOS,PP,3144.0,45.12,680.0,9.760000000000005,OK,619_AL_MARAVILHA_2024_T1.pdf
Marechal Deodoro,ANDRÉ LUIZ BARROS DA SILVA,NEILSON COSTA DA SILVA,MDB,15,21621,58.47,JOSÉ GILVAN RIBEIRO DE ALMEIDA FILHO,REPUBLICANOS,15360.0,41.53,6261.0,16.939999999999998,OK,619_AL_MARECHAL-DEODORO_2024_T1.pdf
Maribondo,BRUNO ZEFERINO DO CARMO TEIXEIRA,JOSÉ UBIRATAN FERREIRA NUNES,PSB,40,5081,56.41,JORGE ANTÔNIO AMORIM MARQUES LUZ,PP,3927.0,43.59,1154.0,12.819999999999993,OK,619_AL_MARIBONDO_2024_T1.pdf
Mata Grande,MARIA FABIANA FARIAS DE ALENCAR,VINICIUS CAMPOS BRANDÃO CARVALHO,MDB,15,7728,53.97,WALLYSSON FIRMO DE HOLANDA SOARES,PSB,6591.0,46.03,1137.0,7.939999999999998,OK,619_AL_MATA-GRANDE_2024_T1.pdf
Matriz De Camaragibe,FERNANDO HENRIQUE LIMA CAVALCANTE,CLAUDIO RAMON SILVA DANTAS,MDB,15,10842,75.52,MARCOS PAULO DO NASCIMENTO,PP,3208.0,22.34,7634.0,53.17999999999999,OK,619_AL_MATRIZ-DE-CAMARAGIBE_2024_T1.pdf
Messias,MARCOS JOSÉ HERCULANO DA SILVA,MARCOS VALÉRIO DOS SANTOS,REPUBLICANOS,10,7223,62.13,JARBAS MAYA DE OMENA FILHO,PP,3407.0,29.31,3816.0,32.82000000000001,OK,619_AL_MESSIAS_2024_T1.pdf
