rank,municipio,populacao_estimada_2024,eleitorado_2024,taxa_eleitorado,taxa_eleitorado_pct,participacao_populacao,participacao_populacao_pct,participacao_eleitorado,participacao_eleitorado_pct,indice_estrategico_inicial,indice_estrategico_pct,prioridade_politica
66,Santana do Mundaú,11568.0,9627,0.8322095435684648,83.22095435684648,0.0035924305550379,0.35924305550379,0.0039408177350306,0.39408177350306,0.0038363015810328,0.38363015810328,Baixa Prioridade
67,Coité do Nóia,11036.0,9675,0.8766763320043494,87.66763320043493,0.0034272184997751,0.34272184997751,0.0039604665613817,0.39604665613817,0.0038004921428997,0.38004921428996996,Baixa Prioridade
68,Pariconha,10803.0,9746,0.9021568082939924,90.21568082939923,0.0033548605883536,0.33548605883536003,0.0039895304503592,0.39895304503592005,0.0037991294917576,0.37991294917576,Baixa Prioridade
69,Dois Riachos,9906.0,9898,0.9991924086412276,99.91924086412276,0.0030762981568297,0.30762981568297,0.0040517517338042,0.40517517338042,0.0037591156607118,0.37591156607118,Baixa Prioridade
70,Branquinha,9786.0,9547,0.9755773554056816,97.55773554056816,0.0030390322797027,0.30390322797027,0.0039080696911122,0.39080696911122,0.0036473584676894,0.36473584676894,Baixa Prioridade
71,Cacimbinhas,10701.0,8896,0.8313241753107187,83.13241753107187,0.0033231845927957,0.33231845927957,0.0036415824837262,0.36415824837262,0.0035460631164471,0.35460631164471,Baixa Prioridade
72,Campo Grande,8293.0,9546,1.151091281803931,115.1091281803931,0.0025753826584482,0.25753826584482,0.0039076603405632,0.39076603405632004,0.0035079770359287,0.35079770359287,Baixa Prioridade
73,Japaratinga,9443.0,9070,0.9604998411521762,96.04998411521763,0.0029325139809149,0.29325139809149,0.0037128094792487,0.37128094792487,0.0034787208297486,0.34787208297486,Baixa Prioridade
74,Flexeiras,9767.0,8929,0.9142008805160232,91.42008805160232,0.0030331318491576,0.30331318491576,0.0036550910518426,0.36550910518426,0.0034685032910371,0.34685032910371,Baixa Prioridade
75,Maravilha,9715.0,8914,0.9175501801338136,91.75501801338136,0.0030169833024026,0.30169833024026,0.0036489507936079,0.36489507936079,0.0034593605462463,0.34593605462462995,Baixa Prioridade
76,Jequiá da Praia,9625.0,8624,0.896,89.60000000000001,0.0029890338945574,0.29890338945573997,0.0035302391344037,0.35302391344037,0.0033678775624498,0.33678775624498,Baixa Prioridade
77,Porto de Pedras,9508.0,8406,0.8840976020193522,88.40976020193521,0.0029526996643586,0.29526996643586,0.003441000714726,0.34410007147259997,0.0032945103996158,0.32945103996158004,Baixa Prioridade
78,São Miguel dos Milagres,8687.0,8283,0.9534937262576264,95.34937262576264,0.0026977389550151,0.26977389550151,0.0033906505972015,0.33906505972015,0.0031827771045455,0.31827771045455,Baixa Prioridade
79,Barra de São Miguel,8118.0,8167,1.0060359694506036,100.60359694506036,0.0025210365876381,0.25210365876381,0.0033431659335198,0.33431659335198,0.0030965271297553,0.30965271297553004,Baixa Prioridade
80,Olho d'Água do Casado,8522.0,7951,0.9329969490729876,93.29969490729876,0.0026464983739655,0.26464983739654996,0.0032547462149401,0.32547462149401,0.0030722718626477,0.30722718626476997,Baixa Prioridade
