rank_estrategico,municipio,lideranca_principal,cargo_lideranca,tipo_lideranca,vice_prefeito,partido_lideranca,numero_partido,votos_lideranca,percentual_lideranca,eleitorado_2024,indice_estrategico_pct,prioridade_politica,visitado_pre_campanha,quantidade_visitas,ultima_visita,grupo_politico,relacao_davi,classificacao_relacao,prioridade_articulacao,acao_recomendada,observacoes_politicas
65,Novo Lino,MARCELA SILVA GOMES DE BARROS,Prefeito,Executivo Municipal,RIVALDO DA SILVA GOMES,MDB,15,5935,75.24,10193,0.38801671086606,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
66,Santana do Mundaú,ANDRÉ LUIZ GOES CASTRO,Prefeito,Executivo Municipal,TARCISIO DE MORAIS ARAUJO,MDB,15,5322,72.96,9627,0.38363015810328,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
67,Coité do Nóia,BUENO HIGINO DE SOUZA SILVA,Prefeito,Executivo Municipal,JOSÉ TELMO BARBOSA,PP,11,5687,73.93,9675,0.3800492142899699,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
68,Pariconha,ANTONIO TELMO NOIA,Prefeito,Executivo Municipal,MARIA DE FATIMA FARIAS DE PAULA CARVALHO,MDB,15,4892,67.08,9746,0.37991294917576,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
69,Dois Riachos,ROZINEIDE BARBOSA DE ARAÚJO CAMILO,Prefeito,Executivo Municipal,JORGE VIEIRA DE MENEZES JUNIOR,MDB,15,4470,59.05,9898,0.37591156607118,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
70,Branquinha,RAIMUNDO JOSÉ DE FREITAS LOPES,Prefeito,Executivo Municipal,RENATO ANTONIO LIMA DA PURIFICAÇÃO,MDB,15,6115,100.0,9547,0.36473584676894,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
71,Cacimbinhas,WLADIMIR ARAÚJO WANDERLEY,Prefeito,Executivo Municipal,MIRABEAU AMORIM MADEIROS,MDB,15,6336,100.0,8896,0.35460631164471,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
72,Campo Grande,TEOGENES HIGINO MELO LESSA,Prefeito,Executivo Municipal,JOSE ROSENDO DOS SANTOS,PSB,40,4335,57.75,9546,0.35079770359287,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
73,Japaratinga,JOSÉ SEVERINO DA SILVA,Prefeito,Executivo Municipal,JAILTON DOS SANTOS,MDB,15,4957,64.14,9070,0.34787208297486,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
74,Flexeiras,SILVANA MARIA CAVALCANTE DA COSTA PINTO,Prefeito,Executivo Municipal,SHEILA CALHEIROS MAGALHAES SAMPAIO,PP,11,4867,72.59,8929,0.34685032910371,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
75,Maravilha,ANTÔNIO JORGE RODRIGUES,Prefeito,Executivo Municipal,CARLOS LUIZ MARTINS MARQUES,REPUBLICANOS,10,3824,54.88,8914,0.3459360546246299,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
76,Jequiá da Praia,CARLOS FELIPE CASTRO JATOBA LINS,Prefeito,Executivo Municipal,LIDIA VIRGÍNIA MENDONÇA CURVELLO BELTRÃO,PP,11,5250,73.54,8624,0.33678775624498,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
77,Porto de Pedras,ALLAN DE JESUS SILVA,Prefeito,Executivo Municipal,EUDA SANTOS SILVA,MDB,15,3691,51.25,8406,0.32945103996158,Baixa Prioridade,True,1,2026-05-22,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
78,São Miguel dos Milagres,JADSON LESSA DOS SANTOS,Prefeito,Executivo Municipal,JARIO ANTONIO DOS SANTOS,MDB,15,4014,58.36,8283,0.31827771045455,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
79,Barra de São Miguel,BENEDITO DE LIRA,Prefeito,Executivo Municipal,LUIZ HENRIQUE LIMA ALVES PINTO,PP,11,4563,68.12,8167,0.30965271297553,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
80,Olho d'Água do Casado,CARLOS ALBERTO BEZERRA DA SILVA,Prefeito,Executivo Municipal,JOÃO DE DEUS DIAS DOS SANTOS,PT,13,3267,53.46,7951,0.3072271862647699,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
