municipio;local_votacao;endereco_local_votacao;qtd_secoes;qtd_vereadores;votos_totais;chave_local
MACEIO;ESCOLA HIGINO BELO;AV SANTA RITA DE CÁSSIA;4;39;351;MACEIO|ESCOLA HIGINO BELO|AV SANTA RITA DE CASSIA
MACEIO;E.E. OTACÍLIO HOLANDA DE ANDRADE;RUA SAO LUIZ, 09;2;36;343;MACEIO|E.E. OTACILIO HOLANDA DE ANDRADE|RUA SAO LUIZ, 09
MACEIO;ESCOLA ESTADUAL MAJOR EDUARDO EMILIANO DA FONSECA;RUA DR LUIS DE BARROS, S/N;3;34;339;MACEIO|ESCOLA ESTADUAL MAJOR EDUARDO EMILIANO DA FONSECA|RUA DR LUIS DE BARROS, S/N
MACEIO;COLÉGIO SÃO JERÔNIMO;RUA JACI MELO, S/N, C6JX, 7R, JARDIM DA SAÚDE;2;32;338;MACEIO|COLEGIO SAO JERONIMO|RUA JACI MELO, S/N, C6JX, 7R, JARDIM DA SAUDE
MACEIO;CEAGB - ESCOLA ESTADUAL TEOTÔNIO VILELA;AV. FERNANDES LIMA S/N;3;35;313;MACEIO|CEAGB - ESCOLA ESTADUAL TEOTONIO VILELA|AV. FERNANDES LIMA S/N
MACEIO;CMEI SÔNIA CAVALCANTI;RUA GENERAL HERMES, S/N, BOM PARTO (VIZ. À SEMED);4;32;295;MACEIO|CMEI SONIA CAVALCANTI|RUA GENERAL HERMES, S/N, BOM PARTO (VIZ. A SEMED)
MACEIO;SEADES - SEC. DE EST. DA ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL;RUA COMENDADOR CALACA 1339;3;36;286;MACEIO|SEADES - SEC. DE EST. DA ASSISTENCIA E DESENVOLVIMENTO SOCIAL|RUA COMENDADOR CALACA 1339
MACEIO;ESCOLA DE CEGOS CYRO ACCIOLY;RUA DR. PEDRO MONTEIRO, S/N;4;35;278;MACEIO|ESCOLA DE CEGOS CYRO ACCIOLY|RUA DR. PEDRO MONTEIRO, S/N
MACEIO;ESCOLA PROFª MALBA LINS COSTA;TRAVESSA BOA ESPERANÇA S/N;3;33;278;MACEIO|ESCOLA PROFa MALBA LINS COSTA|TRAVESSA BOA ESPERANCA S/N
MACEIO;ESCOLA ESTADUAL SANTA TEREZA DÁVILA;RUA PÃO DE AÇÚCAR, 120;2;32;275;MACEIO|ESCOLA ESTADUAL SANTA TEREZA DAVILA|RUA PAO DE ACUCAR, 120
MACEIO;CMEI PROFESSORA KYRA MARIA BARROS PAES;AV. MUNIZ FALCÃO, S/N;1;32;253;MACEIO|CMEI PROFESSORA KYRA MARIA BARROS PAES|AV. MUNIZ FALCAO, S/N
MACEIO;ESCOLA MUNICIPAL PROFª ZILKA DE OLIVEIRA GRAÇA (ANTIGO ERALDO GOMES);RUA FIRMO CORREIA DE ARAUJO, 276;2;31;246;MACEIO|ESCOLA MUNICIPAL PROFa ZILKA DE OLIVEIRA GRACA (ANTIGO ERALDO GOMES)|RUA FIRMO CORREIA DE ARAUJO, 276
MACEIO;COLÉGIO SÃO JORGE;RUA ALEXANDRE PASSOS, 359;2;36;235;MACEIO|COLEGIO SAO JORGE|RUA ALEXANDRE PASSOS, 359
MACEIO;ESCOLA ESTADUAL PROFESSOR JOSÉ VITORINO DA ROCHA PINHEIRO;RUA ANTÔNIO PROCÓPIO, 165;2;37;201;MACEIO|ESCOLA ESTADUAL PROFESSOR JOSE VITORINO DA ROCHA PINHEIRO|RUA ANTONIO PROCOPIO, 165
MACEIO;ESCOLA DE EDUCAÇÃO BÁSICA JOSÉ GONZAGA;RUA 7 DE SETEMBRO, N 344;1;34;199;MACEIO|ESCOLA DE EDUCACAO BASICA JOSE GONZAGA|RUA 7 DE SETEMBRO, N 344
MACEIO;ESCOLA S E S I;RUA GENERAL HERMES, 485;2;35;182;MACEIO|ESCOLA S E S I|RUA GENERAL HERMES, 485
MACEIO;CMEI MARECHAL JOÃO MASCARENHAS DE MORAES;RUA CÔNEGO VALENTE, S/N;2;37;179;MACEIO|CMEI MARECHAL JOAO MASCARENHAS DE MORAES|RUA CONEGO VALENTE, S/N
MACEIO;SUMESE;AV DURVAL DE GOES MONTEIRO, S/N;1;15;106;MACEIO|SUMESE|AV DURVAL DE GOES MONTEIRO, S/N
MACEIO;COMPLEXO PENITENCIÁRIO DE MACEIÓ;BR 104 - KM 01;1;6;15;MACEIO|COMPLEXO PENITENCIARIO DE MACEIO|BR 104 - KM 01
MARECHAL DEODORO;ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA;AV SÃO JOSÉ SN;11;30;1631;MARECHAL DEODORO|ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA|AV SAO JOSE SN
