ranking_reduto_qualificado;municipio;vereador;partido;local_prioritario;bairro;distrito;endereco_local_prioritario;latitude;longitude;votos_local_principal;votos_totais_vereador;percentual_local_principal;nivel_reduto;prioridade_agenda;potencial_transferencia;observacao_estrategica
106;PENEDO;RAQUEL MARIA TAVARES;MDB;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;;;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;166;990;1677;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;RAQUEL MARIA TAVARES concentra 1677.00% dos seus votos no local COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO, com 166 votos registrados.
107;PENEDO;FAGNER MATIAS DOS SANTOS;MDB;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;;;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;166;1030;1612;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;FAGNER MATIAS DOS SANTOS concentra 1612.00% dos seus votos no local COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO, com 166 votos registrados.
108;RIO LARGO;IZAQUE PEREIRA SILVA;AVANTE;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;;;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;166;1577;1053;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;IZAQUE PEREIRA SILVA concentra 1053.00% dos seus votos no local ESCOLA MUNICIPAL DR. GUSTAVO PAIVA, com 166 votos registrados.
109;DELMIRO GOUVEIA;JEDIAEL PEREIRA DOS SANTOS;PSB;WATSON DE GUSMAO, ESCOLA DE 1 E 2 GRAUS;Eldorado;;RUA HENRIQUE DIAS, S/N;-9.3850082;-38.0068886;163;782;2084;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JEDIAEL PEREIRA DOS SANTOS concentra 2084.00% dos seus votos no local WATSON DE GUSMAO, ESCOLA DE 1 E 2 GRAUS, com 163 votos registrados.
110;CORURIPE;JOSÉ MAURÍCIO DOS SANTOS;MDB;ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM;Coruripe;;RUA JOSÉ RAIMUNDO DOS SANTOS, 40;-10.118516;-36.1800084;159;843;1886;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JOSÉ MAURÍCIO DOS SANTOS concentra 1886.00% dos seus votos no local ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM, com 159 votos registrados.
111;PALMEIRA DOS INDIOS;RONALDO CORREIA DOS SANTOS JÚNIOR;PRD;COLÉGIO CRISTO REDENTOR;São Cristovão;;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;159;1358;1171;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;RONALDO CORREIA DOS SANTOS JÚNIOR concentra 1171.00% dos seus votos no local COLÉGIO CRISTO REDENTOR, com 159 votos registrados.
112;RIO LARGO;JEFFERSON ALEXANDRE CAVALCANTE;AVANTE;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;;;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;158;1818;869;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JEFFERSON ALEXANDRE CAVALCANTE concentra 869.00% dos seus votos no local ESCOLA MUNICIPAL DR. GUSTAVO PAIVA, com 158 votos registrados.
113;SAO MIGUEL DOS CAMPOS;EDINALDO PEREIRA DOS SANTOS;MDB;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;;;AV. SAMPAIO MARQUES, S/N;;;157;1384;1134;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;EDINALDO PEREIRA DOS SANTOS concentra 1134.00% dos seus votos no local COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA, com 157 votos registrados.
114;CORURIPE;AILTON LUIZ ARAUJO LESSA;PSB;ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM;Coruripe;;RUA JOSÉ RAIMUNDO DOS SANTOS, 40;-10.118516;-36.1800084;153;1015;1507;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;AILTON LUIZ ARAUJO LESSA concentra 1507.00% dos seus votos no local ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM, com 153 votos registrados.
115;ARAPIRACA;JOÃO JOSÉ MARQUES DA SILVA;PT;ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA;;;SÍTIO BATINGAS;;;152;569;2671;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JOÃO JOSÉ MARQUES DA SILVA concentra 2671.00% dos seus votos no local ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA, com 152 votos registrados.
116;UNIAO DOS PALMARES;MARCOS CORREIA LEITE;PDT;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;;;AV. JOÃO LYRA FILHO, S/N;;;150;1015;1478;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;MARCOS CORREIA LEITE concentra 1478.00% dos seus votos no local ESCOLA ESTADUAL CARLOS GOMES DE BARROS, com 150 votos registrados.
117;PALMEIRA DOS INDIOS;FABIANO GOMES DE SOUZA;REPUBLICANOS;COLÉGIO CRISTO REDENTOR;São Cristovão;;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;150;1221;1229;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;FABIANO GOMES DE SOUZA concentra 1229.00% dos seus votos no local COLÉGIO CRISTO REDENTOR, com 150 votos registrados.
118;DELMIRO GOUVEIA;RENATO DAVID TORRES DE OLIVEIRA;PT;ANCHIETA, GRUPO ESCOLAR PADRE ( POV. LAGOINHA);;;POVOADO LAGOINHAS S/N;;;150;1330;1128;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;RENATO DAVID TORRES DE OLIVEIRA concentra 1128.00% dos seus votos no local ANCHIETA, GRUPO ESCOLAR PADRE ( POV. LAGOINHA), com 150 votos registrados.
119;RIO LARGO;MARCELO VITOR PRAXEDES TORRES;REPUBLICANOS;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;;;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;148;673;2199;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;MARCELO VITOR PRAXEDES TORRES concentra 2199.00% dos seus votos no local ESCOLA MUNICIPAL DR. GUSTAVO PAIVA, com 148 votos registrados.
120;PENEDO;JORGE ALVES DA SILVA;MDB;ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO;;;RUA FLORIANO ROSA, S/N, PX. AO POSTO DE SAÚDE, CONJUNTO VILA MATIAS;;;147;735;200;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JORGE ALVES DA SILVA concentra 200.00% dos seus votos no local ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO, com 147 votos registrados.
121;CORURIPE;JOSÉ ANDERSON DE LIMA SANTOS;PSB;ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA;;;RUA PERNAMBUCO NOVO, S/N;;;146;830;1759;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JOSÉ ANDERSON DE LIMA SANTOS concentra 1759.00% dos seus votos no local ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA, com 146 votos registrados.
122;DELMIRO GOUVEIA;EZEQUIEL DE CARVALHO COSTA;MDB;VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA;;;AV MASCARENHAS DE MORAIS S/N;;;146;1279;1142;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;EZEQUIEL DE CARVALHO COSTA concentra 1142.00% dos seus votos no local VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA, com 146 votos registrados.
123;MARECHAL DEODORO;JOSÉ WAGNER COSTA DA SILVA;MDB;ESCOLA ESTADUAL JOSÉ CORREIA DA SILVA TITARA;;;LOT BOSQUE DA MASSAGUEIRA N 3A;;;145;1442;1006;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JOSÉ WAGNER COSTA DA SILVA concentra 1006.00% dos seus votos no local ESCOLA ESTADUAL JOSÉ CORREIA DA SILVA TITARA, com 145 votos registrados.
124;PENEDO;VALDY VASCONCELOS;PSB;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;;;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;145;1066;136;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;VALDY VASCONCELOS concentra 136.00% dos seus votos no local COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO, com 145 votos registrados.
125;SAO MIGUEL DOS CAMPOS;JOSÉ FEITOSA DA SILVA;PDT;ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA;São Miguel dos Campos;;RODOVIA BR 101, KM 69;-9.741431;-36.0611185;142;1010;1406;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JOSÉ FEITOSA DA SILVA concentra 1406.00% dos seus votos no local ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA, com 142 votos registrados.
126;PALMEIRA DOS INDIOS;JOSE HELENILDO RIBEIRO MONTEIRO NETO;REPUBLICANOS;COLÉGIO ESTADUAL HUMBERTO MENDES;;;AV GOV MUNIZ FALCÃO 701;;;141;1042;1353;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JOSE HELENILDO RIBEIRO MONTEIRO NETO concentra 1353.00% dos seus votos no local COLÉGIO ESTADUAL HUMBERTO MENDES, com 141 votos registrados.
127;UNIAO DOS PALMARES;JURANDIR CAMILO DA SILVA;PP;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;União dos Palmares;;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;140;684;2047;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JURANDIR CAMILO DA SILVA concentra 2047.00% dos seus votos no local COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS, com 140 votos registrados.
128;SAO MIGUEL DOS CAMPOS;JOSEPH ROBERT SANTOS MARTINIANO;MDB;ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA;São Miguel dos Campos;;RODOVIA BR 101, KM 69;-9.741431;-36.0611185;139;1004;1384;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JOSEPH ROBERT SANTOS MARTINIANO concentra 1384.00% dos seus votos no local ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA, com 139 votos registrados.
129;ARAPIRACA;MARCUS FABIANO MATOS BARBOZA;PP;ESCOLA DE 1 GRAU PROFESSOR JAYME DE ALTAVILLA;Centro;;RUA SANTOS DUMONT, 623;-9.7498653;-36.6655146;139;2260;615;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;MARCUS FABIANO MATOS BARBOZA concentra 615.00% dos seus votos no local ESCOLA DE 1 GRAU PROFESSOR JAYME DE ALTAVILLA, com 139 votos registrados.
130;SAO MIGUEL DOS CAMPOS;ALEXANDRE PEREIRA DOS SANTOS;PDT;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;;;AV. SAMPAIO MARQUES, S/N;;;137;1058;1295;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;ALEXANDRE PEREIRA DOS SANTOS concentra 1295.00% dos seus votos no local COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA, com 137 votos registrados.
131;MACEIO;WARLLEN DAVID BEZERRA NASCIMENTO MESQUITA;UNIÃO;UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT);Mangabeiras;;AV GUSTAVO PAIVA, 5017;-9.6478561;-35.7147108;137;5421;253;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;WARLLEN DAVID BEZERRA NASCIMENTO MESQUITA concentra 253.00% dos seus votos no local UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT), com 137 votos registrados.
132;SAO MIGUEL DOS CAMPOS;JOSE VENANCIO DOS SANTOS;MDB;ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA;São Miguel dos Campos;;RODOVIA BR 101, KM 69;-9.741431;-36.0611185;135;916;1474;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JOSE VENANCIO DOS SANTOS concentra 1474.00% dos seus votos no local ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA, com 135 votos registrados.
133;PENEDO;PAULO ROBERTO FERREIRA;SOLIDARIEDADE;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;;;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;134;744;1801;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;PAULO ROBERTO FERREIRA concentra 1801.00% dos seus votos no local COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO, com 134 votos registrados.
134;PENEDO;ALCIDES DE ANDRADE NETO;UNIÃO;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;;;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;131;668;1961;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;ALCIDES DE ANDRADE NETO concentra 1961.00% dos seus votos no local COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO, com 131 votos registrados.
