ranking_reduto_qualificado;municipio;vereador;partido;local_prioritario;bairro;distrito;endereco_local_prioritario;latitude;longitude;votos_local_principal;votos_totais_vereador;percentual_local_principal;nivel_reduto;prioridade_agenda;potencial_transferencia;observacao_estrategica
1;MACEIO;LUCIANO MARINHO DA SILVA;PL;E.E. GERALDO MELO DOS SANTOS;;;RUA 61, QD C-6, CJ. GRACILIANO RAMOS;;;1276;14780;863;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;LUCIANO MARINHO DA SILVA concentra 863.00% dos seus votos no local E.E. GERALDO MELO DOS SANTOS, com 1276 votos registrados.
2;ARAPIRACA;JOSÉ ALDO OLIVEIRA VEIGA;MDB;GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA;;;VILA SAÕ JOSÉ S/N;;;1045;3009;3473;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JOSÉ ALDO OLIVEIRA VEIGA concentra 3473.00% dos seus votos no local GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA, com 1045 votos registrados.
3;ARAPIRACA;EDVANIO DE OLIVEIRA NUNES;PP;ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS;;;POVOADO CANGANDU S/N;;;938;3053;3072;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;EDVANIO DE OLIVEIRA NUNES concentra 3072.00% dos seus votos no local ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS, com 938 votos registrados.
4;ARAPIRACA;MARCIO JOSE DA SILVA;MDB;ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO;;;POVOADO CANAÃ S/N;;;724;2987;2424;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;MARCIO JOSE DA SILVA concentra 2424.00% dos seus votos no local ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO, com 724 votos registrados.
5;ARAPIRACA;LEANDRO BARBOSA DE ALMEIDA;MDB;ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA;;;SÍTIO BATINGAS;;;717;4410;1626;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;LEANDRO BARBOSA DE ALMEIDA concentra 1626.00% dos seus votos no local ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA, com 717 votos registrados.
6;CORURIPE;DALMO PORTO SOUZA;PSB;ESCOLA ESTADUAL LIMA CASTRO;;;AVENIDA WASHINTON LUIZ, ANTIGA AV CAMAÇARI;;;678;2179;3112;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;DALMO PORTO SOUZA concentra 3112.00% dos seus votos no local ESCOLA ESTADUAL LIMA CASTRO, com 678 votos registrados.
7;ARAPIRACA;SERGIO FABIO NUNES;PP;GRUPO ESCOLAR CÔNEGO EPITÁCIO RODRIGUES;;;VILA SAO FRANCISCO;;;657;5139;1278;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;SERGIO FABIO NUNES concentra 1278.00% dos seus votos no local GRUPO ESCOLAR CÔNEGO EPITÁCIO RODRIGUES, com 657 votos registrados.
8;MACEIO;MILTON LUNA BARROS NETO;PSB;ESCOLA MUN. SILVESTRE PÉRICLES;;;PRAÇA DR CAIO DE AGUIAR PORTO S/N - PONTAL DA BARRA;;;641;10129;633;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;MILTON LUNA BARROS NETO concentra 633.00% dos seus votos no local ESCOLA MUN. SILVESTRE PÉRICLES, com 641 votos registrados.
9;ARAPIRACA;MACIEL OLIVEIRA NUNES;MDB;ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS;;;POVOADO CANGANDU S/N;;;641;2799;229;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;MACIEL OLIVEIRA NUNES concentra 229.00% dos seus votos no local ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS, com 641 votos registrados.
10;ARAPIRACA;WELLINGTON DE MAGALHAES SILVA;MDB;GRUPO ESCOLAR DOMINGOS LOPES;;;RUA VEREADOR DOMINGOS LOPES S/N;;;608;2877;2113;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;WELLINGTON DE MAGALHAES SILVA concentra 2113.00% dos seus votos no local GRUPO ESCOLAR DOMINGOS LOPES, com 608 votos registrados.
11;MACEIO;CLAUDIO MOREIRA DA SILVA;PL;ESCOLA ESTADUAL PROFESSOR PEDRO TEIXEIRA;;;RUA PAU DARCO, S/N;;;601;7964;755;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;CLAUDIO MOREIRA DA SILVA concentra 755.00% dos seus votos no local ESCOLA ESTADUAL PROFESSOR PEDRO TEIXEIRA, com 601 votos registrados.
12;CORURIPE;JOSE GILDO GONÇALVES CASTRO;PP;ESCOLA ESTADUAL LIMA CASTRO;;;AVENIDA WASHINTON LUIZ, ANTIGA AV CAMAÇARI;;;593;1243;4771;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JOSE GILDO GONÇALVES CASTRO concentra 4771.00% dos seus votos no local ESCOLA ESTADUAL LIMA CASTRO, com 593 votos registrados.
13;DELMIRO GOUVEIA;REGINALDO RODRIGUES SOARES;MDB;JOSE CORREIA FILHO,ESCOLA;;;POVOADO JARDIM CORDEIRO;;;574;1930;2974;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;REGINALDO RODRIGUES SOARES concentra 2974.00% dos seus votos no local JOSE CORREIA FILHO,ESCOLA, com 574 votos registrados.
14;MACEIO;DAVID CABRAL DAVINO;PP;UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT);Mangabeiras;;AV GUSTAVO PAIVA, 5017;-9.6478561;-35.7147108;540;14694;367;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;DAVID CABRAL DAVINO concentra 367.00% dos seus votos no local UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT), com 540 votos registrados.
15;MACEIO;FRANCISCO HOLANDA COSTA FILHO;PL;E.M. JAYME DE ALTAVILLA;;;RUA DILERMANO REIS, S/N, LOT SANTA LUCIA;;;511;9607;532;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;FRANCISCO HOLANDA COSTA FILHO concentra 532.00% dos seus votos no local E.M. JAYME DE ALTAVILLA, com 511 votos registrados.
16;MACEIO;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;ESCOLA ESTADUAL MARIA AMÁLIA;;;RUA VALDEMAR RUFINO DOS SANTOS, S/N,VILA ABC;;;509;14038;363;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR concentra 363.00% dos seus votos no local ESCOLA ESTADUAL MARIA AMÁLIA, com 509 votos registrados.
17;CORURIPE;HUGO BELTRÃO NUNES;MDB;ESCOLA MUNICIPAL GENERAL DE GOIS MONTEIRO;;;RUA ABELARDO HOLANDA, 105;;;504;1303;3868;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;HUGO BELTRÃO NUNES concentra 3868.00% dos seus votos no local ESCOLA MUNICIPAL GENERAL DE GOIS MONTEIRO, com 504 votos registrados.
18;MACEIO;JOSE SIDERLANE ARAUJO DE MENDONCA;PL;E.E. DRA. MARIA JOSE DE MELO (CAIC-B. BENTES);Benedito Bentes;;RUA BELO HORIZONTE, S/N;-9.5521408;-35.7303393;451;7367;612;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JOSE SIDERLANE ARAUJO DE MENDONCA concentra 612.00% dos seus votos no local E.E. DRA. MARIA JOSE DE MELO (CAIC-B. BENTES), com 451 votos registrados.
19;MACEIO;LEONARDO DA FONSECA DIAS;PL;CRECHE ESCOLA ESPAÇO EDUCAR;Ponta Verde;;RUA PROFESSOR SANDOVAL ARROXELAS, N. 510;-9.6588344;-35.7046403;408;10274;397;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;LEONARDO DA FONSECA DIAS concentra 397.00% dos seus votos no local CRECHE ESCOLA ESPAÇO EDUCAR, com 408 votos registrados.
20;MACEIO;MARIA DE FÁTIMA GALINA FORTES FERREIRA SANTIAGO;MDB;E.E. ONÉLIA CAMPELO;Clima Bom;;RUA SANTA TEREZINHA, S/N;-9.5811006;-35.7879869;407;6257;65;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;MARIA DE FÁTIMA GALINA FORTES FERREIRA SANTIAGO concentra 65.00% dos seus votos no local E.E. ONÉLIA CAMPELO, com 407 votos registrados.
21;PENEDO;ANTONIO LIRA DA SILVA NETO;PDT;EMEB HANNA BERTHOLET;;;POVOADO SANTA MARGARIDA;;;399;1162;3434;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;ANTONIO LIRA DA SILVA NETO concentra 3434.00% dos seus votos no local EMEB HANNA BERTHOLET, com 399 votos registrados.
22;MARECHAL DEODORO;GILBERTO MEDEIROS SILVA;PDT;NEI TÂNIA CAVALCANTE;Marechal Deodoro;;AV CATUÇABA SN;-9.7256884;-35.8193626;385;1606;2397;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;GILBERTO MEDEIROS SILVA concentra 2397.00% dos seus votos no local NEI TÂNIA CAVALCANTE, com 385 votos registrados.
23;MACEIO;ALDO ROBERTO DA ROCHA LOUREIRO;PDT;UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT);Mangabeiras;;AV GUSTAVO PAIVA, 5017;-9.6478561;-35.7147108;378;7132;53;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;ALDO ROBERTO DA ROCHA LOUREIRO concentra 53.00% dos seus votos no local UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT), com 378 votos registrados.
24;MACEIO;ALLAN PIERRE VASCONCELOS;MDB;E.E. DRA. MARIA JOSE DE MELO (CAIC-B. BENTES);Benedito Bentes;;RUA BELO HORIZONTE, S/N;-9.5521408;-35.7303393;361;7155;505;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;ALLAN PIERRE VASCONCELOS concentra 505.00% dos seus votos no local E.E. DRA. MARIA JOSE DE MELO (CAIC-B. BENTES), com 361 votos registrados.
25;ARAPIRACA;ROGERIO PEREIRA MELO;MDB;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;Capiatá;;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;355;6597;538;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;ROGERIO PEREIRA MELO concentra 538.00% dos seus votos no local ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA, com 355 votos registrados.
26;PALMEIRA DOS INDIOS;CLAUDEMIR PEREIRA DA SILVA;UNIÃO;COLÉGIO SAGRADA FAMILIA;Caldeirões de Cima;;RUA DOM BOSCO 15;-9.3519004;-36.6209167;351;1030;3408;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;CLAUDEMIR PEREIRA DA SILVA concentra 3408.00% dos seus votos no local COLÉGIO SAGRADA FAMILIA, com 351 votos registrados.
27;MACEIO;OLÍVIA COIMBRA TENÓRIO VILAÇA;PP;COLÉGIO ZUMBI DOS PALMARES;;;CJ ROSANE COLLOR, QD M, S/N;;;335;6669;502;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;OLÍVIA COIMBRA TENÓRIO VILAÇA concentra 502.00% dos seus votos no local COLÉGIO ZUMBI DOS PALMARES, com 335 votos registrados.
28;DELMIRO GOUVEIA;EDNA GOMES BERNARDO;MDB;WATSON DE GUSMAO, ESCOLA DE 1 E 2 GRAUS;Eldorado;;RUA HENRIQUE DIAS, S/N;-9.3850082;-38.0068886;335;2410;139;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;EDNA GOMES BERNARDO concentra 139.00% dos seus votos no local WATSON DE GUSMAO, ESCOLA DE 1 E 2 GRAUS, com 335 votos registrados.
29;MACEIO;TEREZA NELMA PORTO VIANA SOARES;PT;CRECHE ESCOLA ESPAÇO EDUCAR;Ponta Verde;;RUA PROFESSOR SANDOVAL ARROXELAS, N. 510;-9.6588344;-35.7046403;323;9969;324;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;TEREZA NELMA PORTO VIANA SOARES concentra 324.00% dos seus votos no local CRECHE ESCOLA ESPAÇO EDUCAR, com 323 votos registrados.
30;UNIAO DOS PALMARES;EDMILTON RODRIGUES DA SILVA;MDB;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;;;AV. JOÃO LYRA FILHO, S/N;;;322;1892;1702;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;EDMILTON RODRIGUES DA SILVA concentra 1702.00% dos seus votos no local ESCOLA ESTADUAL CARLOS GOMES DE BARROS, com 322 votos registrados.
31;UNIAO DOS PALMARES;CARLOS ALBERTO CORREIA BASILIO;MDB;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;União dos Palmares;;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;314;1429;2197;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;CARLOS ALBERTO CORREIA BASILIO concentra 2197.00% dos seus votos no local COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS, com 314 votos registrados.
32;MACEIO;BRIVALDO MARQUES SILVA NETO;PL;ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA;;;CONJ. SALVADOR LIRA, S/N;;;314;8671;362;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;BRIVALDO MARQUES SILVA NETO concentra 362.00% dos seus votos no local ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA, com 314 votos registrados.
33;CORURIPE;JOSE JUAREZ DE LIMA;PP;ESCOLA ESTADUAL LIMA CASTRO;;;AVENIDA WASHINTON LUIZ, ANTIGA AV CAMAÇARI;;;311;1174;2649;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JOSE JUAREZ DE LIMA concentra 2649.00% dos seus votos no local ESCOLA ESTADUAL LIMA CASTRO, com 311 votos registrados.
34;CORURIPE;TILES HENRIQUE SIQUEIRA DE LEMOS;MDB;ESCOLA ESTADUAL LIMA CASTRO;;;AVENIDA WASHINTON LUIZ, ANTIGA AV CAMAÇARI;;;309;1326;233;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;TILES HENRIQUE SIQUEIRA DE LEMOS concentra 233.00% dos seus votos no local ESCOLA ESTADUAL LIMA CASTRO, com 309 votos registrados.
35;MACEIO;GALBA NOVAIS DE CASTRO NETTO;PL;ESCOLA ESTADUAL PADRE CABRAL;Fernão Velho;;PRACA EDUARDO SANTOS, S/N;-9.590352;-35.783877;305;14023;217;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;GALBA NOVAIS DE CASTRO NETTO concentra 217.00% dos seus votos no local ESCOLA ESTADUAL PADRE CABRAL, com 305 votos registrados.
36;MACEIO;MARCELO PALMEIRA CAVALCANTE;PL;ESC. DE ENS. FUND. PROF. PEDRO CAFÉ;Jardim Petrópolis;;RUA DO CRAVO, S/N;-9.5960352;-35.7409551;302;10943;276;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;MARCELO PALMEIRA CAVALCANTE concentra 276.00% dos seus votos no local ESC. DE ENS. FUND. PROF. PEDRO CAFÉ, com 302 votos registrados.
37;PALMEIRA DOS INDIOS;MAXWELL ROCHA FEITOSA;MDB;COLÉGIO CRISTO REDENTOR;São Cristovão;;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;300;2157;1391;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;MAXWELL ROCHA FEITOSA concentra 1391.00% dos seus votos no local COLÉGIO CRISTO REDENTOR, com 300 votos registrados.
38;MACEIO;KELMANN VIEIRA DE OLIVEIRA;MDB;UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT);Mangabeiras;;AV GUSTAVO PAIVA, 5017;-9.6478561;-35.7147108;299;9840;304;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;KELMANN VIEIRA DE OLIVEIRA concentra 304.00% dos seus votos no local UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT), com 299 votos registrados.
39;UNIAO DOS PALMARES;EMANUEL GOMES BALBINO;MDB;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;;;AV. JOÃO LYRA FILHO, S/N;;;295;1554;1898;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;EMANUEL GOMES BALBINO concentra 1898.00% dos seus votos no local ESCOLA ESTADUAL CARLOS GOMES DE BARROS, com 295 votos registrados.
40;PALMEIRA DOS INDIOS;ANTONIO GARROTE DA SILVA FILHO;PP;ESCOLA ESTADUAL JOSÉ VICTORINO DA ROCHA;Canafístula;;PRAÇA ANTONIO LEITE, S/N, CANAFÍSTULA;-9.3991794;-36.7123167;288;1684;171;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;ANTONIO GARROTE DA SILVA FILHO concentra 171.00% dos seus votos no local ESCOLA ESTADUAL JOSÉ VICTORINO DA ROCHA, com 288 votos registrados.
41;RIO LARGO;MÁRCIO SOARES CAVALCANTE;PP;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;;;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;278;2625;1059;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;MÁRCIO SOARES CAVALCANTE concentra 1059.00% dos seus votos no local ESCOLA MUNICIPAL DR. GUSTAVO PAIVA, com 278 votos registrados.
42;RIO LARGO;NADIELLE NAYARA DA COSTA LOPES;PP;COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO;;;CONJ GURIATA, S/N;;;276;2002;1379;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;NADIELLE NAYARA DA COSTA LOPES concentra 1379.00% dos seus votos no local COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO, com 276 votos registrados.
43;PALMEIRA DOS INDIOS;JANIO BARBOSA MARQUES;MDB;COLÉGIO CRISTO REDENTOR;São Cristovão;;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;272;1506;1806;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JANIO BARBOSA MARQUES concentra 1806.00% dos seus votos no local COLÉGIO CRISTO REDENTOR, com 272 votos registrados.
44;RIO LARGO;JOSÉ ROGÉRIO DA SILVA;PP;COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO;;;CONJ GURIATA, S/N;;;269;1922;140;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JOSÉ ROGÉRIO DA SILVA concentra 140.00% dos seus votos no local COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO, com 269 votos registrados.
45;MACEIO;SILVANIA BATINGA DE OLIVEIRA BARBOSA;SOLIDARIEDADE;COLÉGIO TIRADENTES;Trapiche da Barra;;AV. ROBERTO PONTES LIMA, 208,;-9.6734939;-35.7544376;268;6464;415;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;SILVANIA BATINGA DE OLIVEIRA BARBOSA concentra 415.00% dos seus votos no local COLÉGIO TIRADENTES, com 268 votos registrados.
46;UNIAO DOS PALMARES;MIRIAM AURELIANO DOS SANTOS;MDB;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;União dos Palmares;;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;265;1298;2042;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;MIRIAM AURELIANO DOS SANTOS concentra 2042.00% dos seus votos no local COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS, com 265 votos registrados.
47;CORURIPE;RODIO ENÉAS GUIMARÃES GAMA;PP;ESCOLA MUNICIPAL NOSSA SENHORA DO MONT SERRAT;;;POVOADO MIAI DE BAIXO, S/N;;;262;1885;139;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;RODIO ENÉAS GUIMARÃES GAMA concentra 139.00% dos seus votos no local ESCOLA MUNICIPAL NOSSA SENHORA DO MONT SERRAT, com 262 votos registrados.
48;DELMIRO GOUVEIA;FABIOLA MARQUES DE LIMA;MDB;VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA;;;AV MASCARENHAS DE MORAIS S/N;;;258;1649;1565;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;FABIOLA MARQUES DE LIMA concentra 1565.00% dos seus votos no local VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA, com 258 votos registrados.
49;PALMEIRA DOS INDIOS;PEDRO RODRIGUES GAIA BISNETO;MDB;COLÉGIO ESTADUAL HUMBERTO MENDES;;;AV GOV MUNIZ FALCÃO 701;;;255;2237;114;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;PEDRO RODRIGUES GAIA BISNETO concentra 114.00% dos seus votos no local COLÉGIO ESTADUAL HUMBERTO MENDES, com 255 votos registrados.
50;PALMEIRA DOS INDIOS;SIDINY TARGINO DA SILVA;PT;ESCOLA MUNICIPAL PEDRO RODRIGUES GAIA;;;POVOADO CORURIPE DA CAL;;;250;1539;1624;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;SIDINY TARGINO DA SILVA concentra 1624.00% dos seus votos no local ESCOLA MUNICIPAL PEDRO RODRIGUES GAIA, com 250 votos registrados.
51;PALMEIRA DOS INDIOS;GILENO COSTA SAMPAIO FILHO;PRD;COLÉGIO CRISTO REDENTOR;São Cristovão;;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;250;1667;150;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;GILENO COSTA SAMPAIO FILHO concentra 150.00% dos seus votos no local COLÉGIO CRISTO REDENTOR, com 250 votos registrados.
52;ARAPIRACA;JULIA FABRICIA FERREIRA DE LIMA BEZERRA;MDB;ESCOLA ENSINO FUNDAMENTAL DIVALDO SURUAGY;Brasília;;RUA ADERVAL INÁCIO DA SILVA, 45, BRASÍLIA, ARAPIRACA;-9.7523022;-36.6444312;248;2920;849;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JULIA FABRICIA FERREIRA DE LIMA BEZERRA concentra 849.00% dos seus votos no local ESCOLA ENSINO FUNDAMENTAL DIVALDO SURUAGY, com 248 votos registrados.
53;SAO MIGUEL DOS CAMPOS;DINEY SOARES TORRES NETO;MDB;ESCOLA MUNICIPAL RUI PALMEIRA;Paraíso;;RUA CORONEL JOSE ANTONIO DA CRUZ, 54;-9.7817352;-36.103011;246;2081;1182;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;DINEY SOARES TORRES NETO concentra 1182.00% dos seus votos no local ESCOLA MUNICIPAL RUI PALMEIRA, com 246 votos registrados.
54;DELMIRO GOUVEIA;MAREVAL FERREIRA DA SILVA;MDB;FRANCISCA ROSA DA COSTA,GRUPO ESCOLAR;;;RUA SARGENTO REGINALDO BANDEIRA, 342;;;245;1353;1811;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;MAREVAL FERREIRA DA SILVA concentra 1811.00% dos seus votos no local FRANCISCA ROSA DA COSTA,GRUPO ESCOLAR, com 245 votos registrados.
55;CORURIPE;GUTTENBERG BRÊDA SOBRINHO;MDB;ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA;;;RUA PERNAMBUCO NOVO, S/N;;;242;1347;1797;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;GUTTENBERG BRÊDA SOBRINHO concentra 1797.00% dos seus votos no local ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA, com 242 votos registrados.
56;CORURIPE;ADGER DA ROCHA MARIA JUNIOR;PP;ESCOLA MUNICIPAL FRANCISCO AMALIO MARIA;Coruripe;;RUA DO CAJUEIRO, S/N;-10.1585695;-36.135133;241;1280;1883;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;ADGER DA ROCHA MARIA JUNIOR concentra 1883.00% dos seus votos no local ESCOLA MUNICIPAL FRANCISCO AMALIO MARIA, com 241 votos registrados.
57;CORURIPE;FERNANDO ALEXANDRE MAGNO SILVA VIEIRA CHAVES;MDB;ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM;Coruripe;;RUA JOSÉ RAIMUNDO DOS SANTOS, 40;-10.118516;-36.1800084;234;1181;1981;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;FERNANDO ALEXANDRE MAGNO SILVA VIEIRA CHAVES concentra 1981.00% dos seus votos no local ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM, com 234 votos registrados.
58;PALMEIRA DOS INDIOS;SALOMÃO CAVALCANTE TORRES;MDB;COLÉGIO ESTADUAL HUMBERTO MENDES;;;AV GOV MUNIZ FALCÃO 701;;;233;1352;1723;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;SALOMÃO CAVALCANTE TORRES concentra 1723.00% dos seus votos no local COLÉGIO ESTADUAL HUMBERTO MENDES, com 233 votos registrados.
59;RIO LARGO;ANIELLE PATRÍCIA SILVA DO LIVRAMENTO;PL;COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO;;;CONJ GURIATA, S/N;;;230;744;3091;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;ANIELLE PATRÍCIA SILVA DO LIVRAMENTO concentra 3091.00% dos seus votos no local COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO, com 230 votos registrados.
60;DELMIRO GOUVEIA;MARCOS ANTONIO SILVA;MDB;WATSON DE GUSMAO, ESCOLA DE 1 E 2 GRAUS;Eldorado;;RUA HENRIQUE DIAS, S/N;-9.3850082;-38.0068886;230;1850;1243;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;MARCOS ANTONIO SILVA concentra 1243.00% dos seus votos no local WATSON DE GUSMAO, ESCOLA DE 1 E 2 GRAUS, com 230 votos registrados.
61;UNIAO DOS PALMARES;GUSTAVO THADEU PAULINO PEDROZA;PDT;COLEGIO DR. MARIO GOMES DE BARROS;União dos Palmares;;RUA JARDIM BRASILIA 378;-9.1545653;-36.0312271;225;1503;1497;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;GUSTAVO THADEU PAULINO PEDROZA concentra 1497.00% dos seus votos no local COLEGIO DR. MARIO GOMES DE BARROS, com 225 votos registrados.
62;UNIAO DOS PALMARES;ALMIR BELARMINO DA SILVA;PDT;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;União dos Palmares;;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;222;1562;1421;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;ALMIR BELARMINO DA SILVA concentra 1421.00% dos seus votos no local COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS, com 222 votos registrados.
