rank_estrategico_inicial,uf,ano,codigo_ibge,municipio,municipio_normalizado,populacao_estimada_2024,eleitorado_2024,taxa_eleitorado,participacao_populacao,participacao_eleitorado,indice_estrategico_inicial
92,AL,2024,2702207,Coqueiro Seco,COQUEIRO SECO,5700.0,5582,0.9792982456140351,0.001770129163530122,0.0022849947644064785,0.0021305350841435717
93,AL,2024,2703403,Jacaré dos Homens,JACARE DOS HOMENS,5182.0,5451,1.0519104592821305,0.0016092647939321214,0.002231369842490096,0.0020447383279227033
94,AL,2024,2705309,Minador do Negrão,MINADOR DO NEGRAO,4938.0,5300,1.0733090319967598,0.00153349084377399,0.0021695579095941126,0.0019787377898480758
95,AL,2024,2703700,Jaramataia,JARAMATAIA,5075.0,5247,1.0338916256157635,0.0015760360534939244,0.0021478623304981713,0.001976314447396897
96,AL,2024,2705903,Olho d'Água Grande,OLHO D'AGUA GRANDE,4384.0,5413,1.2347171532846715,0.0013614467110379044,0.002215814521628855,0.00195950417845157
97,AL,2024,2700805,Belém,BELEM,4820.0,5142,1.066804979253112,0.0014968460645991557,0.002104880522855269,0.0019224701853784347
98,AL,2024,2706208,Palestina,PALESTINA,4410.0,5118,1.1605442176870748,0.0013695209844154102,0.002095056109679749,0.0018773955721004471
99,AL,2024,2703908,Jundiá,JUNDIA,4176.0,4943,1.183668582375479,0.0012968525240178578,0.002023419763608245,0.0018054495917311287
100,AL,2024,2702702,Feliz Deserto,FELIZ DESERTO,4038.0,4136,1.0242694403169885,0.0012539967653218654,0.0016930738705813679,0.001561350739003517
101,AL,2024,2704906,Mar Vermelho,MAR VERMELHO,3212.0,3643,1.134184308841843,0.0009974833110980266,0.0014912640499342173,0.00134312982828336
102,AL,2024,2707008,Pindoba,PINDOBA,2786.0,2989,1.0728643216080402,0.0008651894472973544,0.0012235487909012836,0.0011160409878201048
