municipio;ranking_polo_municipal;ranking_polo_geral;local_votacao;endereco_local_votacao;latitude;longitude;bairro;distrito;status_geocodificacao;qtd_secoes;qtd_vereadores;votos_totais;vereador_principal;partido_vereador_principal;votos_vereador_principal;percentual_dominancia;indice_influencia_local;classificacao_local;potencial_agenda_davi
PALMEIRA DOS INDIOS;1;12;COLÉGIO CRISTO REDENTOR;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;São Cristovão;;ENCONTRADO;21;41;2870;MAXWELL ROCHA FEITOSA;MDB;300;10.45;50.02;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;8;13;UNEAL UNIVERSIDADE ESTADUAL DE ALAGOAS;RUA GOVERNADOR LUIZ CAVALCANTE;-9.7505554;-36.6580852;Alto do Cruzeiro;;ENCONTRADO;13;88;1833;ROGERIO PEREIRA MELO;MDB;173;9.44;49.93;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
PALMEIRA DOS INDIOS;2;14;COLÉGIO ESTADUAL HUMBERTO MENDES;AV GOV MUNIZ FALCÃO 701;;;;;NAO_ENCONTRADO;22;36;2911;MAXWELL ROCHA FEITOSA;MDB;289;9.93;49.43;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;9;15;ESCOLA ENSINO FUNDAMENTAL DIVALDO SURUAGY;RUA ADERVAL INÁCIO DA SILVA, 45, BRASÍLIA, ARAPIRACA;-9.7523022;-36.6444312;Brasília;;ENCONTRADO;10;89;1895;JULIA FABRICIA FERREIRA DE LIMA BEZERRA;MDB;248;13.09;49.36;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;10;16;ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS;POVOADO CANGANDU S/N;;;;;NAO_ENCONTRADO;11;56;2836;EDVANIO DE OLIVEIRA NUNES;PP;938;33.07;49.23;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
UNIAO DOS PALMARES;2;17;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;AV. JOÃO LYRA FILHO, S/N;;;;;NAO_ENCONTRADO;16;49;2690;EDMILTON RODRIGUES DA SILVA;MDB;322;11.97;48.2;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;11;18;ESCOLA ESTADUAL DE EDUCACAO BASICA COSTA REGO;RUA GOVERNADOR LUIZ CAVALCANTE S/N;-9.7505554;-36.6580852;Alto do Cruzeiro;;ENCONTRADO;14;84;1635;ROGERIO PEREIRA MELO;MDB;180;11.01;47.33;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
MACEIO;3;19;ESCOLA SEB (ANTIGO COC);RUA SENADOR RUI PALMEIRA, 1200;-9.6579315;-35.7095681;Ponta Verde;;ENCONTRADO;21;49;2331;LEONARDO DA FONSECA DIAS;PL;366;15.7;47.17;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;12;20;ESCOLA ALTERNATIVA;RUA FLORIANO PEIXOTO, 98;-9.7477626;-36.66833;Baixão;;ENCONTRADO;10;81;1859;ROGERIO PEREIRA MELO;MDB;221;11.89;46.66;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
MACEIO;4;21;CRECHE ESCOLA ESPAÇO EDUCAR;RUA PROFESSOR SANDOVAL ARROXELAS, N. 510;-9.6588344;-35.7046403;Ponta Verde;;ENCONTRADO;20;46;2406;LEONARDO DA FONSECA DIAS;PL;408;16.96;46.52;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
MACEIO;5;22;E.E. DRA. MARIA JOSE DE MELO (CAIC-B. BENTES);RUA BELO HORIZONTE, S/N;-9.5521408;-35.7303393;Benedito Bentes;;ENCONTRADO;14;45;2709;JOSE SIDERLANE ARAUJO DE MENDONCA;PL;451;16.65;46.23;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;13;23;ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA;SÍTIO BATINGAS;;;;;NAO_ENCONTRADO;10;68;2207;LEANDRO BARBOSA DE ALMEIDA;MDB;717;32.49;46.19;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
MACEIO;6;24;E.E. GERALDO MELO DOS SANTOS;RUA 61, QD C-6, CJ. GRACILIANO RAMOS;;;;;NAO_ENCONTRADO;12;44;2825;LUCIANO MARINHO DA SILVA;PL;1276;45.17;46.08;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;14;25;ESCOLA DE ENSINO FUNDAMENTAL CLAUDECY BISPO DOS SANTOS;RUA JOSÉ C. DE FARIAS;;;;;NAO_ENCONTRADO;10;81;1798;ROGERIO PEREIRA MELO;MDB;186;10.34;46.07;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;15;26;ESCOLA DE 1 GRAU PARQUE LIONS;RUA GOV. AFRÂNIO LAGES S/N;;;;;NAO_ENCONTRADO;9;83;1740;WELLINGTON DE MAGALHAES SILVA;MDB;323;18.56;45.61;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;16;27;ESCOLA DE 1 GRAU MANOEL ANDRÉ;AV.  JOSE LÚCIO DA SILVA S/N;;;;;NAO_ENCONTRADO;10;78;1811;ROGERIO PEREIRA MELO;MDB;181;9.99;45.31;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;17;28;GRUPO ESCOLAR 31 DE MARÇO;RUA BRASILIA S/N;-9.7567015;-36.6527243;Brasília;;ENCONTRADO;11;80;1684;JULIA FABRICIA FERREIRA DE LIMA BEZERRA;MDB;238;14.13;45.16;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
UNIAO DOS PALMARES;3;29;COLEGIO DR. MARIO GOMES DE BARROS;RUA JARDIM BRASILIA 378;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;17;53;2193;GUSTAVO THADEU PAULINO PEDROZA;PDT;225;10.26;45.06;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
MACEIO;7;30;ESCOLA ESTADUAL MARGAREZ M. S. LACET;RUA SANTO ANTONIO, S/N;-9.635066;-35.746385;Pinheiro;;ENCONTRADO;14;51;2401;GALBA NOVAIS DE CASTRO NETTO;PL;280;11.66;45.02;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;18;31;ESCOLA DE 1 GRAU ARTUR RAMOS;RUA COSTA CAVALCANTE, S/N;-9.7394987;-36.6757491;Cavaco;;ENCONTRADO;9;82;1709;SERGIO FABIO NUNES;PP;242;14.16;45.01;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;19;32;ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO;POVOADO CANAÃ S/N;;;;;NAO_ENCONTRADO;10;59;2301;MARCIO JOSE DA SILVA;MDB;724;31.46;44.45;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;20;33;ESCOLA DE 1 E 2 GRAUS ROSA MISTICA;RUA ESTUDANTE JOSÉ DE OLIVEIRA LEITE S/N;-9.7582024;-36.6551726;Ouro Preto;;ENCONTRADO;12;80;1557;ROGERIO PEREIRA MELO;MDB;120;7.71;44.42;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
RIO LARGO;2;34;COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO;CONJ GURIATA, S/N;;;;;NAO_ENCONTRADO;12;54;2320;NADIELLE NAYARA DA COSTA LOPES;PP;276;11.9;44.14;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
MACEIO;8;35;ESCOLA ESTADUAL ROMEU DE AVELAR;RUA RACOES CARB, S/N;;;;;NAO_ENCONTRADO;14;50;2199;MARIA DE FÁTIMA GALINA FORTES FERREIRA SANTIAGO;MDB;375;17.05;42.77;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
CORURIPE;1;36;ESCOLA ESTADUAL LIMA CASTRO;AVENIDA WASHINTON LUIZ, ANTIGA AV CAMAÇARI;;;;;NAO_ENCONTRADO;14;27;2865;DALMO PORTO SOUZA;PSB;678;23.66;42.44;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;21;37;ESCOLA JOÃO SATURNINO DE ALMEIDA;AV. JOÃO SATURNINO S/N;;;;;NAO_ENCONTRADO;8;76;1630;LEANDRO BARBOSA DE ALMEIDA;MDB;341;20.92;42.0;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
MACEIO;9;38;E.M. FREI DAMIÃO;AV. MUNDAÚ, 120;-9.5552134;-35.7208801;Benedito Bentes;;ENCONTRADO;14;44;2302;JOSE SIDERLANE ARAUJO DE MENDONCA;PL;333;14.47;42.0;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;22;39;ESCOLA DE 1 GRAU PROFESSOR JAYME DE ALTAVILLA;RUA SANTOS DUMONT, 623;-9.7498653;-36.6655146;Centro;;ENCONTRADO;8;77;1595;PABLO EMANUEL DA SILVA;PP;199;12.48;41.95;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
MACEIO;10;40;E.M. JAYME DE ALTAVILLA;RUA DILERMANO REIS, S/N, LOT SANTA LUCIA;;;;;NAO_ENCONTRADO;11;48;2296;FRANCISCO HOLANDA COSTA FILHO;PL;511;22.26;41.66;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
PENEDO;1;41;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;;;NAO_ENCONTRADO;22;30;2285;IVO CARLOS MOURA COSTA;PV;199;8.71;41.62;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
MACEIO;11;42;ESCOLA ESTADUAL PROFª. ROSALVA PEREIRA VIANA;LOT. POR DO SOL, QD D, S/N, MOCAMBO;;;;;NAO_ENCONTRADO;12;50;2142;FRANCISCO HOLANDA COSTA FILHO;PL;301;14.05;41.25;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
UNIAO DOS PALMARES;4;43;ESCOLA MUNICIPAL JAIRO CORREIA VIANA;RUA TAVARES BASTOS 206;-9.157438;-36.0311805;União dos Palmares;;ENCONTRADO;14;51;2005;ALMIR BELARMINO DA SILVA;PDT;172;8.58;41.19;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;23;44;GRUPO ESCOLAR JOÃO BATISTA PEREIRA;COHAB NOVA S/N;;;;;NAO_ENCONTRADO;8;80;1394;ROGERIO PEREIRA MELO;MDB;145;10.4;40.9;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;24;45;GRUPO ESCOLAR CRISPINIANO DE BRITO;RUA MANOEL LEAL S/N;-9.7587919;-36.6692525;Cacimbas;;ENCONTRADO;8;84;1266;ROGERIO PEREIRA MELO;MDB;112;8.85;40.84;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
MACEIO;12;46;E.E. DOM OTAVIO BARBOSA AGUIAR;RUA A-20, S/N;-9.6057983;-35.76044;Petrópolis;;ENCONTRADO;11;44;2319;JOSE SIDERLANE ARAUJO DE MENDONCA;PL;435;18.76;40.7;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;13;47;ESC. EST. PROF. THEONILO GAMA;RUA CORONEL PARANHOS, S/N;-9.6536179;-35.7230807;Jacintinho;;ENCONTRADO;12;48;2124;DAVID CABRAL DAVINO;PP;406;19.11;40.49;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;14;48;E.E. ALFREDO GASPAR DE MENDONCA;CONJ. EUSTAQUIO GOMES DE MELO, S/N;;;;;NAO_ENCONTRADO;12;51;1980;LUCIANO MARINHO DA SILVA;PL;271;13.69;39.98;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;15;49;ESCOLA DE ENS. FUND. NOSSO LAR I;RUA SAMPAIO DORIA, S/N;;;;;NAO_ENCONTRADO;16;43;1988;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;239;12.02;39.65;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;16;50;COLÉGIO SANTA ÚRSULA;RUA PIO XII;-9.6695114;-35.7553564;Trapiche da Barra;;ENCONTRADO;14;48;1933;LEONARDO DA FONSECA DIAS;PL;272;14.07;39.62;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;17;51;COLÉGIO TIRADENTES;AV. ROBERTO PONTES LIMA, 208,;-9.6734939;-35.7544376;Trapiche da Barra;;ENCONTRADO;14;45;2014;SILVANIA BATINGA DE OLIVEIRA BARBOSA;SOLIDARIEDADE;268;13.31;39.52;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;18;52;CEAGB - ESCOLA ESTADUAL MOREIRA E SILVA;AV. FERNANDES LIMA, S/N;-9.6219993;-35.7387664;Gruta de Lourdes;;ENCONTRADO;17;46;1828;TEREZA NELMA PORTO VIANA SOARES;PT;115;6.29;39.48;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
ARAPIRACA;25;53;GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA;VILA SAÕ JOSÉ S/N;;;;;NAO_ENCONTRADO;8;50;2134;JOSÉ ALDO OLIVEIRA VEIGA;MDB;1045;48.97;39.22;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
ARAPIRACA;26;54;ESCOLA DE ENSINO FUNDAMENTAL CLEONICE BARBOSA DE ALMEIDA;CONJUNTO BRISA DO LAGO - OLHO DAGUA DOS CAZUZINHO;;;;;NAO_ENCONTRADO;7;75;1410;ROGERIO PEREIRA MELO;MDB;105;7.45;39.09;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
CORURIPE;2;55;ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM;RUA JOSÉ RAIMUNDO DOS SANTOS, 40;-10.118516;-36.1800084;Coruripe;;ENCONTRADO;13;34;2320;FERNANDO ALEXANDRE MAGNO SILVA VIEIRA CHAVES;MDB;234;10.09;38.75;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;19;56;ESCOLA ESTADUAL PROFª. MARIA SALETE GUSMAO DE ARAUJO;CJ. OSMAN LOUREIRO, QD A;;;;;NAO_ENCONTRADO;11;50;1932;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;246;12.73;38.73;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
ARAPIRACA;27;57;ESCOLA DE ENSINO FUNDAMENTAL ZÉLIA BARBOSA ROCHA;RUA DJALMA M. SANTANA;;;;;NAO_ENCONTRADO;8;75;1281;TULIO SAMPAIO FREIRE;SOLIDARIEDADE;123;9.6;38.33;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
ARAPIRACA;28;58;GRUPO ESCOLAR ADRIANO JORGE;AV. RIO BRANCO S/N;-9.7528354;-36.6609557;Centro;;ENCONTRADO;7;83;1073;ROGERIO PEREIRA MELO;MDB;91;8.48;38.19;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;20;59;E.E. DRA. EUNICE DE LEMOS CAMPOS;AV. GARCA TORTA, S/N;-9.5478865;-35.7196043;Benedito Bentes;;ENCONTRADO;10;42;2169;JOSE SIDERLANE ARAUJO DE MENDONCA;PL;440;20.29;38.18;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;21;60;ESCOLA ESTADUAL ROTARY;AV. DURVAL DE GOES MONTEIRO, S/N;-9.6063446;-35.7411445;Canaã;;ENCONTRADO;13;47;1864;GALBA NOVAIS DE CASTRO NETTO;PL;255;13.68;38.17;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;22;61;COLÉGIO DLINS;RUA PEDROSA, 225;-9.5765452;-35.7676922;Salvador Lyra;;ENCONTRADO;12;48;1874;GALBA NOVAIS DE CASTRO NETTO;PL;187;9.98;38.07;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
ARAPIRACA;29;62;GRUPO ESCOLAR JOSE PEREIRA LÚCIO;POVOADO BANANEIRAS S/N;;;;;NAO_ENCONTRADO;9;57;1702;SERGIO FABIO NUNES;PP;337;19.8;37.59;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;23;63;ESCOLA ESTADUAL PROFª MARIA DAS GRAÇAS DE SÁ TEIXEIRA;AV. GOVERNADOR LAMENHA FILHO, SN;-9.6464671;-35.7266442;Feitosa;;ENCONTRADO;12;47;1850;CLAUDIO MOREIRA DA SILVA;PL;465;25.14;37.54;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
PALMEIRA DOS INDIOS;3;64;COLÉGIO SAGRADA FAMILIA;RUA DOM BOSCO 15;-9.3519004;-36.6209167;Caldeirões de Cima;;ENCONTRADO;14;35;2087;CLAUDEMIR PEREIRA DA SILVA;UNIÃO;351;16.82;37.28;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
ARAPIRACA;30;65;GRUPO ESCOLAR DOMINGOS LOPES;RUA VEREADOR DOMINGOS LOPES S/N;;;;;NAO_ENCONTRADO;8;67;1406;WELLINGTON DE MAGALHAES SILVA;MDB;608;43.24;37.19;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;24;66;ESCOLA DE ENSINO FUNDAMENTAL OCTÁVIO BRANDÃO;RUA JOSE LOBO DE MEDEIROS, S/N;-9.5770616;-35.774208;Tabuleiros dos Martins;;ENCONTRADO;15;46;1680;LUCIANO MARINHO DA SILVA;PL;207;12.32;37.07;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
ARAPIRACA;31;67;ESCOLA PROFESSOR LUIZ ALBERTO DE MELO;POVOADO PAU D ARCO S/N;;;;;NAO_ENCONTRADO;8;57;1693;LEANDRO BARBOSA DE ALMEIDA;MDB;514;30.36;37.02;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
ARAPIRACA;32;68;ESCOLA PEDRO SURUAGY;RUA NOSSA SENHORA DA SALETE S/N;-9.7509333;-36.6431771;Itapoã;;ENCONTRADO;7;76;1155;ROGERIO PEREIRA MELO;MDB;102;8.83;36.92;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
ARAPIRACA;33;69;ESCOLA ESTADUAL DE EDUCAÇÃO BÁSICA PROF. PEDRO DE FRANÇA REIS;RUA ANTONIO MARROQUIM, 511;-9.7479462;-36.6693345;Baixão;;ENCONTRADO;6;79;1094;ROGERIO PEREIRA MELO;MDB;112;10.24;36.73;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;25;70;E.E. ONÉLIA CAMPELO;RUA SANTA TEREZINHA, S/N;-9.5811006;-35.7879869;Clima Bom;;ENCONTRADO;10;44;1944;MARIA DE FÁTIMA GALINA FORTES FERREIRA SANTIAGO;MDB;407;20.94;36.59;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
SAO MIGUEL DOS CAMPOS;1;71;ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA;RODOVIA BR 101, KM 69;-9.741431;-36.0611185;São Miguel dos Campos;;ENCONTRADO;14;30;2160;ROBSON ALFREDO DA SILVA MOURA;MDB;213;9.86;36.51;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
ARAPIRACA;34;72;ESCOLA DE ENSINO FUNDAMENTAL PONTES DE MIRANDA;RUA LINO ROBERTO;-9.7361389;-36.6598115;Santa Edwiges;;ENCONTRADO;7;75;1142;ROGERIO PEREIRA MELO;MDB;155;13.57;36.5;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
UNIAO DOS PALMARES;5;73;COLEGIO JOSE CORREIA VIANA;RUA SANTA MARIA MADALENA, 226;-9.1586442;-36.0310077;União dos Palmares;;ENCONTRADO;10;51;1705;GIVANILDO GOMES DA SILVA;MDB;157;9.21;36.35;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
CORURIPE;3;74;ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA;RUA PERNAMBUCO NOVO, S/N;;;;;NAO_ENCONTRADO;12;33;2152;GUTTENBERG BRÊDA SOBRINHO;MDB;242;11.25;36.34;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;26;75;ESCOLA ESTADUAL DEPUTADO NENOI PINTO;RUA MUNIZ FALCAO, S/N;-9.649823;-35.7216764;Jacintinho;;ENCONTRADO;10;46;1855;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;218;11.75;36.32;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;27;76;COLÉGIO EDSON MONTEIRO;RUA ANDRÉ PAPINE GOES, 177, LOTEAMENTO ACAUÃ;;;;;NAO_ENCONTRADO;9;48;1843;LUCIANO MARINHO DA SILVA;PL;737;39.99;36.31;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
ARAPIRACA;35;77;GRUPO ESCOLAR TIBÚRCIO VALERIANO DA SILVA;RUA PRESIDENTE DUTRA S/N;-9.7442978;-36.6564083;Caititus;;ENCONTRADO;11;73;931;ROGERIO PEREIRA MELO;MDB;158;16.97;35.83;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;28;78;ESC. EST. MIRAN MARROQUIM;RUA DA LIBERDADE, S/N - PIABAS;;;;;NAO_ENCONTRADO;12;43;1780;DAVID CABRAL DAVINO;PP;335;18.82;35.69;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;29;79;ESC. EST. PROF. ROSALVO LÔBO;AV CASTELO BRANCO, S/N;-9.6528528;-35.7138922;Jatiúca;;ENCONTRADO;12;48;1608;KELMANN VIEIRA DE OLIVEIRA;MDB;133;8.27;35.5;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
PALMEIRA DOS INDIOS;4;80;ESCOLA MUNICIPAL DOUTOR GERSON JATOBÁ LEITE;AV. BRASÍLIA, N. 39;-9.4143538;-36.6400907;Vila João XXIII;;ENCONTRADO;16;33;1862;PEDRO RODRIGUES GAIA BISNETO;MDB;202;10.85;35.49;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
RIO LARGO;3;81;ESCOLA ESTADUAL SANTOS DUMONT;BR 104 - DESTACAMENTO DA FAB - VILA MILITAR;;;;;NAO_ENCONTRADO;9;56;1507;CARLOS HENRIQUE ROLIM VASCONCELOS;PP;191;12.67;35.42;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;30;82;COLÉGIO ZUMBI DOS PALMARES;CJ ROSANE COLLOR, QD M, S/N;;;;;NAO_ENCONTRADO;10;40;1919;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;364;18.97;35.18;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
RIO LARGO;4;83;ESCOLA DE ENSINO FUND DR GASTAO OITICICA;AV JULIO CALHEIROS S/N;;;;;NAO_ENCONTRADO;10;52;1550;MÁRCIO SOARES CAVALCANTE;PP;208;13.42;35.14;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;31;84;E.M. PROFESSOR CORINTHO DA PAZ;RUA 5-A, S/N - CJ. EUSTÁQUIO GOMES DE MELO;;;;;NAO_ENCONTRADO;10;45;1760;LUCIANO MARINHO DA SILVA;PL;358;20.34;35.11;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;32;85;ESC. EST. PROFª MARIA JOSÉ CARRASCOSA;PRACA SENHOR DO BONFIM, S/N;-9.6612532;-35.7280663;Poço;;ENCONTRADO;13;44;1626;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;260;15.99;34.99;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;33;86;ESCOLA ESTADUAL AURELINA PALMEIRA DE MELO;PRACA PADRE CICERO, S/N;;;;;NAO_ENCONTRADO;15;39;1672;SILVANIA BATINGA DE OLIVEIRA BARBOSA;SOLIDARIEDADE;189;11.3;34.94;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
