municipio;vereador;partido;ranking_reduto_geral;local_principal;endereco_local_principal;latitude;longitude;bairro;distrito;status_geocodificacao;votos_local_principal;votos_totais_vereador;percentual_local_principal;qtd_secoes_controladas;total_secoes_vereador;indice_reduto;classificacao_reduto
ARAPIRACA;EDINALDO DE SANTANA PONCIANO;PMB;167;GRUPO ESCOLAR DJALMA MATHEUS SANTANA;RUA ROSENDO LIMA S/N;-9.7669946;-36.6608561;Primavera;;ENCONTRADO;170;837;20.31;10;274;19.73;REDUTO BAIXO
PENEDO;RAFAEL RAMOS DOS SANTOS;PP;168;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;;;NAO_ENCONTRADO;20;89;22.47;12;53;19.65;REDUTO BAIXO
DELMIRO GOUVEIA;ROBERIO LIRA DE LIMA;PDT;169;VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA;AV MASCARENHAS DE MORAIS S/N;;;;;NAO_ENCONTRADO;8;29;27.59;6;26;19.61;REDUTO BAIXO
RIO LARGO;ADILEUZA MARIA DA SILVA;PL;170;COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO;CONJ GURIATA, S/N;;;;;NAO_ENCONTRADO;18;75;24.0;10;48;19.56;REDUTO BAIXO
UNIAO DOS PALMARES;GIVANILDO GOMES DA SILVA;MDB;171;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;AV. JOÃO LYRA FILHO, S/N;;;;;NAO_ENCONTRADO;220;1597;13.78;16;141;19.52;REDUTO BAIXO
CORURIPE;EDLEIDE DO NASCIMENTO MELO;CIDADANIA;172;ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA;RUA PERNAMBUCO NOVO, S/N;;;;;NAO_ENCONTRADO;3;10;30.0;3;10;19.51;REDUTO BAIXO
DELMIRO GOUVEIA;MARIO DOS SANTOS LIMA;PDT;173;WATSON DE GUSMAO, ESCOLA DE 1 E 2 GRAUS;RUA HENRIQUE DIAS, S/N;-9.3850082;-38.0068886;Eldorado;;ENCONTRADO;32;146;21.92;12;74;19.51;REDUTO BAIXO
RIO LARGO;ANDRÉ ROCHA DA SILVA;REPUBLICANOS;174;ESCOLA ESTADUAL SANTOS DUMONT;BR 104 - DESTACAMENTO DA FAB - VILA MILITAR;;;;;NAO_ENCONTRADO;8;31;25.81;8;30;19.51;REDUTO BAIXO
UNIAO DOS PALMARES;MARIA REJANE DA SILVA;PSD;175;COLEGIO JOSE CORREIA VIANA;RUA SANTA MARIA MADALENA, 226;-9.1586442;-36.0310077;União dos Palmares;;ENCONTRADO;3;10;30.0;3;9;19.51;REDUTO BAIXO
ARAPIRACA;CLOVIS PEREIRA JÚNIOR;SOLIDARIEDADE;176;ESCOLA ESTADUAL DE EDUCACAO BASICA COSTA REGO;RUA GOVERNADOR LUIZ CAVALCANTE S/N;-9.7505554;-36.6580852;Alto do Cruzeiro;;ENCONTRADO;43;199;21.61;12;130;19.49;REDUTO BAIXO
RIO LARGO;RAUL SILVA DO NASCIMENTO;SOLIDARIEDADE;177;GRUPO ESCOLAR OZORIA MOURA DE LIMA;RUA  ANTONIO ELIAS CALHEIROS S/N;;;;;NAO_ENCONTRADO;14;50;28.0;5;35;19.46;REDUTO BAIXO
PALMEIRA DOS INDIOS;GERALDO RIBEIRO LIMA JUNIOR;SOLIDARIEDADE;178;COLÉGIO ESTADUAL HUMBERTO MENDES;AV GOV MUNIZ FALCÃO 701;;;;;NAO_ENCONTRADO;106;853;12.43;21;164;19.36;REDUTO BAIXO
DELMIRO GOUVEIA;FABIOLA MARQUES DE LIMA;MDB;179;VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA;AV MASCARENHAS DE MORAIS S/N;;;;;NAO_ENCONTRADO;258;1649;15.65;12;141;19.29;REDUTO BAIXO
CORURIPE;RAPHAEL LIMA OLIVEIRA SILVA;PP;180;ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA;RUA PERNAMBUCO NOVO, S/N;;;;;NAO_ENCONTRADO;169;944;17.9;12;120;19.24;REDUTO BAIXO
UNIAO DOS PALMARES;GIVANILDO VICENTE DE MELO;MDB;181;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;AV. JOÃO LYRA FILHO, S/N;;;;;NAO_ENCONTRADO;173;1193;14.5;16;141;19.22;REDUTO BAIXO
CORURIPE;CICERO DE ALCANTARA;CIDADANIA;182;ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM;RUA JOSÉ RAIMUNDO DOS SANTOS, 40;-10.118516;-36.1800084;Coruripe;;ENCONTRADO;19;76;25.0;8;46;19.2;REDUTO BAIXO
