municipio;vereador;partido;ranking_reduto_geral;local_principal;endereco_local_principal;latitude;longitude;bairro;distrito;status_geocodificacao;votos_local_principal;votos_totais_vereador;percentual_local_principal;qtd_secoes_controladas;total_secoes_vereador;indice_reduto;classificacao_reduto
SAO MIGUEL DOS CAMPOS;SIMONE DE LIMA E SILVA;PV;299;ESCOLA MUNICIPAL PROFESSORA INEIDE NOGUEIRA ROCHA;RUA ALÍCIA VITÓRIA URBANO DE OLIVEIRA LOPES, QUADRA O1, S/N;;;;;NAO_ENCONTRADO;104;752;13.83;11;133;15.29;REDUTO BAIXO
MARECHAL DEODORO;EVERALDO PEREIRA LOPES JUNIOR;PSB;300;ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA;AV SÃO JOSÉ SN;-9.7102397;-35.8959836;Centro;;ENCONTRADO;201;1790;11.23;11;135;15.25;REDUTO BAIXO
MACEIO;JOSÉ PAULO DA CONCEIÇÃO;REPUBLICANOS;301;ESC. EST. MIRAN MARROQUIM;RUA DA LIBERDADE, S/N - PIABAS;;;;;NAO_ENCONTRADO;46;320;14.37;12;201;15.2;REDUTO BAIXO
RIO LARGO;LUZARDO DE ARAÚJO LISBOA NETO;PDT;302;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;115;1238;9.29;16;197;15.18;REDUTO BAIXO
MACEIO;MARIA DE FÁTIMA GALINA FORTES FERREIRA SANTIAGO;MDB;303;E.E. ONÉLIA CAMPELO;RUA SANTA TEREZINHA, S/N;-9.5811006;-35.7879869;Clima Bom;;ENCONTRADO;407;6257;6.5;10;541;15.16;REDUTO BAIXO
MARECHAL DEODORO;AUGUSTO JORGE GRANJEIRO COSTA CARNAÚBA;MDB;304;ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA;AV SÃO JOSÉ SN;-9.7102397;-35.8959836;Centro;;ENCONTRADO;183;1596;11.47;11;135;15.12;REDUTO BAIXO
UNIAO DOS PALMARES;LUCAS JOSE DE SIQUEIRA PAES BEZERRA;PMB;305;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;70;585;11.97;14;136;15.11;REDUTO BAIXO
MACEIO;RUI SOARES PALMEIRA;PSD;306;CRECHE ESCOLA ESPAÇO EDUCAR;RUA PROFESSOR SANDOVAL ARROXELAS, N. 510;-9.6588344;-35.7046403;Ponta Verde;;ENCONTRADO;201;5498;3.66;20;544;15.1;REDUTO BAIXO
PENEDO;JOANE CARVALHO VIEIRA;PP;307;GRUPO ESCOLAR ESTADUAL GABINO BESOURO;AVENIDA NILO PECANHA, 182, PRÓXIMO AO TIRO DE GUERRA;;;;;NAO_ENCONTRADO;5;23;21.74;4;18;15.07;REDUTO BAIXO
UNIAO DOS PALMARES;ADRIANA MIGUEL DA SILVA;PMB;308;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;AV. JOÃO LYRA FILHO, S/N;;;;;NAO_ENCONTRADO;9;45;20.0;6;38;15.07;REDUTO BAIXO
UNIAO DOS PALMARES;ROBSON DA SILVA;UNIÃO;309;GRUPO ESCOLAR DR JORGE DE LIMA;RUA TAVARES BASTOS, SN;-9.157438;-36.0311805;União dos Palmares;;ENCONTRADO;11;53;20.75;5;43;15.06;REDUTO BAIXO
RIO LARGO;DOUGLAS HENRIQUE DE FRANÇA COSTA;UNIÃO;310;ESCOLA MUNICIPAL DE EDUCAÇÃO BASICA INDUSTRIAL LUIGI BAUDUCCO;AVENIDA PASTOR JOSUE LINS CONJUNTO CRUZEIRO DO SUL, C RESIDENCIAL;;;;;NAO_ENCONTRADO;193;1429;13.51;8;186;15.03;REDUTO BAIXO
DELMIRO GOUVEIA;EZEQUIEL DE CARVALHO COSTA;MDB;311;VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA;AV MASCARENHAS DE MORAIS S/N;;;;;NAO_ENCONTRADO;146;1279;11.42;12;148;14.99;REDUTO BAIXO
ARAPIRACA;MARIA MARGARETE DOS ANJOS RIBEIRO;REPUBLICANOS;312;ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA;RUA MANOEL LÚCIO S/N;-9.7464382;-36.6524184;Alto do Cruzeiro;;ENCONTRADO;41;290;14.14;12;187;14.98;REDUTO BAIXO
ARAPIRACA;IRACI PEREIRA DE LACERDA;REPUBLICANOS;313;ESCOLA DE ENSINO FUNDAMENTAL MARIA DE NAZARÉ;RUA CLAUDIO DE ALBUQUERQUE LIMA, N 2055, SÃO LUIZ;-9.7664245;-36.6509194;São Luiz;;ENCONTRADO;13;69;18.84;7;51;14.92;REDUTO BAIXO
RIO LARGO;CARLA LOPES DA ROCHA;REPUBLICANOS;314;ESCOLA DE ENSINO FUND DR GASTAO OITICICA;AV JULIO CALHEIROS S/N;;;;;NAO_ENCONTRADO;6;28;21.43;4;25;14.9;REDUTO BAIXO
MARECHAL DEODORO;HILDEBRANDO TENÓRIO DE ALBUQUERQUE NETO;PP;315;ESCOLA MUNICIPAL ADELINA DE CARVALHO MELO;RUA ADELINA DE CARVALHO MELO SN;;;;;NAO_ENCONTRADO;175;983;17.8;3;135;14.89;REDUTO BAIXO
UNIAO DOS PALMARES;ANDREIA VERÇULINO BERNARDO;PSD;316;ESCOLA ESTADUAL ROCHA CAVALCANTE;RUA CORREIA DE OLIVEIRA 200;-9.1588289;-36.0341446;União dos Palmares;;ENCONTRADO;10;47;21.28;4;28;14.88;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;BERNARD BOMFIM CORREIA;PDT;317;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;AV. SAMPAIO MARQUES, S/N;;;;;NAO_ENCONTRADO;110;1146;9.6;15;137;14.8;REDUTO BAIXO
UNIAO DOS PALMARES;RICARDO LEAO PRAXEDES;PL;318;ESCOLA MUNICIPAL JAIRO CORREIA VIANA;RUA TAVARES BASTOS 206;-9.157438;-36.0311805;União dos Palmares;;ENCONTRADO;87;793;10.97;14;139;14.77;REDUTO BAIXO
RIO LARGO;ABERILDO MARIZ FERREIRA;MDB;319;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;52;479;10.86;15;170;14.65;REDUTO BAIXO
ARAPIRACA;JOSÉ VIEIRA FILHO;PMB;320;COLÉGIO SÃO FRANCISCO DE ASSIS;RUA DOM FELÍCIO DE VASCONCELOS S/N;-9.7445436;-36.659204;Senador Teotônio Vilela;;ENCONTRADO;4;19;21.05;4;17;14.64;REDUTO BAIXO
PALMEIRA DOS INDIOS;SIDINY TARGINO DA SILVA;PT;321;ESCOLA MUNICIPAL PEDRO RODRIGUES GAIA;POVOADO CORURIPE DA CAL;;;;;NAO_ENCONTRADO;250;1539;16.24;2;164;14.64;REDUTO BAIXO
PENEDO;ALEXANDRE COSTA SANTOS;PP;322;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;;;NAO_ENCONTRADO;6;31;19.35;6;27;14.63;REDUTO BAIXO
RIO LARGO;JOSÉ MARCIO DE LIMA;MDB;323;CMEI DESEMBARGADOR FRANCISCO WILDO LACERDA DANTAS;CJ ANTONIO LINS DE SOUSA , QD6, MATA DO ROLO;;;;;NAO_ENCONTRADO;40;192;20.83;3;99;14.59;REDUTO BAIXO
MARECHAL DEODORO;THIAGO HENRIQUE GONDIN TORRES;PDT;324;ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA;AV SÃO JOSÉ SN;-9.7102397;-35.8959836;Centro;;ENCONTRADO;203;2023;10.03;11;135;14.57;REDUTO BAIXO
ARAPIRACA;FERNANDO CEZAR AZEVEDO SILVA;PSOL;325;ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA;RUA MANOEL LÚCIO S/N;-9.7464382;-36.6524184;Alto do Cruzeiro;;ENCONTRADO;8;42;19.05;6;33;14.48;REDUTO BAIXO
ARAPIRACA;GERALDO BALBINO DA SILVA;PT;326;ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS;POVOADO CANGANDU S/N;;;;;NAO_ENCONTRADO;53;385;13.77;11;192;14.46;REDUTO BAIXO
ARAPIRACA;ULISSES FERREIRA SANTOS;PT;327;GRUPO ESCOLAR DJALMA MATHEUS SANTANA;RUA ROSENDO LIMA S/N;-9.7669946;-36.6608561;Primavera;;ENCONTRADO;8;44;18.18;7;41;14.45;REDUTO BAIXO
MARECHAL DEODORO;ELINALDO DOS SANTOS;SOLIDARIEDADE;328;ESCOLA MUNICIPAL D. MARIA DE ARAUJO LOBO;BECO DA BARRA;-9.7353584;-35.8906491;Barro Vermelho;;ENCONTRADO;24;124;19.35;5;57;14.43;REDUTO BAIXO
ARAPIRACA;JOAO VICTOR NUNES DA SILVA;PSOL;329;ESCOLA DE ENSINO FUNDAMENTAL CLEONICE BARBOSA DE ALMEIDA;CONJUNTO BRISA DO LAGO - OLHO DAGUA DOS CAZUZINHO;;;;;NAO_ENCONTRADO;7;34;20.59;4;27;14.41;REDUTO BAIXO
UNIAO DOS PALMARES;ROMILDO DURVAL DA SILVA;PSD;330;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;11;61;18.03;7;50;14.41;REDUTO BAIXO
CORURIPE;RODIO ENÉAS GUIMARÃES GAMA;PP;331;ESCOLA MUNICIPAL NOSSA SENHORA DO MONT SERRAT;POVOADO MIAI DE BAIXO, S/N;;;;;NAO_ENCONTRADO;262;1885;13.9;4;120;14.4;REDUTO BAIXO
DELMIRO GOUVEIA;CLEBSON SOARES;PDT;332;MARIA DULCE FEITOSA,ESCOLA DE 1 GRAU;RUA BATISTA WANDERLEY, SN;-9.3744784;-37.9999685;Eldorado;;ENCONTRADO;3;13;23.08;1;11;14.38;REDUTO BAIXO
ARAPIRACA;NILDO JOSE HENRIQUE DOS SANTOS;PT;333;ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS;POVOADO CANGANDU S/N;;;;;NAO_ENCONTRADO;3;14;21.43;3;14;14.37;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;ELUSA RODRIGUES DA COSTA;PRD;334;ESCOLA MUNICIPAL MARIA ROSA;RUA GERALDO SAMPAIO, S/N;-9.7779609;-36.1043243;Paraíso;;ENCONTRADO;24;150;16.0;9;91;14.37;REDUTO BAIXO
ARAPIRACA;CARLOS ALBERTO VERA CRUZ DOS SANTOS;PSOL;335;ESCOLA DE ENSINO FUNDAMENTAL JESUS REDENTOR;RUA MANÉ GARRINCHA, S/N;-9.7575074;-36.6691287;Manoel Teles;;ENCONTRADO;2;9;22.22;2;9;14.34;REDUTO BAIXO
PALMEIRA DOS INDIOS;JACIELE VENANCIA DA SILLVA;PDT;336;COLÉGIO CRISTO REDENTOR;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;São Cristovão;;ENCONTRADO;2;9;22.22;2;9;14.34;REDUTO BAIXO
UNIAO DOS PALMARES;JOSÉ ROBERTO BEZERRA;PSD;337;COLEGIO DR. MARIO GOMES DE BARROS;RUA JARDIM BRASILIA 378;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;2;9;22.22;2;9;14.34;REDUTO BAIXO
PALMEIRA DOS INDIOS;JOAO DOS SANTOS;PDT;338;COLÉGIO CRISTO REDENTOR;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;São Cristovão;;ENCONTRADO;14;92;15.22;10;70;14.23;REDUTO BAIXO
RIO LARGO;ADRIANO CARDOSO DA SILVA;PSB;339;CRECHE MUNICIPAL CELYRIO ADAMASTOR BARRETO ACIOLY;ROD AL 210, CJ EDSON NOVAES S/N;;;;;NAO_ENCONTRADO;18;98;18.37;6;61;14.23;REDUTO BAIXO
PENEDO;JOSE NILSON DOS SANTOS;PP;340;COLÉGIO DIOCESANO DE PENEDO;PÇA. LARGO DE FÁTIMA, PX. À 9A. COORDENADORIA DE ENSINO DE ALAGOAS;;;;;NAO_ENCONTRADO;6;31;19.35;5;26;14.14;REDUTO BAIXO
DELMIRO GOUVEIA;JAMIL CORDEIRO DE ARAUJO FILHO;MDB;341;VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA;AV MASCARENHAS DE MORAIS S/N;;;;;NAO_ENCONTRADO;118;1114;10.59;12;132;14.06;REDUTO BAIXO
MACEIO;MARIA CICERA DA SILVA FARIAS;REPUBLICANOS;342;ESCOLA ESTADUAL PROF. REMI LIMA;RUA SAO JOSE, S/N;-9.6364716;-35.7291049;Pitanguinha;;ENCONTRADO;7;35;20.0;4;30;14.06;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;ANTONIO JOSE DE LIMA FILHO;PRD;343;ESCOLA ANA LINS;RUA SENADOR MAXIMO, 130;-9.7797751;-36.0993035;Centro;;ENCONTRADO;7;35;20.0;4;30;14.06;REDUTO BAIXO
ARAPIRACA;PECLISIO CAVALCANTE GILO;PSOL;344;ESCOLA DE 1 GRAU PROFESSOR JAYME DE ALTAVILLA;RUA SANTOS DUMONT, 623;-9.7498653;-36.6655146;Centro;;ENCONTRADO;12;69;17.39;7;53;14.04;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;EDNEUSA ROSA E SILVA;PRD;345;ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA;RODOVIA BR 101, KM 69;-9.741431;-36.0611185;São Miguel dos Campos;;ENCONTRADO;5;24;20.83;3;21;14.04;REDUTO BAIXO
ARAPIRACA;ELIZABETE NOBRE SILVA;REPUBLICANOS;346;ESCOLA ENSINO FUNDAMENTAL DIVALDO SURUAGY;RUA ADERVAL INÁCIO DA SILVA, 45, BRASÍLIA, ARAPIRACA;-9.7523022;-36.6444312;Brasília;;ENCONTRADO;22;142;15.49;9;105;14.03;REDUTO BAIXO
ARAPIRACA;RAMONN IZIDORO SOARES ALVES;PSB;347;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;Capiatá;;ENCONTRADO;180;3169;5.68;16;374;14.03;REDUTO BAIXO
UNIAO DOS PALMARES;IRAQUITAN JOSE DA SILVA;PMB;348;ESCOLA MUNICIPAL LAURA PEREIRA DA SILVA;RUA CUPERTINO DOS PRAZERES, S/N;;;;;NAO_ENCONTRADO;3;14;21.43;2;13;13.88;REDUTO BAIXO
UNIAO DOS PALMARES;LUANE DA SILVA SILVA;PMB;349;CRECHE MUNICIPAL TIA SUZETE;CONJUNTO NOVA ESPERANÇA;;;;;NAO_ENCONTRADO;3;14;21.43;2;12;13.88;REDUTO BAIXO
UNIAO DOS PALMARES;MARIA JOSE DA SILVA;UNIÃO;350;ESCOLA MUNICIPAL JOÃO COSTA DE OLIVEIRA;QUADRA P1, S/N;;;;;NAO_ENCONTRADO;3;14;21.43;2;13;13.88;REDUTO BAIXO
ARAPIRACA;JULIA FABRICIA FERREIRA DE LIMA BEZERRA;MDB;351;ESCOLA ENSINO FUNDAMENTAL DIVALDO SURUAGY;RUA ADERVAL INÁCIO DA SILVA, 45, BRASÍLIA, ARAPIRACA;-9.7523022;-36.6444312;Brasília;;ENCONTRADO;248;2920;8.49;10;373;13.86;REDUTO BAIXO
PALMEIRA DOS INDIOS;JOSE CAETANO DA SILVA NETO;PDT;352;COLÉGIO CRISTO REDENTOR;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;São Cristovão;;ENCONTRADO;9;55;16.36;8;47;13.86;REDUTO BAIXO
ARAPIRACA;CRISTIANO JOSÉ DE OLIVEIRA;PMB;353;GRUPO ESCOLAR 31 DE MARÇO;RUA BRASILIA S/N;-9.7567015;-36.6527243;Brasília;;ENCONTRADO;14;87;16.09;8;65;13.78;REDUTO BAIXO
ARAPIRACA;MARCOS ANTONIO VIEIRA DOS SANTOS;PSOL;354;ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS;POVOADO CANGANDU S/N;;;;;NAO_ENCONTRADO;6;32;18.75;5;28;13.78;REDUTO BAIXO
UNIAO DOS PALMARES;ANTÔNIO ROSENDO DA SILVA;PSD;355;ESCOLA MUNICIPAL JAIRO CORREIA VIANA;RUA TAVARES BASTOS 206;-9.157438;-36.0311805;União dos Palmares;;ENCONTRADO;13;85;15.29;9;64;13.77;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;DIOGENES ALLYSON ALMEIDA NOVAIS;PP;356;ESCOLA ANA LINS;RUA SENADOR MAXIMO, 130;-9.7797751;-36.0993035;Centro;;ENCONTRADO;130;1155;11.26;10;137;13.67;REDUTO BAIXO
ARAPIRACA;WALLYSSON BISPO DA SILVA;PP;357;COLÉGIO QUINTELA CAVALCANTE;AV. VENTURA DE FARIAS S/N;-9.7466266;-36.6673366;Eldorado;;ENCONTRADO;197;4343;4.54;16;372;13.62;REDUTO BAIXO
MARECHAL DEODORO;YURI CORTEZ DE MENEZES;MDB;358;ESCOLA MUNICIPAL JOSÉ BISPO DA SILVA;AV. CATUÇABA, S/N;-9.7180783;-35.8235422;Marechal Deodoro;;ENCONTRADO;211;1608;13.12;5;135;13.62;REDUTO BAIXO
RIO LARGO;ITALO DIEGO DA SILVA LIMA;REPUBLICANOS;359;ESCOLA ESTADUAL SANTOS DUMONT;BR 104 - DESTACAMENTO DA FAB - VILA MILITAR;;;;;NAO_ENCONTRADO;7;38;18.42;5;34;13.6;REDUTO BAIXO
UNIAO DOS PALMARES;LUCILENE DA CONCEIÇÃO SILVA;PSD;360;ESCOLA DE ENSINO FUNDAMENTAL FERNANDO JUAZEIRO;AV. DR. HERMANO PLECH 488;;;;;NAO_ENCONTRADO;5;24;20.83;2;20;13.55;REDUTO BAIXO
MARECHAL DEODORO;ANA MARIA LIMA DOS SANTOS NUNES;SOLIDARIEDADE;361;NEI MARIA IRENE DA SILVA;AV VIOLETA SN RD DENISSON AMORIM;;;;;NAO_ENCONTRADO;5;25;20.0;3;21;13.54;REDUTO BAIXO
MACEIO;SILVANIA BATINGA DE OLIVEIRA BARBOSA;SOLIDARIEDADE;362;COLÉGIO TIRADENTES;AV. ROBERTO PONTES LIMA, 208,;-9.6734939;-35.7544376;Trapiche da Barra;;ENCONTRADO;268;6464;4.15;14;537;13.52;REDUTO BAIXO
CORURIPE;DAMIÃO GOMES DOS SANTOS;SOLIDARIEDADE;363;CENTRO EDUCACIONAL PROFISSIONAL MARIA ALICE BELTRÃO DE CASTRO SIQUEIRA;RUA PERNAMBUCO NOVO;;;;;NAO_ENCONTRADO;3;15;20.0;3;15;13.51;REDUTO BAIXO
MARECHAL DEODORO;OSVALDO TEIXEIRA DE CARVALHO;PSDB;364;ESCOLA MUNICIPAL GOVERNADOR LUIZ CAVALCANTE;RODOVIA EDVAL LEMOS;-9.7585568;-35.8685101;Vila Cabreiras;;ENCONTRADO;3;15;20.0;3;15;13.51;REDUTO BAIXO
RIO LARGO;CARLOS HENRIQUE ROLIM VASCONCELOS;PP;365;ESCOLA ESTADUAL SANTOS DUMONT;BR 104 - DESTACAMENTO DA FAB - VILA MILITAR;;;;;NAO_ENCONTRADO;191;1873;10.2;9;200;13.5;REDUTO BAIXO
ARAPIRACA;ALIETE DE OLIVEIRA SILVA;SOLIDARIEDADE;366;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;Capiatá;;ENCONTRADO;26;216;12.04;12;144;13.49;REDUTO BAIXO
UNIAO DOS PALMARES;JOSE REYNALDO OLIVEIRA SIMOES DE MELO;PMB;367;ESCOLA MUNICIPAL JAIRO CORREIA VIANA;RUA TAVARES BASTOS 206;-9.157438;-36.0311805;União dos Palmares;;ENCONTRADO;19;138;13.77;10;84;13.44;REDUTO BAIXO
ARAPIRACA;MARLOS HENRIQUE DOS SANTOS FERREIRA;PSDB;368;ESCOLA DE ENSINO FUNDAMENTAL CLEONICE BARBOSA DE ALMEIDA;CONJUNTO BRISA DO LAGO - OLHO DAGUA DOS CAZUZINHO;;;;;NAO_ENCONTRADO;11;61;18.03;5;46;13.43;REDUTO BAIXO
ARAPIRACA;THIAGO SEVERINO LOPES DOS SANTOS;UNIÃO;369;GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA;VILA SAÕ JOSÉ S/N;;;;;NAO_ENCONTRADO;214;2101;10.19;8;359;13.37;REDUTO BAIXO
UNIAO DOS PALMARES;GEOVANE DOS SANTOS ROSENO;PT;370;ESCOLA MUNICIPAL JAIRO CORREIA VIANA;RUA TAVARES BASTOS 206;-9.157438;-36.0311805;União dos Palmares;;ENCONTRADO;9;55;16.36;7;43;13.37;REDUTO BAIXO
MACEIO;JOSAN LEITE PEREIRA BARROS;REPUBLICANOS;371;CRECHE ESCOLA ESPAÇO EDUCAR;RUA PROFESSOR SANDOVAL ARROXELAS, N. 510;-9.6588344;-35.7046403;Ponta Verde;;ENCONTRADO;31;368;8.42;16;226;13.34;REDUTO BAIXO
ARAPIRACA;MELQUISEDEC DE OLIVEIRA;MDB;372;GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA;VILA SAÕ JOSÉ S/N;;;;;NAO_ENCONTRADO;215;2131;10.09;8;359;13.33;REDUTO BAIXO
RIO LARGO;JOSUEL SILVA DOS ANJOS JUNIOR;REPUBLICANOS;373;COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO;CONJ GURIATA, S/N;;;;;NAO_ENCONTRADO;6;32;18.75;4;29;13.3;REDUTO BAIXO
PENEDO;DERIVAN THOMAZ;PV;374;EMEB PROFESSOR IRÊNIO ARAÚJO;POVOADO MARITUBA DO PEIXE;;;;;NAO_ENCONTRADO;196;1287;15.23;2;131;13.19;REDUTO BAIXO
ARAPIRACA;CELIEL FERREIRA DOS SANTOS;REPUBLICANOS;375;ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA;RUA MANOEL LÚCIO S/N;-9.7464382;-36.6524184;Alto do Cruzeiro;;ENCONTRADO;11;69;15.94;7;56;13.15;REDUTO BAIXO
MACEIO;OLÍVIA COIMBRA TENÓRIO VILAÇA;PP;376;COLÉGIO ZUMBI DOS PALMARES;CJ ROSANE COLLOR, QD M, S/N;;;;;NAO_ENCONTRADO;335;6669;5.02;10;545;13.14;REDUTO BAIXO
UNIAO DOS PALMARES;SEVERINA DANIEL DIAS;PMB;377;COLEGIO DR. MARIO GOMES DE BARROS;RUA JARDIM BRASILIA 378;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;5;27;18.52;4;24;13.14;REDUTO BAIXO
MACEIO;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;378;ESCOLA ESTADUAL MARIA AMÁLIA;RUA VALDEMAR RUFINO DOS SANTOS, S/N,VILA ABC;;;;;NAO_ENCONTRADO;509;14038;3.63;6;549;13.08;REDUTO BAIXO
ARAPIRACA;MARILENE ALVINO PINTO;PSOL;379;ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA;RUA MANOEL LÚCIO S/N;-9.7464382;-36.6524184;Alto do Cruzeiro;;ENCONTRADO;9;54;16.67;6;46;13.07;REDUTO BAIXO
ARAPIRACA;EDSON DOS SANTOS SILVA;PMB;380;GRUPO ESCOLAR JOÃO BATISTA PEREIRA;COHAB NOVA S/N;;;;;NAO_ENCONTRADO;7;40;17.5;5;37;13.05;REDUTO BAIXO
RIO LARGO;ELISANGELA MARIA DE OLIVEIRA;PSB;381;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;13;98;13.27;10;69;13.04;REDUTO BAIXO
ARAPIRACA;ANTONIO TIODE DA SILVA;PSDB;382;ESCOLA JOÃO SATURNINO DE ALMEIDA;AV. JOÃO SATURNINO S/N;;;;;NAO_ENCONTRADO;2;10;20.0;2;9;13.01;REDUTO BAIXO
UNIAO DOS PALMARES;MARIA DO CARMO DEMEZIO;PT;383;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;2;10;20.0;2;10;13.01;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;LUCIMARIA OLIVEIRA ROCHA;PRD;384;ESCOLA MUNICIPAL RUI PALMEIRA;RUA CORONEL JOSE ANTONIO DA CRUZ, 54;-9.7817352;-36.103011;Paraíso;;ENCONTRADO;26;218;11.93;11;115;12.93;REDUTO BAIXO
RIO LARGO;JOSILENE JULIO DA SILVA;PSB;385;ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS;RUA SAO PEDRO S/N;-9.4784995;-35.8366035;Mata do Rolo;;ENCONTRADO;4;22;18.18;4;19;12.92;REDUTO BAIXO
MACEIO;JONATAS JOSE OLIVEIRA DE OMENA;PL;386;ESCOLA DE ENS. FUND. NOSSO LAR I;RUA SAMPAIO DORIA, S/N;;;;;NAO_ENCONTRADO;192;5486;3.5;16;544;12.91;REDUTO BAIXO
MARECHAL DEODORO;EVERALDO OLIVEIRA SOUTO NETO;MDB;387;ESCOLA MUNICIPAL PREFEITO MANOEL MESSIAS DOS SANTOS;RUA SALVADOR S/N LOT. LUAR DO FRANCÊS;;;;;NAO_ENCONTRADO;182;1776;10.25;8;135;12.91;REDUTO BAIXO
MARECHAL DEODORO;JOÃO PAULO ALVES DA SILVA;PDT;388;INSTITUTO FEDERAL DE ALAGOAS IF/AL;RUA LOURIVAL ALFREDO N 176;-9.7129729;-35.8940606;Centro;;ENCONTRADO;91;842;10.81;10;128;12.79;REDUTO BAIXO
MARECHAL DEODORO;JOSÉ WAGNER COSTA DA SILVA;MDB;389;ESCOLA ESTADUAL JOSÉ CORREIA DA SILVA TITARA;LOT BOSQUE DA MASSAGUEIRA N 3A;;;;;NAO_ENCONTRADO;145;1442;10.06;9;135;12.7;REDUTO BAIXO
ARAPIRACA;JACKELLINE MARIA BARBOSA ALMEIDA;MDB;390;COLÉGIO QUINTELA CAVALCANTE;AV. VENTURA DE FARIAS S/N;-9.7466266;-36.6673366;Eldorado;;ENCONTRADO;106;2020;5.25;16;359;12.62;REDUTO BAIXO
ARAPIRACA;DAMIÃO AMARO  SILVA;PT;391;COLÉGIO QUINTELA CAVALCANTE;AV. VENTURA DE FARIAS S/N;-9.7466266;-36.6673366;Eldorado;;ENCONTRADO;16;129;12.4;10;98;12.57;REDUTO BAIXO
RIO LARGO;JOSÉ WELLINGTON URBANO PINTO;PL;392;ESCOLA MUNICIPAL DE EDUCACAO BASICA D PEDRO I;RUA CURITIBA S/N;-9.5105587;-35.8093743;Rio Largo;;ENCONTRADO;13;98;13.27;9;69;12.56;REDUTO BAIXO
ARAPIRACA;DEYVISSON BRUNO ALVES DOS SANTOS;PSOL;393;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;Capiatá;;ENCONTRADO;2;10;20.0;1;9;12.52;REDUTO BAIXO
RIO LARGO;ALBA ATACIANE DE LIMA CARVALHO;MDB;394;ESCOLA ESTADUAL SANTOS DUMONT;BR 104 - DESTACAMENTO DA FAB - VILA MILITAR;;;;;NAO_ENCONTRADO;26;190;13.68;8;97;12.52;REDUTO BAIXO
