municipio,local_nao_georreferenciado,local_nao_georreferenciado_normalizado,qtd_registros_afetados,melhor_correspondencia_georreferenciada,score_similaridade,status_match,latitude_sugerida,longitude_sugerida,qtd_registros_do_local_sugerido
MACEIO,ESC. MUN. ARNON AFFONSO FARIAS DE MELLO,ESCOLA MUNICIPAL ARNON AFFONSO FARIAS DE MELLO,275,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL MARIA DE FÁTIMA MELO,0.6667,SEM_MATCH,-9.6669361,-35.7284605,194
MACEIO,COLÉGIO MARIA MONTESSORI,COLEGIO MARIA MONTESSORI,274,COLÉGIO MARISTA DE MACEIO,0.6531,SEM_MATCH,-9.6587237,-35.7320324,277
CORURIPE,ESCOLA ESTADUAL LIMA CASTRO,ESCOLA ESTADUAL LIMA CASTRO,273,ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM,0.5143,SEM_MATCH,-10.118516,-36.1800084,284
MACEIO,COLÉGIO SANTÍSSIMO SENHOR,COLEGIO SANTISSIMO SENHOR,271,COLÉGIO SANTÍSSIMA TRINDADE,0.7308,SEM_MATCH,-9.6157912,-35.7152195,202
MACEIO,ESC. EST. PROF. EDUARDO DA MOTA TRIGUEIROS,ESCOLA ESTADUAL PROFESSOR EDUARDO DA MOTA TRIGUEIROS,270,ESC. EST. PROF. EDUARDO ALMEIDA DA SILVA,0.7843,MATCH_FRACO,-9.5251247,-35.6115964,133
UNIAO DOS PALMARES,ESCOLA MUNICIPAL JOÃO COSTA DE OLIVEIRA,ESCOLA MUNICIPAL JOAO COSTA DE OLIVEIRA,267,ESCOLA MUNICIPAL JAIRO CORREIA VIANA,0.72,SEM_MATCH,-9.157438,-36.0311805,393
ARAPIRACA,ESCOLA PROFESSOR LUIZ ALBERTO DE MELO,ESCOLA PROFESSOR LUIZ ALBERTO DE MELO,264,ESCOLA DE 1 GRAU PROFESSOR JAYME DE ALTAVILLA,0.5854,SEM_MATCH,-9.7498653,-36.6655146,333
ARAPIRACA,GRUPO ESCOLAR DOMINGOS LOPES,GRUPO ESCOLAR DOMINGOS LOPES,260,GRUPO ESCOLAR ADRIANO JORGE,0.6545,SEM_MATCH,-9.7528354,-36.6609557,323
MACEIO,ESCOLA ESTADUAL PROFESSOR PEDRO TEIXEIRA,ESCOLA ESTADUAL PROFESSOR PEDRO TEIXEIRA,259,ESCOLA ESTADUAL PROF. REMI LIMA,0.8,MATCH_FRACO,-9.6364716,-35.7291049,193
MACEIO,ESC. MUN. PROFª EULINA RIBEIRO ALENCAR,ESCOLA MUNICIPAL PROF EULINA RIBEIRO ALENCAR,259,ESCOLA MUN. PROFª MARIA NILDA,0.7013,SEM_MATCH,-9.6154249,-35.7497845,106
MACEIO,E.E. JORNALISTA LAFAIETTE BELO,ESCOLA ESTADUAL JORNALISTA LAFAIETTE BELO,259,ESCOLA EST. JORNALISTA FREITAS NETO,0.775,MATCH_FRACO,-9.6214949,-35.7555418,368
ARAPIRACA,GRUPO ESCOLAR JOSE PEREIRA LÚCIO,GRUPO ESCOLAR JOSE PEREIRA LUCIO,252,GRUPO ESCOLAR 31 DE MARÇO,0.6667,SEM_MATCH,-9.7567015,-36.6527243,423
MACEIO,ESCOLA MONTEIRO LOBATO,ESCOLA MONTEIRO LOBATO,250,ESCOLA SEB (ANTIGO COC),0.6047,SEM_MATCH,-9.6579315,-35.7095681,629
CORURIPE,ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA,ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA,249,ESCOLA MUNICIPAL JOSE BUARQUE DA SILVA,0.5263,SEM_MATCH,-10.1215463,-36.1728897,156
MACEIO,ESCOLA DE ENSINO FUNDAMENTAL PROF. DONIZETTI CALHEIROS,ESCOLA DE ENSINO FUNDAMENTAL PROFESSOR DONIZETTI CALHEIROS,249,ESC. DE ENS. FUND. PROF. PEDRO CAFÉ,0.8411,MATCH_FRACO,-9.5960352,-35.7409551,186
MACEIO,ESC. MUN. ANTÔNIO SEMEÃO LAMENHA LINS,ESCOLA MUNICIPAL ANTONIO SEMEAO LAMENHA LINS,247,E.M. JORGE DE LIMA,0.6216,SEM_MATCH,-9.5833087,-35.763066,70
MACEIO,E.M. PROF. AURÉLIO BUARQUE DE HOLANDA FERREIRA,ESCOLA MUNICIPAL PROFESSOR AURELIO BUARQUE DE HOLANDA FERREIRA,246,E.M. PAULO HENRIQUE COSTA BANDEIRA,0.6667,SEM_MATCH,-9.5484537,-35.7243653,265
MACEIO,ESC. EST. MANOEL SIMPLICIO DO NASCIMENTO,ESCOLA ESTADUAL MANOEL SIMPLICIO DO NASCIMENTO,244,E.M. MANOEL PEDRO DOS SANTOS,0.6512,SEM_MATCH,-9.5508817,-35.7851439,180
