chave_local,latitude,longitude,bairro,distrito,status_geocodificacao,consulta_geocoding
ARAPIRACA|ESCOLA PEDRO SURUAGY|RUA NOSSA SENHORA DA SALETE S/N,-9.7509333,-36.6431771,Itapoã,,ENCONTRADO,"RUA NOSSA SENHORA DA SALETE S/N, Arapiraca, Alagoas, Brasil"
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL PONTES DE MIRANDA|RUA LINO ROBERTO,-9.7361389,-36.6598115,Santa Edwiges,,ENCONTRADO,"RUA LINO ROBERTO, Arapiraca, Alagoas, Brasil"
ARAPIRACA|ESCOLAR ANA BERNARDES SILVEIRA|SERRA DOS FERREIRA S/N,,,,,NAO_ENCONTRADO,"SERRA DOS FERREIRA S/N, Arapiraca, Alagoas, Brasil"
ARAPIRACA|ESCOLA LINDAUVA EULALIA DE FARIAS|POVOADO BAIXA GRANDE DE DENTRO,,,,,NAO_ENCONTRADO,"POVOADO BAIXA GRANDE DE DENTRO, Arapiraca, Alagoas, Brasil"
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL LOJA MACONICA|RUA JOSE CLOVIS R. DE BARROS,,,,,NAO_ENCONTRADO,"RUA JOSÉ CLOVIS R. DE BARROS, Arapiraca, Alagoas, Brasil"
"ARAPIRACA|ESCOLA ESTADUAL DE EDUCACAO BASICA PROF. PEDRO DE FRANCA REIS|RUA ANTONIO MARROQUIM, 511",-9.7479462,-36.6693345,Baixão,,ENCONTRADO,"RUA ANTONIO MARROQUIM, 511, Arapiraca, Alagoas, Brasil"
ARAPIRACA|GRUPO ESCOLAR ADRIANO JORGE|AV. RIO BRANCO S/N,-9.7528354,-36.6609557,Centro,,ENCONTRADO,"AV. RIO BRANCO S/N, Arapiraca, Alagoas, Brasil"
"ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL JESUS REDENTOR|RUA MANE GARRINCHA, S/N",-9.7575074,-36.6691287,Manoel Teles,,ENCONTRADO,"RUA MANÉ GARRINCHA, S/N, Arapiraca, Alagoas, Brasil"
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL GUIMARAES PASSOS|VILA FERNANDES,,,,,NAO_ENCONTRADO,"VILA FERNANDES, Arapiraca, Alagoas, Brasil"
ARAPIRACA|ANEXO ESCOLA JAYME DE ALTAVILLA|AV. MIGUEL CORREIA S/N,,,,,NAO_ENCONTRADO,"AV. MIGUEL CORREIA S/N, Arapiraca, Alagoas, Brasil"
"ARAPIRACA|ESCOLA DE ENSINO FUND. EM TEMPO INTEGRAL PROF.BENILDO BARBOSA MEDEIROS|RUA ENGENHEIRO CAMILO COLLIER, S/N",-9.7672331,-36.6567112,Primavera,,ENCONTRADO,"RUA ENGENHEIRO CAMILO COLLIER, S/N, Arapiraca, Alagoas, Brasil"
ARAPIRACA|GRUPO ESCOLAR TIBURCIO VALERIANO DA SILVA|RUA PRESIDENTE DUTRA S/N,-9.7442978,-36.6564083,Caititus,,ENCONTRADO,"RUA PRESIDENTE DUTRA S/N, Arapiraca, Alagoas, Brasil"
"ARAPIRACA|IFAL - INSTITUTO FEDERAL DE ALAGOAS|RODOVIA AL 110, N 4805",,,,,NAO_ENCONTRADO,"RODOVIA AL 110, N 4805, Arapiraca, Alagoas, Brasil"
"ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL MARIA DE NAZARE|RUA CLAUDIO DE ALBUQUERQUE LIMA, N 2055, SAO LUIZ",-9.7664245,-36.6509194,São Luiz,,ENCONTRADO,"RUA CLAUDIO DE ALBUQUERQUE LIMA, N 2055, SÃO LUIZ, Arapiraca, Alagoas, Brasil"
"ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL WALTER BEZERRA|RUA CLAUDIO DE ALBUQUERQUE LIMA, N 409, OURO PRETO",-9.7621649,-36.6545352,Ouro Preto,,ENCONTRADO,"RUA CLAUDIO DE ALBUQUERQUE LIMA, N 409, OURO PRETO, Arapiraca, Alagoas, Brasil"
"ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL VOLUNTARIA MARIA DAS NEVES BORGES|RUA SINESIO FERREIRA LIMA, N 383, OURO PRETO",,,,,NAO_ENCONTRADO,"RUA SINÉSIO FERREIRA LIMA, N 383, OURO PRETO, Arapiraca, Alagoas, Brasil"
ARAPIRACA|CENTRO DE EDUCACAO INFANTIL JOANNA DE ANGELLIS (ANTIGO MADRE PAULINA)|RUA DOMINGOS CORREIA 1065,,,,,NAO_ENCONTRADO,"RUA DOMINGOS CORREIA 1065, Arapiraca, Alagoas, Brasil"
"ARAPIRACA|CENTRO DE EDUCACAO INFANTIL MARIA DE LOURDES PEREIRA CAVALCANTE|RUA OSMAN CAVALCANTE, S/N",,,,,NAO_ENCONTRADO,"RUA OSMAN CAVALCANTE, S/N, Arapiraca, Alagoas, Brasil"
