chave_local,municipio,local,endereco,consulta,status
RIO LARGO|ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEICAO|EUCLIDES AFONSO DE MELO S/N,RIO LARGO,ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEICAO,EUCLIDES AFONSO DE MELO S/N,"ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEICAO, RIO LARGO, Alagoas, Brasil",SEM_RESULTADO
RIO LARGO|ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEICAO|EUCLIDES AFONSO DE MELO S/N,RIO LARGO,ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEICAO,EUCLIDES AFONSO DE MELO S/N,"EUCLIDES AFONSO DE MELO S/N, RIO LARGO, Alagoas, Brasil",SEM_RESULTADO
RIO LARGO|ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEICAO|EUCLIDES AFONSO DE MELO S/N,RIO LARGO,ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEICAO,EUCLIDES AFONSO DE MELO S/N,"ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEICAO, Alagoas, Brasil",SEM_RESULTADO
"RIO LARGO|ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO|CJ MARIO MAFRA, QUADRA D-04",RIO LARGO,ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO,"CJ MARIO MAFRA, QUADRA D-04","ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO, CJ MARIO MAFRA, QUADRA D-04, RIO LARGO, Alagoas, Brasil",SEM_RESULTADO
"RIO LARGO|ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO|CJ MARIO MAFRA, QUADRA D-04",RIO LARGO,ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO,"CJ MARIO MAFRA, QUADRA D-04","ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO, RIO LARGO, Alagoas, Brasil",SEM_RESULTADO
"RIO LARGO|ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO|CJ MARIO MAFRA, QUADRA D-04",RIO LARGO,ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO,"CJ MARIO MAFRA, QUADRA D-04","CJ MARIO MAFRA, QUADRA D-04, RIO LARGO, Alagoas, Brasil",SEM_RESULTADO
"RIO LARGO|ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO|CJ MARIO MAFRA, QUADRA D-04",RIO LARGO,ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO,"CJ MARIO MAFRA, QUADRA D-04","ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO, Alagoas, Brasil",SEM_RESULTADO
RIO LARGO|GRUPO ESCOLAR MANOEL SOARES DE SOUZA|VILA RAUL S/N,RIO LARGO,GRUPO ESCOLAR MANOEL SOARES DE SOUZA,VILA RAUL S/N,"GRUPO ESCOLAR MANOEL SOARES DE SOUZA, VILA RAUL S/N, RIO LARGO, Alagoas, Brasil",SEM_RESULTADO
RIO LARGO|GRUPO ESCOLAR MANOEL SOARES DE SOUZA|VILA RAUL S/N,RIO LARGO,GRUPO ESCOLAR MANOEL SOARES DE SOUZA,VILA RAUL S/N,"GRUPO ESCOLAR MANOEL SOARES DE SOUZA, RIO LARGO, Alagoas, Brasil",SEM_RESULTADO
RIO LARGO|GRUPO ESCOLAR MANOEL SOARES DE SOUZA|VILA RAUL S/N,RIO LARGO,GRUPO ESCOLAR MANOEL SOARES DE SOUZA,VILA RAUL S/N,"VILA RAUL S/N, RIO LARGO, Alagoas, Brasil",SEM_RESULTADO
