municipio,local_sem_geo,local_sem_geo_normalizado,registros_afetados,melhor_local_cache,melhor_endereco_cache,score_similaridade,status_match,latitude_sugerida,longitude_sugerida
MACEIO,ESC. EST. PROF. EDUARDO DA MOTA TRIGUEIROS,ESCOLA ESTADUAL PROFESSOR EDUARDO DA MOTA TRIGUEIROS,270,ESC. EST. PROF. EDUARDO DA MOTA TRIGUEIROS,"RUA ADAUTO GOMES BARBOSA, S/N - SANTO EDUARDO",1.0,MATCH_FORTE,,
UNIAO DOS PALMARES,ESCOLA MUNICIPAL JOÃO COSTA DE OLIVEIRA,ESCOLA MUNICIPAL JOAO COSTA DE OLIVEIRA,267,ESCOLA MUNICIPAL JOAO COSTA DE OLIVEIRA,"QUADRA P1, S/N",1.0,MATCH_FORTE,,
ARAPIRACA,ESCOLA PROFESSOR LUIZ ALBERTO DE MELO,ESCOLA PROFESSOR LUIZ ALBERTO DE MELO,264,ESCOLA PROFESSOR LUIZ ALBERTO DE MELO,POVOADO PAU D ARCO S/N,1.0,MATCH_FORTE,,
ARAPIRACA,GRUPO ESCOLAR DOMINGOS LOPES,GRUPO ESCOLAR DOMINGOS LOPES,260,GRUPO ESCOLAR DOMINGOS LOPES,RUA VEREADOR DOMINGOS LOPES S/N,1.0,MATCH_FORTE,,
MACEIO,ESCOLA ESTADUAL PROFESSOR PEDRO TEIXEIRA,ESCOLA ESTADUAL PROFESSOR PEDRO TEIXEIRA,259,ESCOLA ESTADUAL PROFESSOR PEDRO TEIXEIRA,"RUA PAU DARCO, S/N",1.0,MATCH_FORTE,,
MACEIO,ESC. MUN. PROFª EULINA RIBEIRO ALENCAR,ESCOLA MUNICIPAL PROF EULINA RIBEIRO ALENCAR,259,ESC. MUN. PROFa EULINA RIBEIRO ALENCAR,"RUA COARACI FONSECA, 01",0.9362,MATCH_PROVAVEL,,
MACEIO,E.E. JORNALISTA LAFAIETTE BELO,ESCOLA ESTADUAL JORNALISTA LAFAIETTE BELO,259,E.E. JORNALISTA LAFAIETTE BELO,"PARQUE RESIDENCIAL BENEDITO BENTES I, S/N",1.0,MATCH_FORTE,,
ARAPIRACA,GRUPO ESCOLAR JOSE PEREIRA LÚCIO,GRUPO ESCOLAR JOSE PEREIRA LUCIO,252,GRUPO ESCOLAR JOSE PEREIRA LUCIO,POVOADO BANANEIRAS S/N,1.0,MATCH_FORTE,,
MACEIO,ESCOLA MONTEIRO LOBATO,ESCOLA MONTEIRO LOBATO,250,ESCOLA MONTEIRO LOBATO,"RUA DO IPE ROXO, 291",1.0,MATCH_FORTE,,
CORURIPE,ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA,ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA,249,ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA,"RUA PERNAMBUCO NOVO, S/N",1.0,MATCH_FORTE,,
MACEIO,ESCOLA DE ENSINO FUNDAMENTAL PROF. DONIZETTI CALHEIROS,ESCOLA DE ENSINO FUNDAMENTAL PROFESSOR DONIZETTI CALHEIROS,249,ESCOLA DE ENSINO FUNDAMENTAL PROF. DONIZETTI CALHEIROS,"AV. UBERABA, S/N",1.0,MATCH_FORTE,,
