municipio,local_sem_geo,local_sem_geo_normalizado,registros_afetados,melhor_local_cache,melhor_endereco_cache,score_similaridade,status_match,latitude_sugerida,longitude_sugerida
PALMEIRA DOS INDIOS,ESCOLA ESTADUAL DIJANIRA SANTOS SILVA,ESCOLA ESTADUAL DIJANIRA SANTOS SILVA,52,ESCOLA ESTADUAL DIJANIRA SANTOS SILVA,POVOADO SANTO ANTONIO,1.0,MATCH_FORTE,,
DELMIRO GOUVEIA,"MANOEL MOURA, COLEGIO DE 1 GRAU",MANOEL MOURA COLEGIO DE 1 GRAU,52,"MANOEL MOURA, COLEGIO DE 1 GRAU",POVOADO BARRAGEM,1.0,MATCH_FORTE,,
DELMIRO GOUVEIA,"JOSE CORREIA DOS SANTOS,GRUPO ESCOLAR",JOSE CORREIA DOS SANTOS GRUPO ESCOLAR,51,"JOSE CORREIA DOS SANTOS,GRUPO ESCOLAR",POVOADO SINIMBU,1.0,MATCH_FORTE,,
PENEDO,EMEB HANNA BERTHOLET,EMEB HANNA BERTHOLET,50,EMEB HANNA BERTHOLET,POVOADO SANTA MARGARIDA,1.0,MATCH_FORTE,,
MARECHAL DEODORO,ESCOLA MUNICIPAL ADELINA DE CARVALHO MELO,ESCOLA MUNICIPAL ADELINA DE CARVALHO MELO,47,ESCOLA MUNICIPAL ADELINA DE CARVALHO MELO,RUA ADELINA DE CARVALHO MELO SN,1.0,MATCH_FORTE,,
MARECHAL DEODORO,UBS - MARIA DO CARMO ARAÚJO SOARES,UBS MARIA DO CARMO ARAUJO SOARES,45,UBS - MARIA DO CARMO ARAUJO SOARES,"RUA ADELINA DE CARVALHO MELO, S/N",1.0,MATCH_FORTE,,
DELMIRO GOUVEIA,GRUPO ESCOLAR CASTRO ALVES,GRUPO ESCOLAR CASTRO ALVES,41,GRUPO ESCOLAR CASTRO ALVES,POVOADO BARRAGEM,1.0,MATCH_FORTE,,
DELMIRO GOUVEIA,"JOSE CORREIA FILHO,ESCOLA",JOSE CORREIA FILHO ESCOLA,39,"JOSE CORREIA FILHO,ESCOLA",POVOADO JARDIM CORDEIRO,1.0,MATCH_FORTE,,
MACEIO,CRECHE AGENOR FERNANDES PONTES,CRECHE AGENOR FERNANDES PONTES,39,CRECHE AGENOR FERNANDES PONTES,"VILA GOIABEIRA, 132",1.0,MATCH_FORTE,,
DELMIRO GOUVEIA,"RUI BARBOSA,ESCOLA MUNICIPAL",RUI BARBOSA ESCOLA MUNICIPAL,37,"RUI BARBOSA,ESCOLA MUNICIPAL",POVOADO SAO SEBASTIAO,1.0,MATCH_FORTE,,
PENEDO,ESCOLA ESTADUAL CLEMENTINO DO MONTE,ESCOLA ESTADUAL CLEMENTINO DO MONTE,35,ESCOLA ESTADUAL CLEMENTINO DO MONTE,"PRACA CLEMENTINO DO MONTE, S/N (EM FRENTE AO PENEDENSE)",1.0,MATCH_FORTE,,
PALMEIRA DOS INDIOS,ESCOLA MUNICIPAL NOÉ SIMPLÍCIO,ESCOLA MUNICIPAL NOE SIMPLICIO,34,ESCOLA MUNICIPAL NOE SIMPLICIO,POVOADO BONIFACIO,1.0,MATCH_FORTE,,
PALMEIRA DOS INDIOS,ESCOLA ESTADUAL EGÍDIO BARBOSA,ESCOLA ESTADUAL EGIDIO BARBOSA,32,ESCOLA ESTADUAL EGIDIO BARBOSA,POVOADO LAGOA DO CALDEIRAO,1.0,MATCH_FORTE,,
PALMEIRA DOS INDIOS,ESCOLA MUNICIPAL PEDRO RODRIGUES GAIA,ESCOLA MUNICIPAL PEDRO RODRIGUES GAIA,31,ESCOLA MUNICIPAL PEDRO RODRIGUES GAIA,POVOADO CORURIPE DA CAL,1.0,MATCH_FORTE,,
DELMIRO GOUVEIA,"RAIMYSON SILVA NASCIMENTO, EMEF",RAIMYSON SILVA NASCIMENTO EMEF,30,"RAIMYSON SILVA NASCIMENTO, EMEF",POVOADO CARAIBEIRINHAS,1.0,MATCH_FORTE,,
DELMIRO GOUVEIA,"SAO JOSE, ESCOLA MUN DE ENSINO FUNDAMENTAL",SAO JOSE ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL,29,"SAO JOSE, ESCOLA MUN DE ENSINO FUNDAMENTAL",POVOADO SALGADO,1.0,MATCH_FORTE,,
PENEDO,EMEB SANTO ANTÔNIO,EMEB SANTO ANTONIO,28,EMEB SANTO ANTONIO,POVOADO TABULEIRO DOS NEGROS,1.0,MATCH_FORTE,,
PALMEIRA DOS INDIOS,UNIVERSISADE ESTADUAL DE ALAGOAS - UNEAL - PALMERIA DOS ÍNDIOS,UNIVERSISADE ESTADUAL DE ALAGOAS UNEAL PALMERIA DOS INDIOS,26,UNIVERSISADE ESTADUAL DE ALAGOAS - UNEAL - PALMERIA DOS INDIOS,"RODOVIA EDUARDO ALVES DA SILVA, KM 03",1.0,MATCH_FORTE,,
DELMIRO GOUVEIA,"ANTENOR CORREIA SERPA, ESCOLA MUNICIPAL DR.",ANTENOR CORREIA SERPA ESCOLA MUNICIPAL DOUTOR,25,"ANTENOR CORREIA SERPA, ESCOLA MUNICIPAL DR.",POVOADO CRUZ,1.0,MATCH_FORTE,,
PENEDO,EMEB PROFª MARIA DA GLÓRIA PIMENTEIRA,EMEB PROF MARIA DA GLORIA PIMENTEIRA,24,EMEB PROFa MARIA DA GLORIA PIMENTEIRA,POVOADO PONTA MOFINA,0.9231,MATCH_PROVAVEL,,
DELMIRO GOUVEIA,ESCOLA MUNICIPAL DE EDUCAÇÃO BÁSICA JUSCELINO KUBISTCHEK DE OLIVEIRA,ESCOLA MUNICIPAL DE EDUCACAO BASICA JUSCELINO KUBISTCHEK DE OLIVEIRA,23,ESCOLA MUNICIPAL DE EDUCACAO BASICA JUSCELINO KUBISTCHEK DE OLIVEIRA,POVOADO ALTO BONITO,1.0,MATCH_FORTE,,
PENEDO,EMEB PROFESSOR IRÊNIO ARAÚJO,EMEB PROFESSOR IRENIO ARAUJO,17,EMEB PROFESSOR IRENIO ARAUJO,POVOADO MARITUBA DO PEIXE,1.0,MATCH_FORTE,,
