prioridade,prioridade_recalculada,tipo_pendencia,municipio,local_sem_geo,melhor_local_cache,endereco_cache,consulta_geocoding,registros_afetados,score_similaridade,status_match,status_geocodificacao,latitude_curadoria,longitude_curadoria,bairro_curadoria,status_curadoria,fonte_validacao,observacao_curadoria
PRIORIDADE_1,PRIORIDADE_1,POVOADO,ARAPIRACA,ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO,ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO,POVOADO CANAA S/N,"POVOADO CANAÃ S/N, Arapiraca, Alagoas, Brasil",329,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_1,PRIORIDADE_1,POVOADO,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS,ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS,POVOADO CANGANDU S/N,"POVOADO CANGANDU S/N, Arapiraca, Alagoas, Brasil",323,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_1,PRIORIDADE_1,SITIO,MACEIO,ESC. EST. PROF. THEOTÔNIO VILELA BRANDÃO,ESC. EST. PROF. THEOTONIO VILELA BRANDAO,"RUA ADAUTO GOMES BARBOSA, SN - SANTO EDUARDO","RUA ADAUTO GOMES BARBOSA, SN - SANTO EDUARDO, Maceio, Alagoas, Brasil",319,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_1,PRIORIDADE_1,LOTEAMENTO,MACEIO,COLÉGIO EDSON MONTEIRO,COLEGIO EDSON MONTEIRO,"RUA ANDRE PAPINE GOES, 177, LOTEAMENTO ACAUA","RUA ANDRÉ PAPINE GOES, 177, LOTEAMENTO ACAUÃ, Maceio, Alagoas, Brasil",308,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_1,PRIORIDADE_1,CONJUNTO_HABITACIONAL,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL CLEONICE BARBOSA DE ALMEIDA,ESCOLA DE ENSINO FUNDAMENTAL CLEONICE BARBOSA DE ALMEIDA,CONJUNTO BRISA DO LAGO - OLHO DAGUA DOS CAZUZINHO,"CONJUNTO BRISA DO LAGO - OLHO DAGUA DOS CAZUZINHO, Arapiraca, Alagoas, Brasil",301,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,CONJUNTO_HABITACIONAL,MACEIO,COLÉGIO ZUMBI DOS PALMARES,COLEGIO ZUMBI DOS PALMARES,"CJ ROSANE COLLOR, QD M, S/N","CJ ROSANE COLLOR, QD M, S/N, Maceio, Alagoas, Brasil",299,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,MACEIO,ESC. MUN. PROF. LENILTO ALVES SANTOS,ESC. MUN. PROF. LENILTO ALVES SANTOS,"RUA ENFERMEIRO MARIANO - COHAB, S/N","RUA ENFERMEIRO MARIANO - COHAB, S/N, Maceio, Alagoas, Brasil",289,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,RIO LARGO,ESCOLA DE ENSINO FUND DR GASTAO OITICICA,ESCOLA DE ENSINO FUND DR GASTAO OITICICA,AV JULIO CALHEIROS S/N,"AV JULIO CALHEIROS S/N, Rio Largo, Alagoas, Brasil",282,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL LOJA MAÇONICA,ESCOLA DE ENSINO FUNDAMENTAL LOJA MACONICA,RUA JOSE CLOVIS R. DE BARROS,"RUA JOSÉ CLOVIS R. DE BARROS, Arapiraca, Alagoas, Brasil",281,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,CONJUNTO_HABITACIONAL,MACEIO,ESC. MUN. ARNON AFFONSO FARIAS DE MELLO,ESC. MUN. ARNON AFFONSO FARIAS DE MELLO,"CONJ. JOSE DA SILVA PEIXOTO, S/N","CONJ. JOSE DA SILVA PEIXOTO, S/N, Maceio, Alagoas, Brasil",275,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,SITIO,MACEIO,ESC. EST. PROF. EDUARDO DA MOTA TRIGUEIROS,ESC. EST. PROF. EDUARDO DA MOTA TRIGUEIROS,"RUA ADAUTO GOMES BARBOSA, S/N - SANTO EDUARDO","RUA ADAUTO GOMES BARBOSA, S/N - SANTO EDUARDO, Maceio, Alagoas, Brasil",270,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,UNIAO DOS PALMARES,ESCOLA MUNICIPAL JOÃO COSTA DE OLIVEIRA,ESCOLA MUNICIPAL JOAO COSTA DE OLIVEIRA,"QUADRA P1, S/N","QUADRA P1, S/N, Uniao Dos Palmares, Alagoas, Brasil",267,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,POVOADO,ARAPIRACA,ESCOLA PROFESSOR LUIZ ALBERTO DE MELO,ESCOLA PROFESSOR LUIZ ALBERTO DE MELO,POVOADO PAU D ARCO S/N,"POVOADO PAU D ARCO S/N, Arapiraca, Alagoas, Brasil",264,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,MACEIO,E.E. JORNALISTA LAFAIETTE BELO,E.E. JORNALISTA LAFAIETTE BELO,"PARQUE RESIDENCIAL BENEDITO BENTES I, S/N","PARQUE RESIDENCIAL BENEDITO BENTES I, S/N, Maceio, Alagoas, Brasil",259,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,MACEIO,ESC. MUN. PROFª EULINA RIBEIRO ALENCAR,ESC. MUN. PROFa EULINA RIBEIRO ALENCAR,"RUA COARACI FONSECA, 01","RUA COARACI FONSECA, 01, Maceio, Alagoas, Brasil",259,0.9362,MATCH_PROVAVEL,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,MACEIO,ESCOLA ESTADUAL PROFESSOR PEDRO TEIXEIRA,ESCOLA ESTADUAL PROFESSOR PEDRO TEIXEIRA,"RUA PAU DARCO, S/N","RUA PAU DARCO, S/N, Maceio, Alagoas, Brasil",259,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,POVOADO,ARAPIRACA,GRUPO ESCOLAR JOSE PEREIRA LÚCIO,GRUPO ESCOLAR JOSE PEREIRA LUCIO,POVOADO BANANEIRAS S/N,"POVOADO BANANEIRAS S/N, Arapiraca, Alagoas, Brasil",252,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,CORURIPE,ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA,ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA,"RUA PERNAMBUCO NOVO, S/N","RUA PERNAMBUCO NOVO, S/N, Coruripe, Alagoas, Brasil",249,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,MACEIO,ESC. MUN. ANTÔNIO SEMEÃO LAMENHA LINS,ESC. MUN. ANTONIO SEMEAO LAMENHA LINS,"RUA MAJOR JOAQUIM CALHEIROS, S/N","RUA MAJOR JOAQUIM CALHEIROS, S/N, Maceio, Alagoas, Brasil",247,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,CONJUNTO_HABITACIONAL,MACEIO,E.M. PROF. AURÉLIO BUARQUE DE HOLANDA FERREIRA,E.M. PROF. AURELIO BUARQUE DE HOLANDA FERREIRA,"RUA F, S/N, CONJUNTO FREITAS NETO","RUA F, S/N, CONJUNTO FREITAS NETO, Maceio, Alagoas, Brasil",246,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,SITIO,MACEIO,ESC. EST. MANOEL SIMPLICIO DO NASCIMENTO,ESC. EST. MANOEL SIMPLICIO DO NASCIMENTO,"RUA DIVISORIA FEICAO, S/N","RUA DIVISORIA FEICAO, S/N, Maceio, Alagoas, Brasil",244,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,RIO LARGO,ESCOLA DE EDUCAÇÃO BÁSICA AGNUS DEI,ESCOLA DE EDUCACAO BASICA AGNUS DEI,"AV. PRESIDENTE FERNANDO A. COLLO DE MELO,96, ANTONIO LINS DE SOUZA","AV. PRESIDENTE FERNANDO A. COLLO DE MELO,96, ANTONIO LINS DE SOUZA, Rio Largo, Alagoas, Brasil",243,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,MACEIO,E.M. MARIA CARMELITA CARDOSO GAMA (CAIC-UFAL),E.M. MARIA CARMELITA CARDOSO GAMA (CAIC-UFAL),"BR 104, 1099 KM 14 - CAMPUS A.C.SIMOES","BR 104, 1099 KM 14 - CAMPUS A.C.SIMOES, Maceio, Alagoas, Brasil",241,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,CONJUNTO_HABITACIONAL,RIO LARGO,ESCOLA MUNICIPAL TERESA CRISTINA LINS DE SOUZA COSTA,ESCOLA MUNICIPAL TERESA CRISTINA LINS DE SOUZA COSTA,"CJ RES. FRANCISCO TAVARES GRANJA, S/N","CJ RES. FRANCISCO TAVARES GRANJA, S/N, Rio Largo, Alagoas, Brasil",240,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,MACEIO,ESC. MUN. DR. BALTAZAR DE MENDONÇA,ESC. MUN. DR. BALTAZAR DE MENDONCA,"RUA DIVISORIA FEICAO, S/N","RUA DIVISORIA FEICAO, S/N, Maceio, Alagoas, Brasil",239,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,VILA,PENEDO,ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO,ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO,"RUA FLORIANO ROSA, S/N, PX. AO POSTO DE SAUDE, CONJUNTO VILA MATIAS","RUA FLORIANO ROSA, S/N, PX. AO POSTO DE SAÚDE, CONJUNTO VILA MATIAS, Penedo, Alagoas, Brasil",236,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,CONJUNTO_HABITACIONAL,RIO LARGO,ESCOLA MUNICIPAL DE EDUCAÇÃO BASICA INDUSTRIAL LUIGI BAUDUCCO,ESCOLA MUNICIPAL DE EDUCACAO BASICA INDUSTRIAL LUIGI BAUDUCCO,"AVENIDA PASTOR JOSUE LINS CONJUNTO CRUZEIRO DO SUL, C RESIDENCIAL","AVENIDA PASTOR JOSUE LINS CONJUNTO CRUZEIRO DO SUL, C RESIDENCIAL, Rio Largo, Alagoas, Brasil",236,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,SAO MIGUEL DOS CAMPOS,ESCOLA MUNICIPAL PROFESSORA INEIDE NOGUEIRA ROCHA,ESCOLA MUNICIPAL PROFESSORA INEIDE NOGUEIRA ROCHA,"RUA ALICIA VITORIA URBANO DE OLIVEIRA LOPES, QUADRA O1, S/N","RUA ALÍCIA VITÓRIA URBANO DE OLIVEIRA LOPES, QUADRA O1, S/N, Sao Miguel Dos Campos, Alagoas, Brasil",231,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,RIO LARGO,ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEÃO,ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEAO,PATIO DA REDE FERROVIARIA S/N,"PATIO DA REDE FERROVIARIA S/N, Rio Largo, Alagoas, Brasil",229,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,PENEDO,ESCOLA ESTADUAL PROFESSOR ERNANI MÉRO (GRUPO ESCOLAR EXPERIMENTAL),ESCOLA ESTADUAL PROFESSOR ERNANI MERO (GRUPO ESCOLAR EXPERIMENTAL),"PRACA LARGO DE FATIMA, S/N, EM FRENTE AO NUDEPE","PRAÇA LARGO DE FÁTIMA, S/N, EM FRENTE AO NUDEPE, Penedo, Alagoas, Brasil",227,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,MACEIO,ESC. MUN. DR. ORLANDO ARAÚJO,ESC. MUN. DR. ORLANDO ARAUJO,"RUA DR. JOSE SAMPAIO LUZ, S/N","RUA DR. JOSE SAMPAIO LUZ, S/N, Maceio, Alagoas, Brasil",226,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,VILA,RIO LARGO,GRUPO ESCOLAR MANOEL SOARES DE SOUZA,GRUPO ESCOLAR MANOEL SOARES DE SOUZA,VILA RAUL S/N,"VILA RAUL S/N, Rio Largo, Alagoas, Brasil",218,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,VILA,ARAPIRACA,GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA,GRUPO ESCOLAR ANTONIO CEZARIO DE OLIVEIRA,VILA SAO JOSE S/N,"VILA SAÕ JOSÉ S/N, Arapiraca, Alagoas, Brasil",212,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,OUTROS,MACEIO,CENTRO DE ENSINO SANTA JULIANA,CENTRO DE ENSINO SANTA JULIANA,"AV DURVAL DE GOES MONTEIRO, 2345, C67P, CM","AV DURVAL DE GOES MONTEIRO, 2345, C67P, CM, Maceio, Alagoas, Brasil",212,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,MACEIO,ESC. MUN. RADIALISTA EDÉCIO LOPES (ANTIGO COL. LAERSON ROSA),ESC. MUN. RADIALISTA EDECIO LOPES (ANTIGO COL. LAERSON ROSA),"RUA ALAMEDA CELIA DOS ANJOS, 06","RUA ALAMEDA CÉLIA DOS ANJOS, 06, Maceio, Alagoas, Brasil",212,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,RIO LARGO,ESCOLA MUNICIPAL DE ENSINO F. PROFESSOR JOSÉ EDMILSON,ESCOLA MUNICIPAL DE ENSINO F. PROFESSOR JOSE EDMILSON,"COJ NAPOLEAO VIANA,S/N, BAR NOSSO, PREF ANTONIO LINS DE SOUZA","COJ NAPOLEÃO VIANA,S/N, BAR NOSSO, PREF ANTONIO LINS DE SOUZA, Rio Largo, Alagoas, Brasil",211,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,MACEIO,ESCOLA MUN. SÉRGIO LUIZ PESSOA BRAGA,ESCOLA MUN. SERGIO LUIZ PESSOA BRAGA,"PRACA GOVERNADOR LAMENHA FILHO, S/N","PRACA GOVERNADOR LAMENHA FILHO, S/N, Maceio, Alagoas, Brasil",205,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,MACEIO,COLÉGIO SAGRADA FAMILIA,COLEGIO SAGRADA FAMILIA,"RUA ALAMEDA MARIA DAS GRACAS NOVAES BRANDAO VILELA, 07","RUA ALAMEDA MARIA DAS GRAÇAS NOVAES BRANDÃO VILELA, 07, Maceio, Alagoas, Brasil",203,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,CORURIPE,ESCOLA MUN. EDUC. BÁSICA PROF. MARIA ROCHA SANTOS SILVA,ESCOLA MUN. EDUC. BASICA PROF. MARIA ROCHA SANTOS SILVA,"TRAVESSA FLAMENGO, 182, QUADRA S","TRAVESSA FLAMENGO, 182, QUADRA S, Coruripe, Alagoas, Brasil",198,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,POVOADO,ARAPIRACA,ESCOLA LINDAUVA EULÁLIA DE FARIAS,ESCOLA LINDAUVA EULALIA DE FARIAS,POVOADO BAIXA GRANDE DE DENTRO,"POVOADO BAIXA GRANDE DE DENTRO, Arapiraca, Alagoas, Brasil",197,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL VOLUNTÁRIA MARIA DAS NEVES BORGES,ESCOLA DE ENSINO FUNDAMENTAL VOLUNTARIA MARIA DAS NEVES BORGES,"RUA SINESIO FERREIRA LIMA, N 383, OURO PRETO","RUA SINÉSIO FERREIRA LIMA, N 383, OURO PRETO, Arapiraca, Alagoas, Brasil",196,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,MACEIO,ESC. DE ENS. FUND. PROF. ALMEIDA LEITE,ESC. DE ENS. FUND. PROF. ALMEIDA LEITE,"RUA DR. VIRGILIO GUEDES, S/N","RUA DR. VIRGILIO GUEDES, S/N, Maceio, Alagoas, Brasil",194,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,MACEIO,ESCOLA MUNICIPAL PROFESSORA JAREDE VIANA DE OLIVEIRA,ESCOLA MUNICIPAL PROFESSORA JAREDE VIANA DE OLIVEIRA,"RUA SAO JOSE, S/N, AO LADO DA ESCOLA MUNICIPAL TOBIAS GRANJA","RUA SÃO JOSÉ, S/N, AO LADO DA ESCOLA MUNICIPAL TOBIAS GRANJA, Maceio, Alagoas, Brasil",194,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,VILA,MACEIO,E.M. MARIA DE LOURDES DE MELO PIMENTEL,E.M. MARIA DE LOURDES DE MELO PIMENTEL,"RUA PADRE CICERO, 05, VILAGE CAMPESTE II","RUA PADRE CÍCERO, 05, VILAGE CAMPESTE II, Maceio, Alagoas, Brasil",189,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,VILA,MACEIO,E.M. PROFA. HÉVIA VALÉRIA MAIA AMORIM,E.M. PROFA. HEVIA VALERIA MAIA AMORIM,"AV JOSE AILTON DOS SANTOS, S/N, VILAGE CAMPESTRE I","AV JOSÉ AILTON DOS SANTOS, S/N, VILAGE CAMPESTRE I, Maceio, Alagoas, Brasil",189,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,CORURIPE,ESCOLA MUN. CENT. EDUCAÇÃO INFANTIL PROF. MARIA ZENAIDE ROCHA SANTOS,ESCOLA MUN. CENT. EDUCACAO INFANTIL PROF. MARIA ZENAIDE ROCHA SANTOS,"RUA PERNAMBUCO NOVO, S/N,","RUA PERNAMBUCO NOVO, S/N,, Coruripe, Alagoas, Brasil",188,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,POVOADO,CORURIPE,ESCOLA MUNICIPAL SANTA SOFIA,ESCOLA MUNICIPAL SANTA SOFIA,RUA DA CAIXA DAGUA - POVOADO BOTAFOGO,"RUA DA CAIXA DAGUA - POVOADO BOTAFOGO, Coruripe, Alagoas, Brasil",188,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,MACEIO,ESC. MUN. JOÃO XXIII,ESC. MUN. JOAO XXIII,"RUA DR.JOSE JOAQUIM DE ARAUJO, S/N","RUA DR.JOSE JOAQUIM DE ARAUJO, S/N, Maceio, Alagoas, Brasil",188,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,RIO LARGO,ANTIGA ESCOLA FRANCISCO LEÃO DO CENTRO,ANTIGA ESCOLA FRANCISCO LEAO DO CENTRO,"PRACA TEIZEIRA BARROS., SN","PRAÇA TEIZEIRA BARROS., SN, Rio Largo, Alagoas, Brasil",187,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,MACEIO,ESCOLA MUN. SILVESTRE PÉRICLES,ESCOLA MUN. SILVESTRE PERICLES,PRACA DR CAIO DE AGUIAR PORTO S/N - PONTAL DA BARRA,"PRAÇA DR CAIO DE AGUIAR PORTO S/N - PONTAL DA BARRA, Maceio, Alagoas, Brasil",184,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
PRIORIDADE_2,PRIORIDADE_2,ESCOLA_URBANA_OU_SEDE,DELMIRO GOUVEIA,"VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA","VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA",AV MASCARENHAS DE MORAIS S/N,"AV MASCARENHAS DE MORAIS S/N, Delmiro Gouveia, Alagoas, Brasil",177,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,PENDENTE,,
