municipio,local_sem_geo,registros_afetados,melhor_correspondencia_cache,score_similaridade,status_match
MACEIO,ESCOLA ESTADUAL PROFESSOR PEDRO TEIXEIRA,259,"MACEIO|ESCOLA ESTADUAL PROFESSOR PEDRO TEIXEIRA|RUA PAU DARCO, S/N",0.7619,MATCH_FRACO
MACEIO,E.E. JORNALISTA LAFAIETTE BELO,259,"MACEIO|E.E. JORNALISTA LAFAIETTE BELO|PARQUE RESIDENCIAL BENEDITO BENTES I, S/N",0.6308,SEM_MATCH
ARAPIRACA,GRUPO ESCOLAR JOSE PEREIRA LÚCIO,252,ARAPIRACA|GRUPO ESCOLAR JOSE PEREIRA LUCIO|POVOADO BANANEIRAS S/N,0.6598,SEM_MATCH
MACEIO,ESCOLA MONTEIRO LOBATO,250,"MACEIO|ESCOLA MONTEIRO LOBATO|RUA DO IPE ROXO, 291",0.6197,SEM_MATCH
MACEIO,ESCOLA DE ENSINO FUNDAMENTAL PROF. DONIZETTI CALHEIROS,249,"MACEIO|ESCOLA DE ENSINO FUNDAMENTAL PROF. DONIZETTI CALHEIROS|AV. UBERABA, S/N",0.8406,MATCH_FRACO
CORURIPE,ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA,249,"CORURIPE|ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA|RUA PERNAMBUCO NOVO, S/N",0.6972,SEM_MATCH
MACEIO,ESC. MUN. ANTÔNIO SEMEÃO LAMENHA LINS,247,"MACEIO|ESC. MUN. ANTONIO SEMEAO LAMENHA LINS|RUA MAJOR JOAQUIM CALHEIROS, S/N",0.6609,SEM_MATCH
MACEIO,E.M. PROF. AURÉLIO BUARQUE DE HOLANDA FERREIRA,246,"MACEIO|E.M. PROF. AURELIO BUARQUE DE HOLANDA FERREIRA|RUA F, S/N, CONJUNTO FREITAS NETO",0.7607,MATCH_FRACO
MACEIO,ESC. EST. MANOEL SIMPLICIO DO NASCIMENTO,244,"MACEIO|ESC. EST. MANOEL SIMPLICIO DO NASCIMENTO|RUA DIVISORIA FEICAO, S/N",0.7193,SEM_MATCH
RIO LARGO,ESCOLA DE EDUCAÇÃO BÁSICA AGNUS DEI,243,"MACEIO|ESCOLA DE EDUCACAO BASICA JOSE GONZAGA|RUA 7 DE SETEMBRO, N 344",0.6154,SEM_MATCH
MACEIO,E.M. MARIA CARMELITA CARDOSO GAMA (CAIC-UFAL),241,"MACEIO|E.M. MARIA CARMELITA CARDOSO GAMA (CAIC-UFAL)|BR 104, 1099 KM 14 - CAMPUS A.C.SIMOES",0.719,SEM_MATCH
RIO LARGO,ESCOLA MUNICIPAL TERESA CRISTINA LINS DE SOUZA COSTA,240,"RIO LARGO|ESCOLA MUNICIPAL TERESA CRISTINA LINS DE SOUZA COSTA|CJ RES. FRANCISCO TAVARES GRANJA, S/N",0.6933,SEM_MATCH
MACEIO,ESC. MUN. DR. BALTAZAR DE MENDONÇA,239,"MACEIO|ESC. MUN. DR. BALTAZAR DE MENDONCA|RUA DIVISORIA FEICAO, S/N",0.7037,SEM_MATCH
PENEDO,COLÉGIO DIOCESANO DE PENEDO,238,"MACEIO|COLEGIO DLINS|RUA PEDROSA, 225",0.5397,SEM_MATCH
RIO LARGO,ESCOLA MUNICIPAL DE EDUCAÇÃO BASICA INDUSTRIAL LUIGI BAUDUCCO,236,RIO LARGO|ESCOLA MUNICIPAL DE EDUCACAO BASICA D PEDRO I|RUA CURITIBA S/N,0.6466,SEM_MATCH
PENEDO,ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO,236,"PENEDO|ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO|RUA FLORIANO ROSA, S/N, PX. AO POSTO DE SAUDE, CONJUNTO VILA MATIAS",0.5697,SEM_MATCH
PALMEIRA DOS INDIOS,FACULDADE CESMAC DO SERTÃO,234,"PALMEIRA DOS INDIOS|FACULDADE CESMAC DO SERTAO|RUA BRAULIO MONTENEGRO, S/N, VILA MARIA",0.4727,SEM_MATCH
MACEIO,E.E. PROFA. GILVANA ATAÍDE CAVALCANTE CABRAL,234,"MACEIO|E.E. PROFA. GILVANA ATAIDE CAVALCANTE CABRAL|RUA ELINELMA DE OLIVEIRA SANTOS, S/N",0.7152,SEM_MATCH
SAO MIGUEL DOS CAMPOS,ESCOLA MUNICIPAL PROFESSORA INEIDE NOGUEIRA ROCHA,231,"MACEIO|ESCOLA MUNICIPAL TEREZA DE JESUS|RUA SARGENTO JAIME, 75",0.5636,SEM_MATCH
RIO LARGO,ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEÃO,229,RIO LARGO|ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEAO|PATIO DA REDE FERROVIARIA S/N,0.6721,SEM_MATCH
PENEDO,ESCOLA ESTADUAL PROFESSOR ERNANI MÉRO (GRUPO ESCOLAR EXPERIMENTAL),227,"PENEDO|ESCOLA ESTADUAL PROFESSOR ERNANI MERO (GRUPO ESCOLAR EXPERIMENTAL)|PRACA LARGO DE FATIMA, S/N, EM FRENTE AO NUDEPE",0.6564,SEM_MATCH
MACEIO,ESC. MUN. DR. ORLANDO ARAÚJO,226,"MACEIO|ESC. MUN. DR. ORLANDO ARAUJO|RUA DR. JOSE SAMPAIO LUZ, S/N",0.6214,SEM_MATCH
SAO MIGUEL DOS CAMPOS,ESCOLA MUNICIPAL MARIO SOARES PALMEIRA,225,"SAO MIGUEL DOS CAMPOS|ESCOLA MUNICIPAL MARIO SOARES PALMEIRA|RUA VISCONDE DE SINIMBU, 32",0.608,SEM_MATCH
RIO LARGO,ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO,223,RIO LARGO|ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEICAO|EUCLIDES AFONSO DE MELO S/N,0.7841,MATCH_FRACO
RIO LARGO,GRUPO ESCOLAR MANOEL SOARES DE SOUZA,218,RIO LARGO|GRUPO ESCOLAR MANOEL SOARES DE SOUZA|VILA RAUL S/N,0.75,MATCH_FRACO
MACEIO,ESC. MUN. RADIALISTA EDÉCIO LOPES (ANTIGO COL. LAERSON ROSA),212,"MACEIO|ESC. MUN. RADIALISTA EDECIO LOPES (ANTIGO COL. LAERSON ROSA)|RUA ALAMEDA CELIA DOS ANJOS, 06",0.7654,MATCH_FRACO
MACEIO,CENTRO DE ENSINO SANTA JULIANA,212,"MACEIO|CENTRO DE ENSINO SANTA JULIANA|AV DURVAL DE GOES MONTEIRO, 2345, C67P, CM",0.5607,SEM_MATCH
ARAPIRACA,GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA,212,ARAPIRACA|GRUPO ESCOLAR ANTONIO CEZARIO DE OLIVEIRA|VILA SAO JOSE S/N,0.7455,SEM_MATCH
RIO LARGO,ESCOLA MUNICIPAL DE ENSINO F. PROFESSOR JOSÉ EDMILSON,211,"RIO LARGO|ESCOLA MUNICIPAL DE ENSINO F. PROFESSOR JOSE EDMILSON|COJ NAPOLEAO VIANA,S/N, BAR NOSSO, PREF ANTONIO LINS DE SOUZA",0.5977,SEM_MATCH
MACEIO,E.M. TRADUTOR JOÃO SAMPAIO,209,"MACEIO|E.M. TRADUTOR JOAO SAMPAIO|PRACA CENTRAL, S/N, CONJ. JOAO SAMPAIO I",0.6281,SEM_MATCH
MACEIO,ESCOLA MUN. SÉRGIO LUIZ PESSOA BRAGA,205,"MACEIO|ESCOLA MUN. SERGIO LUIZ PESSOA BRAGA|PRACA GOVERNADOR LAMENHA FILHO, S/N",0.625,SEM_MATCH
MACEIO,COLÉGIO SAGRADA FAMILIA,203,PALMEIRA DOS INDIOS|COLEGIO SAGRADA FAMILIA|RUA DOM BOSCO 15,0.5542,SEM_MATCH
ARAPIRACA,ANEXO ESCOLA JAYME DE ALTAVILLA,203,ARAPIRACA|ANEXO ESCOLA JAYME DE ALTAVILLA|AV. MIGUEL CORREIA S/N,0.6596,SEM_MATCH
CORURIPE,ESCOLA MUN. EDUC. BÁSICA PROF. MARIA ROCHA SANTOS SILVA,198,"CORURIPE|ESCOLA MUN. EDUC. BASICA PROF. MARIA ROCHA SANTOS SILVA|TRAVESSA FLAMENGO, 182, QUADRA S",0.7403,SEM_MATCH
ARAPIRACA,ESCOLA LINDAUVA EULÁLIA DE FARIAS,197,ARAPIRACA|ESCOLA LINDAUVA EULALIA DE FARIAS|POVOADO BAIXA GRANDE DE DENTRO,0.6168,SEM_MATCH
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL VOLUNTÁRIA MARIA DAS NEVES BORGES,196,"ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL VOLUNTARIA MARIA DAS NEVES BORGES|RUA SINESIO FERREIRA LIMA, N 383, OURO PRETO",0.7006,SEM_MATCH
MACEIO,ESC. DE ENS. FUND. PROF. ALMEIDA LEITE,194,"MACEIO|ESC. DE ENS. FUND. PROF. ALMEIDA LEITE|RUA DR. VIRGILIO GUEDES, S/N",0.6885,SEM_MATCH
MACEIO,ESCOLA MUNICIPAL PROFESSORA JAREDE VIANA DE OLIVEIRA,194,"MACEIO|E.M. PROFESSOR PETRONIO VIANA|CONJUNTO CARMINHA, S/N",0.623,SEM_MATCH
MACEIO,SEST/SENAT,193,"MACEIO|SEST/SENAT|AV. DEP. CESAR ESUSTAQUIO MALTA, 500",0.3279,SEM_MATCH
MACEIO,COLÉGIO SANTA AMÉLIA,193,MACEIO|COLEGIO SANTA URSULA|RUA PIO XII,0.5424,SEM_MATCH
MACEIO,ESCOLA DE ENSINO FUNDAMENTAL CLETO MARQUES LUZ,190,"MACEIO|ESCOLA DE ENSINO FUNDAMENTAL CLETO MARQUES LUZ|RUA P, LOT COLINA DOS EUCALIPTOS",0.7023,SEM_MATCH
MACEIO,E.M. PROFA. HÉVIA VALÉRIA MAIA AMORIM,189,"MACEIO|E.M. PROFA. HEVIA VALERIA MAIA AMORIM|AV JOSE AILTON DOS SANTOS, S/N, VILAGE CAMPESTRE I",0.6316,SEM_MATCH
MACEIO,E.M. MARIA DE LOURDES DE MELO PIMENTEL,189,"MACEIO|E.M. MARIA DE LOURDES DE MELO PIMENTEL|RUA PADRE CICERO, 05, VILAGE CAMPESTE II",0.6849,SEM_MATCH
CORURIPE,ESCOLA MUN. CENT. EDUCAÇÃO INFANTIL PROF. MARIA ZENAIDE ROCHA SANTOS,188,"CORURIPE|ESCOLA MUN. CENT. EDUCACAO INFANTIL PROF. MARIA ZENAIDE ROCHA SANTOS|RUA PERNAMBUCO NOVO, S/N,",0.8092,MATCH_FRACO
MACEIO,ESC. MUN. JOÃO XXIII,188,"MACEIO|ESC. MUN. JOAO XXIII|RUA DR.JOSE JOAQUIM DE ARAUJO, S/N",0.4884,SEM_MATCH
CORURIPE,ESCOLA MUNICIPAL SANTA SOFIA,188,"MACEIO|ESCOLA MUNICIPAL TOBIAS GRANJA|RUA SAO JOSE, 888",0.5854,SEM_MATCH
RIO LARGO,ANTIGA ESCOLA FRANCISCO LEÃO DO CENTRO,187,"RIO LARGO|ANTIGA ESCOLA FRANCISCO LEAO DO CENTRO|PRACA TEIZEIRA BARROS., SN",0.6847,SEM_MATCH
MACEIO,ESCOLA MUN. SILVESTRE PÉRICLES,184,MACEIO|ESCOLA MUN. SILVESTRE PERICLES|PRACA DR CAIO DE AGUIAR PORTO S/N - PONTAL DA BARRA,0.4874,SEM_MATCH
DELMIRO GOUVEIA,"VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA",177,"DELMIRO GOUVEIA|VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA|AV MASCARENHAS DE MORAIS S/N",0.6853,SEM_MATCH
PENEDO,COOPERATIVA EDUCACIONAL DE PENEDO - COOPEPE LTDA,175,"PENEDO|COOPERATIVA EDUCACIONAL DE PENEDO - COOPEPE LTDA|PARQUE DR. ADAIL FREIRE PEREIRA, 127 (PRACA SANTA LUZIA)",0.5897,SEM_MATCH
MACEIO,COLEGIO ATHENEU,172,"MACEIO|COLEGIO ATHENEU|ESTRADA DA CODEAL, 33",0.5172,SEM_MATCH
ARAPIRACA,ESCOLAR ANA BERNARDES SILVEIRA,171,ARAPIRACA|ESCOLAR ANA BERNARDES SILVEIRA|SERRA DOS FERREIRA S/N,0.6452,SEM_MATCH
CORURIPE,ESCOLA ESTADUAL DEPUTADO JOÃO BELTRÃO,171,"CORURIPE|ESCOLA ESTADUAL DEPUTADO JOAO BELTRAO|AV. ANFRISIO DE CASTRO LESSA SANTOS, 506",0.6066,SEM_MATCH
MACEIO,ESCOLA ESTADUAL TAVARES BASTOS,169,"MACEIO|ESCOLA ESTADUAL TAVARES BASTOS|PRACA CENTENARIO, S/N",0.6818,SEM_MATCH
MACEIO,ESCOLA ESTADUAL DR. JÚLIO AUTO,168,"MACEIO|ESCOLA ESTADUAL DR. JULIO AUTO|CONJUNTO JOAQUIM LEAO, S/N",0.6667,SEM_MATCH
MARECHAL DEODORO,ESCOLA MUNICIPAL ALTINA RIBEIRO TOLEDO,168,MARECHAL DEODORO|ESCOLA MUNICIPAL ALTINA RIBEIRO TOLEDO|VILA ALTINA SN,0.7037,SEM_MATCH
RIO LARGO,ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO,166,"RIO LARGO|ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO|CJ MARIO MAFRA, QUADRA D-04",0.6942,SEM_MATCH
MARECHAL DEODORO,ESCOLA ESTADUAL JOSÉ CORREIA DA SILVA TITARA,165,MARECHAL DEODORO|ESCOLA ESTADUAL JOSE CORREIA DA SILVA TITARA|LOT BOSQUE DA MASSAGUEIRA N 3A,0.6471,SEM_MATCH
MACEIO,E.E. MANUEL BALTAZAR P. DIEGUES JUNIOR,164,"MACEIO|E.E. MANUEL BALTAZAR P. DIEGUES JUNIOR|CONJUNTO SANTA MARIA, S/N - RUA D QD 8",0.6906,SEM_MATCH
RIO LARGO,ESCOLA ESTADUAL TABULEIRO DO PINTO,162,RIO LARGO|ESCOLA ESTADUAL TABULEIRO DO PINTO|RUA DA CAIXA SN,0.7234,SEM_MATCH
RIO LARGO,CRECHE MUNICIPAL CELYRIO ADAMASTOR BARRETO ACIOLY,161,"RIO LARGO|CRECHE MUNICIPAL CELYRIO ADAMASTOR BARRETO ACIOLY|ROD AL 210, CJ EDSON NOVAES S/N",0.705,SEM_MATCH
MACEIO,COLÉGIO BRASIL (ANTIGO ISAAC NEWTON),159,"MACEIO|COLEGIO BRASIL (ANTIGO ISAAC NEWTON)|RUA FERNANDO MENDES PINTO, N 11",0.6415,SEM_MATCH
MACEIO,E.M. GASTONE LÚCIA DE CARVALHO BELTRÃO,159,"MACEIO|E.M. GASTONE LUCIA DE CARVALHO BELTRAO|CONJ. JARDIM ROYAL - MODULO II - QD Q, S/N",0.6944,SEM_MATCH
MACEIO,EDIFÍCIO DO SENAC,158,"MACEIO|EDIFICIO DO SENAC|AV. PEDRO PAULINO, 77",0.5574,SEM_MATCH
SAO MIGUEL DOS CAMPOS,ESCOLA MUNICIPAL DIONISIA APRATTO TENORIO,156,"SAO MIGUEL DOS CAMPOS|ESCOLA MUNICIPAL DIONISIA APRATTO TENORIO|AV. PREFEITO PEDRO FERNANDES, S/N",0.6029,SEM_MATCH
RIO LARGO,GRUPO ESCOLAR DALMARIO DE SOUZA,156,RIO LARGO|GRUPO ESCOLAR DALMARIO DE SOUZA|RUA ALTO DA SAUDADE SN,0.6526,SEM_MATCH
SAO MIGUEL DOS CAMPOS,ESCOLA DE EDUCAÇÃO BÁSICA CONSTRUTIVISTA,155,"SAO MIGUEL DOS CAMPOS|ESCOLA DE EDUCACAO BASICA CONSTRUTIVISTA|RUA PROJETADA, 16",0.6723,SEM_MATCH
ARAPIRACA,CENTRO DE EDUCAÇÃO INFANTIL JOANNA DE ANGELLIS (ANTIGO MADRE PAULINA),154,ARAPIRACA|CENTRO DE EDUCACAO INFANTIL JOANNA DE ANGELLIS (ANTIGO MADRE PAULINA)|RUA DOMINGOS CORREIA 1065,0.7882,MATCH_FRACO
MARECHAL DEODORO,ESCOLA MUNICIPAL PREFEITO MANOEL MESSIAS DOS SANTOS,153,MARECHAL DEODORO|ESCOLA MUNICIPAL PREFEITO MANOEL MESSIAS DOS SANTOS|RUA SALVADOR S/N LOT. LUAR DO FRANCES,0.6538,SEM_MATCH
MACEIO,E.E. MANOEL DE ARAUJO DORIA,152,"MACEIO|ESCOLA ESTADUAL ROMEU DE AVELAR|RUA RACOES CARB, S/N",0.5833,SEM_MATCH
MACEIO,E.M. SELMA BANDEIRA,151,"MACEIO|E.M. FREI DAMIAO|AV. MUNDAU, 120",0.625,SEM_MATCH
MACEIO,ESC. MUN. PIO X (PRÉDIO DO ANTIGO COL.SAGRADA FAMÍLIA),150,"MACEIO|ESC. MUN. PIO X (PREDIO DO ANTIGO COL.SAGRADA FAMILIA)|RUA PROFESSORA ZEZE LOUREIRO, 200",0.7368,SEM_MATCH
