_municipio_norm,_local_norm,municipio,local_votacao,qtd_registros_afetados
ARAPIRACA,ESCOLA JOAO SATURNINO DE ALMEIDA,ARAPIRACA,ESCOLA JOÃO SATURNINO DE ALMEIDA,342
ARAPIRACA,ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO,ARAPIRACA,ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO,329
MACEIO,ESCOLA MUNICIPAL PROFESSOR CORINTHO DA PAZ,MACEIO,E.M. PROFESSOR CORINTHO DA PAZ,328
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS,323
MACEIO,ESCOLA ESTADUAL PROFESSOR THEOTONIO VILELA BRANDAO,MACEIO,ESC. EST. PROF. THEOTÔNIO VILELA BRANDÃO,319
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ZELIA BARBOSA ROCHA,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ZÉLIA BARBOSA ROCHA,314
SAO MIGUEL DOS CAMPOS,COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA,SAO MIGUEL DOS CAMPOS,COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA,313
MACEIO,ESCOLA ESTADUAL PROF IRENE GARRIDO,MACEIO,ESCOLA ESTADUAL PROFª. IRENE GARRIDO,308
MACEIO,COLEGIO INTENSIVO,MACEIO,COLÉGIO INTENSIVO,308
MACEIO,COLEGIO EDSON MONTEIRO,MACEIO,COLÉGIO EDSON MONTEIRO,308
RIO LARGO,ESCOLA ESTADUAL SANTOS DUMONT,RIO LARGO,ESCOLA ESTADUAL SANTOS DUMONT,301
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL CLEONICE BARBOSA DE ALMEIDA,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL CLEONICE BARBOSA DE ALMEIDA,301
MACEIO,ESCOLA ESTADUAL DOUTOR EDSON BERNARDES,MACEIO,ESCOLA EST. DR. EDSON BERNARDES,300
MACEIO,COLEGIO ZUMBI DOS PALMARES,MACEIO,COLÉGIO ZUMBI DOS PALMARES,299
MACEIO,ESCOLA MUNICIPAL PROFESSOR LENILTO ALVES SANTOS,MACEIO,ESC. MUN. PROF. LENILTO ALVES SANTOS,289
MACEIO,ESCOLA ESTADUAL DEPUTADO RUBENS CANUTO,MACEIO,E.E. DEPUTADO RUBENS CANUTO,287
