_municipio_norm,_local_norm,municipio,local_votacao,qtd_registros_afetados
RIO LARGO,CMEI DESEMBARGADOR FRANCISCO WILDO LACERDA DANTAS,RIO LARGO,CMEI DESEMBARGADOR FRANCISCO WILDO LACERDA DANTAS,88
DELMIRO GOUVEIA,NOEMIA BANDEIRA DA SILVA ESCOLA,DELMIRO GOUVEIA,"NOEMIA BANDEIRA DA SILVA,ESCOLA",86
MACEIO,ESCOLA MUNICIPAL PROF NEIDE DE FREITAS FRANCA,MACEIO,ESC. MUN. PROFª NEIDE DE FREITAS FRANÇA,84
MACEIO,SEADES SEC DE ESTADUAL DA ASSISTENCIA E DESENVOLVIMENTO SOCIAL,MACEIO,SEADES - SEC. DE EST. DA ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL,84
MACEIO,ESCOLA ESTADUAL MAJOR EDUARDO EMILIANO DA FONSECA,MACEIO,ESCOLA ESTADUAL MAJOR EDUARDO EMILIANO DA FONSECA,82
MACEIO,GRUPO ESCOLAR ANTONIO VASCO,MACEIO,GRUPO ESCOLAR ANTÔNIO VASCO,82
PENEDO,GRUPO ESCOLAR ESTADUAL GABINO BESOURO,PENEDO,GRUPO ESCOLAR ESTADUAL GABINO BESOURO,81
MARECHAL DEODORO,ESCOLA PROFESSORA ELEUZA GALVAO RODAS,MARECHAL DEODORO,ESCOLA PROFESSORA ELEUZA GALVÃO RODAS,79
DELMIRO GOUVEIA,ESCOLA ESTADUAL PEDRO NEPOMUCENO DOS SANTOS,DELMIRO GOUVEIA,ESCOLA ESTADUAL PEDRO NEPOMUCENO DOS SANTOS,79
CORURIPE,ESCOLA MUNICIPAL GENERAL DE GOIS MONTEIRO,CORURIPE,ESCOLA MUNICIPAL GENERAL DE GOIS MONTEIRO,77
MARECHAL DEODORO,ESCOLA MUNICIPAL PREFEITO EDIVAL LEMOS SANTOS,MARECHAL DEODORO,ESCOLA MUNICIPAL PREFEITO EDIVAL LEMOS SANTOS,76
RIO LARGO,CRIA CENTRO INFANTIL CORALIA GOMES DA SILVA,RIO LARGO,CRIA-CENTRO INFANTIL CORÁLIA GOMES DA SILVA,76
CORURIPE,ESCOLA MUNICIPAL NOSSA SENHORA DO MONT SERRAT,CORURIPE,ESCOLA MUNICIPAL NOSSA SENHORA DO MONT SERRAT,71
DELMIRO GOUVEIA,ANCHIETA GRUPO ESCOLAR PADRE POV LAGOINHA,DELMIRO GOUVEIA,"ANCHIETA, GRUPO ESCOLAR PADRE ( POV. LAGOINHA)",69
UNIAO DOS PALMARES,ESCOLA MUNICIPAL LAURA PEREIRA DA SILVA,UNIAO DOS PALMARES,ESCOLA MUNICIPAL LAURA PEREIRA DA SILVA,66
PENEDO,ESCOLA ESTADUAL HERMILIO DE FREITAS MELRO,PENEDO,ESCOLA ESTADUAL HERMÍLIO DE FREITAS MELRO,62
MACEIO,COLEGIO SAO JERONIMO,MACEIO,COLÉGIO SÃO JERÔNIMO,62
PENEDO,UNIDADE DE ENSINO DE PENEDO UFAL,PENEDO,UNIDADE DE ENSINO DE PENEDO/UFAL,58
MACEIO,ESCOLA MUNICIPAL JOAO FEITOSA,MACEIO,ESCOLA MUNICIPAL JOÃO FEITOSA,57
DELMIRO GOUVEIA,ERENICE GOMES DE LIMA ESCOLA ESTADUAL PROF,DELMIRO GOUVEIA,"ERENICE GOMES DE LIMA, ESCOLA ESTADUAL PROFª",55
PALMEIRA DOS INDIOS,ESCOLA ESTADUAL DIJANIRA SANTOS SILVA,PALMEIRA DOS INDIOS,ESCOLA ESTADUAL DIJANIRA SANTOS SILVA,52
DELMIRO GOUVEIA,MANOEL MOURA COLEGIO DE 1 GRAU,DELMIRO GOUVEIA,"MANOEL MOURA, COLEGIO DE 1 GRAU",52
DELMIRO GOUVEIA,JOSE CORREIA DOS SANTOS GRUPO ESCOLAR,DELMIRO GOUVEIA,"JOSE CORREIA DOS SANTOS,GRUPO ESCOLAR",51
PENEDO,EMEB HANNA BERTHOLET,PENEDO,EMEB HANNA BERTHOLET,50
MARECHAL DEODORO,ESCOLA MUNICIPAL ADELINA DE CARVALHO MELO,MARECHAL DEODORO,ESCOLA MUNICIPAL ADELINA DE CARVALHO MELO,47
MARECHAL DEODORO,UBS MARIA DO CARMO ARAUJO SOARES,MARECHAL DEODORO,UBS - MARIA DO CARMO ARAÚJO SOARES,45
DELMIRO GOUVEIA,GRUPO ESCOLAR CASTRO ALVES,DELMIRO GOUVEIA,GRUPO ESCOLAR CASTRO ALVES,41
DELMIRO GOUVEIA,JOSE CORREIA FILHO ESCOLA,DELMIRO GOUVEIA,"JOSE CORREIA FILHO,ESCOLA",39
MACEIO,CRECHE AGENOR FERNANDES PONTES,MACEIO,CRECHE AGENOR FERNANDES PONTES,39
DELMIRO GOUVEIA,RUI BARBOSA ESCOLA MUNICIPAL,DELMIRO GOUVEIA,"RUI BARBOSA,ESCOLA MUNICIPAL",37
PENEDO,ESCOLA ESTADUAL CLEMENTINO DO MONTE,PENEDO,ESCOLA ESTADUAL CLEMENTINO DO MONTE,35
PALMEIRA DOS INDIOS,ESCOLA MUNICIPAL NOE SIMPLICIO,PALMEIRA DOS INDIOS,ESCOLA MUNICIPAL NOÉ SIMPLÍCIO,34
PALMEIRA DOS INDIOS,ESCOLA ESTADUAL EGIDIO BARBOSA,PALMEIRA DOS INDIOS,ESCOLA ESTADUAL EGÍDIO BARBOSA,32
PALMEIRA DOS INDIOS,ESCOLA MUNICIPAL PEDRO RODRIGUES GAIA,PALMEIRA DOS INDIOS,ESCOLA MUNICIPAL PEDRO RODRIGUES GAIA,31
DELMIRO GOUVEIA,RAIMYSON SILVA NASCIMENTO EMEF,DELMIRO GOUVEIA,"RAIMYSON SILVA NASCIMENTO, EMEF",30
DELMIRO GOUVEIA,SAO JOSE ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL,DELMIRO GOUVEIA,"SAO JOSE, ESCOLA MUN DE ENSINO FUNDAMENTAL",29
PENEDO,EMEB SANTO ANTONIO,PENEDO,EMEB SANTO ANTÔNIO,28
PALMEIRA DOS INDIOS,UNIVERSISADE ESTADUAL DE ALAGOAS UNEAL PALMERIA DOS INDIOS,PALMEIRA DOS INDIOS,UNIVERSISADE ESTADUAL DE ALAGOAS - UNEAL - PALMERIA DOS ÍNDIOS,26
DELMIRO GOUVEIA,ANTENOR CORREIA SERPA ESCOLA MUNICIPAL DOUTOR,DELMIRO GOUVEIA,"ANTENOR CORREIA SERPA, ESCOLA MUNICIPAL DR.",25
PENEDO,EMEB PROF MARIA DA GLORIA PIMENTEIRA,PENEDO,EMEB PROFª MARIA DA GLÓRIA PIMENTEIRA,24
DELMIRO GOUVEIA,ESCOLA MUNICIPAL DE EDUCACAO BASICA JUSCELINO KUBISTCHEK DE OLIVEIRA,DELMIRO GOUVEIA,ESCOLA MUNICIPAL DE EDUCAÇÃO BÁSICA JUSCELINO KUBISTCHEK DE OLIVEIRA,23
PENEDO,EMEB PROFESSOR IRENIO ARAUJO,PENEDO,EMEB PROFESSOR IRÊNIO ARAÚJO,17
